Date,Open,High,Low,Close,Volume,OpenInt
2014-06-19,20,21.01,19.23,19.75,3289493,0
2014-06-20,20.05,20.22,19.7,19.8,763976,0
2014-06-23,20.24,20.25,19.84,19.95,367658,0
2014-06-24,19.95,20.39,19.77,19.83,263547,0
2014-06-25,19.75,19.91,19.7,19.75,151959,0
2014-06-26,19.71,19.81,19.68,19.75,119434,0
2014-06-27,19.81,20.27,19.69,19.75,132670,0
2014-06-30,19.88,19.91,19.62,19.78,196863,0
2014-07-01,19.73,19.85,19.5,19.82,74257,0
2014-07-02,19.8,19.97,19.61,19.73,38600,0
2014-07-03,19.85,19.85,19.64,19.82,8295,0
2014-07-07,19.25,19.635,19.25,19.5,63371,0
2014-07-08,19.5,19.6,18.53,19.01,82636,0
2014-07-09,18.91,19.18,18.06,18.83,46169,0
2014-07-10,18.4,18.69,17.87,18.63,24962,0
2014-07-11,18.52,18.84,18.48,18.73,24253,0
2014-07-14,18.75,18.87,18.25,18.44,54020,0
2014-07-15,18.55,18.55,18.31,18.32,20775,0
2014-07-16,18.43,18.5,18.1,18.3,24990,0
2014-07-17,18.29,18.29,17.61,17.98,80809,0
2014-07-18,18.04,18.04,17.5,17.86,41266,0
2014-07-21,17.94,18.2,17.5,18,19848,0
2014-07-22,18.04,18.2,17.724,17.85,14703,0
2014-07-23,17.86,18.19,17.86,18.19,13513,0
2014-07-24,18.47,19.1,18.3,18.99,60633,0
2014-07-25,19,19.1,18.69,18.96,22786,0
2014-07-28,19,19,18.71,18.84,15447,0
2014-07-29,18.69,19,18.64,18.8,8277,0
2014-07-30,19,19,18,18.22,26091,0
2014-07-31,18.23,18.23,17.35,17.5,36477,0
2014-08-01,17.57,18.2,17.31,17.4,26878,0
2014-08-04,17.06,17.69,17.06,17.41,7407,0
2014-08-05,17.48,18.12,17.48,17.59,8996,0
2014-08-06,17.43,18.09,17.43,17.6,2477,0
2014-08-07,17.89,17.953,17.52,17.52,22389,0
2014-08-08,17.6,17.9,17.24,17.38,4662,0
2014-08-11,17.45,17.73,17.45,17.72,3547,0
2014-08-12,17.8,17.84,17.62,17.74,8428,0
2014-08-13,17.84,17.99,17.58,17.83,19997,0
2014-08-14,17.85,17.9,17.5,17.73,9003,0
2014-08-15,17.75,17.76,17.61,17.73,6195,0
2014-08-18,17.8,19.4,17.75,19.1,181198,0
2014-08-19,19.15,19.29,18.53,19.07,125590,0
2014-08-20,19.15,19.7,18.926,19.15,65087,0
2014-08-21,19.23,19.25,19.019,19.21,12913,0
2014-08-22,19.21,19.25,19.01,19.2,16055,0
2014-08-25,19.24,19.284,19,19.14,57293,0
2014-08-26,19.1,19.8,19.02,19.61,42162,0
2014-08-27,19.64,19.848,19.36,19.7,28473,0
2014-08-28,19.725,21.83,19.725,21.15,103053,0
2014-08-29,20.5,21.59,20.5,20.94,56789,0
2014-09-02,21.19,21.96,20.26,21.215,70844,0
2014-09-03,21.32,21.69,19.24,19.78,83032,0
2014-09-04,20.65,20.87,20,20.14,44849,0
2014-09-05,20.14,20.37,19.24,19.66,66600,0
2014-09-08,19.6,20.19,19.445,19.73,44020,0
2014-09-09,20.09,20.09,19.03,19.2,45867,0
2014-09-10,19.08,19.71,19.08,19.49,154184,0
2014-09-11,19.33,19.35,18.595,18.79,62820,0
2014-09-12,18.71,18.77,18.12,18.25,147944,0
2014-09-15,18.13,19.62,17.85,19.29,198290,0
2014-09-16,19.25,19.37,18.24,18.95,105930,0
2014-09-17,19.05,19.58,18.69,18.88,116904,0
2014-09-18,18.81,19.52,18.5,19.12,121156,0
2014-09-19,19.27,19.95,18.57,18.96,277349,0
2014-09-22,18.67,19.75,18.67,19.01,169291,0
2014-09-23,18.88,19.43,18.67,19.16,107002,0
2014-09-24,19.58,19.93,19.31,19.82,112307,0
2014-09-25,19.76,19.96,19.4,19.63,75837,0
2014-09-26,19.57,20.28,19.13,20,110583,0
2014-09-29,20.16,20.41,19.33,19.64,83244,0
2014-09-30,19.66,20.11,19.245,19.65,823192,0
2014-10-01,19.7,20,18.9,19.15,170803,0
2014-10-02,19.22,19.56,18.96,19.48,77337,0
2014-10-03,19.66,19.66,19.01,19.08,35786,0
2014-10-06,19.06,19.81,18.505,19.53,78689,0
2014-10-07,19.37,19.37,18,18.37,60402,0
2014-10-08,18.28,18.285,17.86,18.24,39246,0
2014-10-09,18.22,18.7,18,18.02,21548,0
2014-10-10,18.11,18.29,17.558,17.62,55825,0
2014-10-13,17.56,17.79,16.55,17.01,62671,0
2014-10-14,17.11,17.25,16.2,16.51,60867,0
2014-10-15,16.26,17.71,16.01,17.66,34914,0
2014-10-16,17.4,18.27,16.53,17.92,38002,0
2014-10-17,18.16,18.2,17,17.02,16761,0
2014-10-20,17.01,17.39,16.884,17.38,14706,0
2014-10-21,17.48,17.96,17,17.75,56214,0
2014-10-22,17.58,17.84,17.49,17.72,14447,0
2014-10-23,17.87,18.09,17.6,18.02,16300,0
2014-10-24,18.07,18.28,17.98,18.28,20782,0
2014-10-27,18.24,19.12,18.22,19.1,37904,0
2014-10-28,19.39,20.69,19.261,20.52,179706,0
2014-10-29,20.72,21.18,20.56,21,76055,0
2014-10-30,20.87,21.38,20.87,21.34,41762,0
2014-10-31,21.76,21.76,21.04,21.3,47882,0
2014-11-03,21.11,21.38,20.02,20.95,46978,0
2014-11-04,21,21.04,18.87,19.19,69883,0
2014-11-05,19.18,20.225,18.6,18.61,21284,0
2014-11-06,18.62,19.47,18.22,19.31,22051,0
