Date,Open,High,Low,Close,Volume,OpenInt
2015-12-30,24.013,24.023,23.984,23.994,1766,0
2015-12-31,23.917,23.984,23.917,23.984,5299,0
2016-01-04,23.214,23.359,23.214,23.311,623,0
2016-01-06,22.983,23.128,22.983,23.099,7307,0
2016-01-07,22.791,22.791,22.598,22.598,208,0
2016-01-08,22.396,22.396,22.396,22.396,339,0
2016-01-11,22.136,22.204,22.136,22.204,1039,0
2016-01-12,22.377,22.377,22.367,22.367,314,0
2016-01-15,21.78,21.78,21.655,21.655,312,0
2016-01-19,21.905,21.915,21.905,21.915,312,0
2016-01-20,21.424,21.655,21.174,21.655,520,0
2016-01-29,23.243,23.243,23.243,23.243,104,0
2016-02-01,23.012,23.176,23.012,23.166,3252,0
2016-02-04,23.147,23.147,23.147,23.147,104,0
2016-02-05,23.224,23.224,23.179,23.179,208,0
2016-02-09,22.56,22.56,22.56,22.56,104,0
2016-02-11,22.502,22.569,22.49,22.49,1974,0
2016-02-12,22.531,22.531,22.531,22.531,416,0
2016-02-19,23.205,23.32,23.205,23.311,312,0
2016-02-24,23.282,23.282,23.282,23.282,260,0
2016-02-26,23.32,23.32,23.32,23.32,364,0
2016-03-04,24.928,24.928,24.928,24.928,104,0
2016-03-07,24.927,25.062,24.85,25.062,1143,0
2016-03-08,24.841,24.841,24.841,24.841,208,0
2016-03-15,24.85,24.85,24.85,24.85,260,0
2016-03-23,25.64,25.64,25.64,25.64,104,0
2016-03-24,25.515,25.515,25.361,25.361,602,0
2016-04-05,25.803,25.803,25.534,25.534,208,0
2016-04-07,25.438,25.438,25.438,25.438,104,0
2016-04-11,26.208,26.208,26.082,26.082,240,0
2016-04-13,26.785,26.785,26.785,26.785,116756,0
2016-04-14,26.698,26.698,26.698,26.698,104,0
2016-04-15,26.593,26.593,26.573,26.593,312,0
2016-04-18,26.506,26.678,26.506,26.678,312,0
2016-04-19,26.833,27.112,26.833,27.112,520,0
2016-04-20,26.91,26.91,26.91,26.91,208,0
2016-04-21,26.852,26.852,26.833,26.833,520,0
2016-04-22,26.765,26.785,26.641,26.661,2948,0
2016-04-25,26.708,26.708,26.41,26.516,4676,0
2016-04-26,26.747,26.747,26.612,26.612,736,0
2016-04-27,26.612,26.67,26.612,26.67,312,0
2016-04-28,26.583,26.766,26.583,26.612,1382,0
2016-04-29,27.613,27.613,26.516,26.516,623,0
2016-05-02,26.487,26.525,26.483,26.483,416,0
2016-05-03,26.265,26.265,25.889,25.889,1240,0
2016-05-04,25.505,25.505,25.399,25.399,442,0
2016-05-05,25.592,25.592,25.418,25.438,520,0
2016-05-09,25.389,25.389,25.12,25.139,977,0
2016-05-10,25.37,25.486,25.37,25.486,940,0
2016-05-11,25.611,25.611,25.611,25.611,104,0
2016-05-12,25.505,25.505,25.505,25.505,1039,0
2016-05-13,25.418,25.418,25.12,25.12,312,0
2016-05-16,25.311,25.379,25.311,25.379,520,0
2016-05-17,25.37,25.37,25.37,25.37,104,0
2016-05-18,24.995,24.995,24.918,24.918,208,0
2016-05-19,24.793,24.793,24.629,24.629,208,0
2016-05-27,25.418,25.495,25.414,25.414,2153,0
2016-06-01,25.207,25.207,25.207,25.207,208,0
2016-06-02,25.37,25.37,25.37,25.37,104,0
2016-06-06,26.111,26.15,26.047,26.15,2546,0
2016-06-07,26.285,26.41,26.285,26.356,5044,0
2016-06-08,26.506,26.506,26.506,26.506,312,0
2016-06-09,26.352,26.352,26.352,26.352,104,0
2016-06-10,25.582,25.784,25.582,25.611,3703,0
2016-06-13,25.418,25.418,25.312,25.312,312,0
2016-06-14,25.245,25.245,24.995,25.091,2145,0
2016-06-16,25.081,25.303,24.918,25.284,3358,0
2016-06-17,25.293,25.304,25.293,25.304,516,0
2016-06-20,25.707,25.794,25.707,25.794,234,0
2016-06-22,25.988,25.988,25.988,25.988,104,0
2016-06-23,26.265,26.458,26.265,26.448,2805,0
2016-06-24,25.37,25.37,25.024,25.062,2234,0
2016-06-27,24.666,24.666,24.658,24.658,312,0
2016-06-28,25.457,25.457,25.341,25.455,1114,0
2016-06-29,26.082,26.105,26.082,26.105,346,0
2016-06-30,26.14,26.14,26.14,26.14,104,0
2016-07-01,26.458,26.487,26.442,26.487,1818,0
2016-07-05,27.045,27.045,25.981,26.034,5303,0
2016-07-06,25.871,25.871,25.871,25.871,104,0
2016-07-07,26.078,26.078,25.957,25.957,1143,0
2016-07-08,26.188,26.273,26.188,26.273,312,0
2016-07-11,26.612,26.689,26.612,26.689,1563,0
2016-07-12,26.929,27.035,26.891,26.987,7829,0
2016-07-13,26.968,26.968,26.968,26.968,203,0
2016-07-14,27.304,27.304,27.285,27.295,470,0
2016-07-15,27.162,27.276,27.141,27.141,1964,0
2016-07-18,27.074,27.187,27.045,27.187,1468,0
2016-07-19,27.218,27.218,26.951,26.951,1731,0
2016-07-20,27.122,27.122,27.063,27.063,1559,0
2016-07-25,26.987,27.006,26.968,27.001,2379,0
2016-07-27,27.096,27.096,27.093,27.093,877,0
2016-07-28,27.16,27.247,27.16,27.247,255,0
2016-08-01,27.285,27.285,27.285,27.285,1455,0
2016-08-02,27.131,27.18,27.131,27.18,623,0
2016-08-03,27.16,27.266,27.074,27.266,4290,0
2016-08-04,27.439,27.439,27.266,27.322,5018,0
2016-08-05,27.468,27.468,27.459,27.459,1455,0
2016-08-08,27.786,27.786,27.786,27.786,122,0
2016-08-11,28.084,28.238,28.084,28.237,2442,0
2016-08-12,28.238,28.238,28.113,28.113,312,0
2016-08-15,28.383,28.383,28.315,28.315,703,0
2016-08-17,28.046,28.046,27.803,27.803,620,0
2016-08-19,27.97,27.97,27.97,27.97,234,0
2016-08-22,27.768,27.768,27.68,27.695,2286,0
2016-08-24,27.598,27.598,27.555,27.555,582,0
2016-08-25,27.613,27.613,27.497,27.536,6223,0
2016-08-26,27.505,27.505,27.411,27.411,208,0
2016-08-29,27.389,27.389,27.389,27.389,208,0
2016-09-01,27.093,27.131,27.093,27.122,1143,0
2016-09-06,27.824,28.075,27.824,28.075,416,0
2016-09-09,27.189,27.215,27.077,27.077,7618,0
2016-09-14,26.66,26.66,26.66,26.66,369,0
2016-09-15,26.939,26.939,26.939,26.939,208,0
2016-09-16,26.929,26.949,26.929,26.949,526,0
2016-09-21,27.314,27.314,27.314,27.314,104,0
2016-09-22,28.065,28.084,28.008,28.008,571,0
2016-09-23,27.844,27.844,27.844,27.844,104,0
2016-09-26,27.353,27.353,27.353,27.353,104,0
