Date,Open,High,Low,Close,Volume,OpenInt
2017-08-17,11.643,11.992,11.209,11.423,1204852,0
2017-08-18,11.693,11.942,11.503,11.693,631199,0
2017-08-21,11.843,11.982,11.593,11.823,287996,0
2017-08-22,11.823,11.952,11.765,11.823,224627,0
2017-08-23,11.972,11.972,11.724,11.833,146838,0
2017-08-24,11.892,11.932,11.733,11.863,164267,0
2017-08-25,11.863,12.212,11.844,12.191,235722,0
2017-08-28,12.422,12.592,11.853,12.342,431788,0
2017-08-29,12.692,12.692,12.222,12.542,325313,0
2017-08-30,12.432,12.629,12.292,12.472,221996,0
2017-08-31,12.632,13.132,12.502,13.052,315719,0
2017-09-01,13.242,13.481,12.992,13.282,414194,0
2017-09-05,13.392,13.701,13.192,13.581,863593,0
2017-09-06,13.681,13.721,12.492,13.242,682671,0
2017-09-07,13.491,13.54,12.862,13.082,701331,0
2017-09-08,12.992,13.182,12.814,12.882,293774,0
2017-09-11,12.632,12.922,12.342,12.812,404149,0
2017-09-12,12.732,13.134,12.592,13.062,328019,0
2017-09-13,13.072,13.072,12.692,12.842,234514,0
2017-09-14,12.742,13.272,12.652,13.142,652363,0
2017-09-15,13.202,13.342,12.792,13.142,1095735,0
2017-09-18,12.932,12.932,12.643,12.792,403901,0
2017-09-19,12.692,13.012,12.592,13.012,317806,0
2017-09-20,13.042,13.332,12.762,12.992,486439,0
2017-09-21,12.892,13.215,12.674,13.052,293601,0
2017-09-22,13.132,13.392,13.066,13.152,421147,0
2017-09-25,13.142,13.322,12.942,13.142,394039,0
2017-09-26,13.142,13.181,12.821,12.852,336996,0
2017-09-27,12.742,12.87,12.312,12.692,395995,0
2017-09-28,12.65,13.11,12.59,13.01,279002,0
2017-09-29,12.99,13.14,12.86,12.92,377801,0
2017-10-02,12.9,13.11,12.732,13.08,336096,0
2017-10-03,13.11,13.74,13.11,13.46,675635,0
2017-10-04,13.5,13.6,13.39,13.54,508751,0
2017-10-05,13.58,13.6199,13.1085,13.16,766168,0
2017-10-06,13.23,13.975,13.1,13.94,781543,0
2017-10-09,14.69,15.19,14.49,14.72,733825,0
2017-10-10,14.77,14.833,14.49,14.68,607170,0
2017-10-11,14.8,14.89,14.1667,14.89,425720,0
2017-10-12,14.3,14.34,13.15,13.52,1534339,0
2017-10-13,13.56,13.56,12.76,13.19,1011993,0
2017-10-16,13.2,13.22,13,13.11,379389,0
2017-10-17,12.95,13.54,12.95,13.32,509185,0
2017-10-18,13.28,13.36,13.19,13.34,427587,0
2017-10-19,13.44,13.54,13.08,13.42,506788,0
2017-10-20,13.3,13.35,12.89,13,465593,0
2017-10-23,12.9,12.91,12.57,12.84,540121,0
2017-10-24,12.69,12.84,11.92,12,906500,0
2017-10-25,12.27,12.27,11.52,11.72,1113663,0
2017-10-26,11.71,11.99,11.6,11.68,706137,0
2017-10-27,11.63,11.98,11.545,11.91,294482,0
2017-10-30,11.87,11.994,11.665,11.91,438064,0
2017-10-31,11.84,11.93,11.67,11.77,347128,0
2017-11-01,11.8,12.55,11.79,12.4,4144049,0
2017-11-02,12.6,13.61,12.51,13.27,1110686,0
2017-11-03,13.45,13.45,13.05,13.16,369280,0
2017-11-06,13.31,13.9717,13.26,13.64,613511,0
2017-11-07,13.98,14.78,13.98,14.56,966201,0
2017-11-08,14.84,14.9,14.591,14.69,509061,0
2017-11-09,14.75,14.99,14.3,14.51,689814,0
2017-11-10,14.51,14.58,14.08,14.4,407917,0
