Date,Open,High,Low,Close,Volume,OpenInt
2017-02-16,15.25,15.26,15.1098,15.144,11669,0
2017-02-17,15.11,15.17,15.09,15.155,2384,0
2017-02-21,15.39,15.39,15.2144,15.33,20193,0
2017-02-22,15.42,15.42,15.24,15.245,15107,0
2017-02-23,15.3,15.3,15.0101,15.1,10870,0
2017-02-24,15.01,15.12,15.0065,15.12,3891,0
2017-02-27,15.11,15.3,15.11,15.3,15772,0
2017-02-28,15.3,15.3,15.1844,15.2,5252,0
2017-03-01,15.29,15.43,15.29,15.419,1794,0
2017-03-02,15.32,15.32,15.28,15.28,971,0
2017-03-03,15.18,15.19,15.1601,15.17,4495,0
2017-03-06,15.17,15.17,15.071,15.1228,3341,0
2017-03-07,15.19,15.19,15.0303,15.0303,1499,0
2017-03-08,15.086,15.086,15,15,1437,0
2017-03-09,15.02,15.02,14.9798,14.9798,915,0
2017-03-10,15.14,15.14,14.9401,14.97,929,0
2017-03-13,15.24,15.24,14.99,15.055,3101,0
2017-03-14,14.953,15.0125,14.953,15.0125,1745,0
2017-03-15,15.0872,15.21,15.0872,15.21,333,0
2017-03-16,15.195,15.195,15.195,15.195,493,0
2017-03-17,15.195,15.195,15.195,15.195,0,0
2017-03-20,15.2,15.2261,15.176,15.1996,6091,0
2017-03-21,15.22,15.22,14.9201,14.9399,12791,0
2017-03-22,14.835,14.835,14.81,14.81,470,0
2017-03-23,14.8966,14.92,14.8966,14.92,952,0
2017-03-24,14.945,14.945,14.945,14.945,500,0
2017-03-27,14.79,15,14.77,14.92,8421,0
2017-03-28,15.02,15.08,14.94,15.08,7316,0
2017-03-29,15.0448,15.0448,15.0448,15.0448,706,0
2017-03-30,15.3,15.3,15.3,15.3,0,0
2017-03-31,15.17,15.17,15.16,15.16,6609,0
2017-04-03,15.2,15.2,15.15,15.15,514,0
2017-04-05,15.13,15.18,15.13,15.18,351,0
2017-04-06,15.044,15.09,15.044,15.09,400,0
2017-04-07,15.055,15.16,15.055,15.13,2163,0
2017-04-10,15.14,15.14,15.14,15.14,101,0
2017-04-11,15.14,15.14,15.14,15.14,0,0
2017-04-12,15.2199,15.2199,15.2199,15.2199,191,0
2017-04-13,15.1299,15.1299,15.05,15.05,703,0
2017-04-17,15.05,15.05,15.05,15.05,1611,0
2017-04-18,15.1399,15.15,15.0799,15.15,2118,0
2017-04-19,15.05,15.05,15.05,15.05,386,0
2017-04-20,15.1899,15.1899,15.1899,15.1899,190,0
2017-04-21,15.1896,15.1896,15.1896,15.1896,510,0
2017-04-24,15.1896,15.1896,15.1896,15.1896,0,0
2017-04-25,15.4446,15.52,15.4355,15.52,1370,0
2017-04-26,15.52,15.52,15.52,15.52,0,0
2017-04-27,15.52,15.52,15.52,15.52,0,0
2017-04-28,15.52,15.52,15.4001,15.5199,3660,0
2017-05-01,15.54,15.54,15.54,15.54,802,0
2017-05-02,15.5,15.5,15.5,15.5,2631,0
2017-05-03,15.5,15.5,15.5,15.5,0,0
2017-05-04,15.38,15.38,15.3618,15.3618,1407,0
2017-05-05,15.3789,15.49,15.3789,15.49,1724,0
2017-05-08,15.71,15.71,15.71,15.71,130,0
2017-05-09,15.356,15.356,15.353,15.353,614,0
2017-05-10,15.65,15.65,15.65,15.65,0,0
2017-05-11,15.62,15.62,15.5199,15.5199,669,0
2017-05-12,15.5199,15.5199,15.5199,15.5199,0,0
2017-05-15,15.76,15.76,15.6899,15.6899,459,0
2017-05-16,15.68,15.68,15.6636,15.6636,1155,0
2017-05-17,15.35,15.3599,15.35,15.3599,452,0
2017-05-18,15.39,15.39,15.39,15.39,302,0
2017-05-19,15.21,15.21,15.21,15.21,0,0
2017-05-22,15.54,15.54,15.54,15.54,811,0
2017-05-23,15.59,15.59,15.575,15.575,1249,0
2017-05-24,15.625,15.625,15.625,15.625,100,0
2017-05-25,15.6738,15.6738,15.6738,15.6738,100,0
2017-05-26,15.7,15.7,15.7,15.7,133,0
2017-05-30,15.72,15.72,15.72,15.72,947,0
2017-05-31,15.7,15.7,15.6311,15.6311,1761,0
2017-06-01,15.7886,15.7886,15.7886,15.7886,100,0
2017-06-02,15.9165,15.9165,15.885,15.9092,701,0
2017-06-05,16.09,16.09,15.92,15.92,405,0
2017-06-06,16.05,16.06,16.05,16.05,538,0
2017-06-07,15.99,15.99,15.7675,15.957,1538,0
2017-06-08,15.965,15.965,15.965,15.965,302,0
2017-06-09,15.92,16.0647,15.91,16.0647,1600,0
2017-06-12,15.82,15.82,15.82,15.82,103,0
2017-06-13,15.68,15.68,15.68,15.68,209,0
2017-06-14,15.8909,15.8918,15.8909,15.8918,1483,0
2017-06-15,15.63,15.64,15.62,15.62,1225,0
2017-06-16,15.7856,15.7856,15.7856,15.7856,200,0
2017-06-19,15.76,15.76,15.7423,15.7423,524,0
2017-06-20,15.915,15.95,15.915,15.95,958,0
2017-06-21,16,16,15.9564,15.9564,1139,0
2017-06-22,15.9564,15.9564,15.9564,15.9564,0,0
2017-06-23,15.9564,15.9564,15.9564,15.9564,0,0
2017-06-26,15.9564,15.9564,15.9564,15.9564,0,0
2017-06-27,16,16,16,16,655,0
2017-06-28,15.99,16.405,15.99,16.22,1035,0
2017-06-29,16,16,16,16,597,0
2017-06-30,16,16,16,16,0,0
2017-07-03,16,16,16,16,0,0
