Date,Open,High,Low,Close,Volume,OpenInt
1995-08-18,21.207,21.552,21.207,21.552,4465,0
1995-08-21,21.552,21.734,21.552,21.734,552,0
1995-08-22,21.734,22.078,21.734,21.734,8763,0
1995-08-23,21.734,21.734,21.552,21.552,6394,0
1995-08-24,21.207,21.369,21.207,21.369,2260,0
1995-08-25,21.207,21.552,21.207,21.369,3915,0
1995-08-28,21.369,21.734,21.369,21.552,5347,0
1995-08-29,21.552,21.552,21.552,21.552,331,0
1995-08-30,21.734,21.734,21.552,21.734,17254,0
1995-08-31,21.896,22.424,21.896,22.424,11137,0
1995-09-01,22.078,22.259,22.078,22.078,3308,0
1995-09-05,22.078,22.078,21.896,22.078,883,0
1995-09-06,22.078,22.424,22.078,22.078,21720,0
1995-09-07,22.078,22.424,21.734,21.734,3199,0
1995-09-08,21.552,21.734,21.552,21.734,38750,0
1995-09-11,21.552,21.734,21.552,21.734,21278,0
1995-09-12,21.734,22.259,21.734,21.896,69623,0
1995-09-13,21.896,22.078,21.734,21.896,99333,0
1995-09-14,21.896,21.896,21.734,21.734,12239,0
1995-09-15,21.734,21.896,21.734,21.734,8877,0
1995-09-18,21.734,21.896,21.734,21.734,12792,0
1995-09-19,21.896,21.896,21.734,21.734,6230,0
1995-09-20,21.896,21.896,21.734,21.734,67750,0
1995-09-21,21.734,21.896,21.734,21.734,15434,0
1995-09-22,21.734,21.896,21.734,21.734,104955,0
1995-09-25,21.734,21.896,21.734,21.734,63834,0
1995-09-26,21.734,21.734,21.734,21.734,61186,0
1995-09-27,21.734,21.896,21.734,21.734,85166,0
1995-09-28,21.896,22.604,21.896,22.424,158208,0
1995-09-29,22.784,22.949,22.784,22.784,77229,0
1995-10-02,22.949,22.949,22.784,22.784,75738,0
1995-10-03,22.784,22.784,22.604,22.604,17088,0
1995-10-04,22.784,22.784,22.604,22.784,35830,0
1995-10-05,22.784,22.949,22.784,22.784,55511,0
1995-10-06,22.784,22.784,22.784,22.784,1269,0
1995-10-09,22.604,22.604,22.604,22.604,495,0
1995-10-10,22.604,22.604,22.424,22.604,18797,0
1995-10-11,22.604,22.604,22.424,22.424,3750,0
1995-10-12,22.424,22.784,22.424,22.784,23813,0
1995-10-13,22.784,22.949,22.604,22.784,47404,0
1995-10-16,22.784,22.784,22.424,22.424,6062,0
1995-10-17,22.949,22.949,22.784,22.784,15381,0
1995-10-18,22.784,22.784,22.604,22.604,8928,0
1995-10-19,22.784,22.784,22.604,22.784,44207,0
1995-10-20,22.784,22.784,22.424,22.424,62014,0
1995-10-23,22.949,23.13,22.784,22.949,21058,0
1995-10-24,23.13,23.13,22.949,22.949,7329,0
1995-10-25,22.949,22.949,22.784,22.784,5786,0
1995-10-26,22.784,22.949,22.784,22.949,28886,0
1995-10-27,22.784,23.13,22.784,22.949,4795,0
1995-10-30,23.13,23.13,22.784,22.784,13066,0
1995-10-31,22.784,23.13,22.784,22.949,3692,0
1995-11-01,23.31,23.31,22.949,23.31,5513,0
1995-11-02,22.949,23.13,22.784,22.949,4523,0
1995-11-03,22.784,23.13,22.784,23.13,22105,0
1995-11-06,22.949,23.13,22.949,22.949,12348,0
1995-11-07,23.13,23.13,23.13,23.13,552,0
1995-11-08,23.294,23.457,23.294,23.294,2701,0
1995-11-09,23.457,23.637,23.294,23.294,14000,0
1995-11-10,23.457,23.457,23.294,23.457,7496,0
1995-11-13,23.457,23.457,23.294,23.294,2314,0
1995-11-14,23.11,23.294,23.11,23.294,2480,0
