Date,Open,High,Low,Close,Volume,OpenInt
2009-07-29,6,6,6,6,0,0
2009-07-30,6,6.1,5.13,5.57,406210,0
2009-07-31,5.75,7,5.51,5.95,374994,0
2009-08-03,6.2,6.5,5.77,6.47,208392,0
2009-08-04,6.33,7.52,6.27,7.41,977063,0
2009-08-05,7.86,9.49,7.86,9.14,995803,0
2009-08-06,9.15,9.19,7.85,8.11,329033,0
2009-08-07,8.44,8.56,7.6,8.31,184178,0
2009-08-10,8.47,8.47,7.81,8.03,124819,0
2009-08-11,8.1,8.29,7.35,7.5,176247,0
2009-08-12,7.6,8.25,7.26,7.75,171777,0
2009-08-13,7.95,8.18,7.61,7.8,100457,0
2009-08-14,7.9,8.14,7.36,7.71,91891,0
2009-08-17,7.42,7.42,6.83,6.92,138260,0
2009-08-18,6.92,7.31,6.66,6.73,64079,0
2009-08-19,6.57,7.05,6.33,7.05,107645,0
2009-08-20,7,7.3,6.9,6.93,61202,0
2009-08-21,7.05,7.2,6.77,7.1,108407,0
2009-08-24,7.12,7.47,6.76,6.93,131776,0
2009-08-25,6.78,6.95,6.53,6.61,120285,0
2009-08-26,6.52,6.7,6.52,6.6,26103,0
2009-08-27,6.52,6.52,6.16,6.26,68795,0
2009-08-28,6.45,6.72,6.18,6.63,103754,0
2009-08-31,6.53,6.6,6.21,6.5,45489,0
2009-09-01,6.32,6.54,6.17,6.21,47297,0
2009-09-02,6.21,6.76,6.15,6.43,43836,0
2009-09-03,6.55,7.38,6.55,7,120779,0
2009-09-04,7,7.44,6.8,7.2,54442,0
2009-09-08,7.41,8.28,7.41,7.86,233829,0
2009-09-09,7.8,8.3,7.8,8.04,96247,0
2009-09-10,8.2,8.2,7.56,7.73,34278,0
2009-09-11,7.96,9.15,7.62,8.8,607216,0
2009-09-14,8.91,9.75,8.68,9.15,288721,0
2009-09-15,9.2,9.45,8.96,9,126474,0
2009-09-16,9.4,10.43,9.19,9.65,348923,0
2009-09-17,9.79,10.15,9.25,9.57,124828,0
2009-09-18,9.86,10.64,9.1,9.63,270710,0
2009-09-21,9.65,9.83,9.04,9.49,101094,0
2009-09-22,9.71,10.49,9.63,10.1,131392,0
2009-09-23,10.3,10.85,10,10.32,203322,0
2009-09-24,10.46,10.46,9.52,10.26,101781,0
2009-09-25,10.5,10.6,9.82,10.16,71049,0
2009-09-28,10.2,10.31,9.55,9.9,119282,0
2009-09-29,8.63,9.4,8.01,8.05,1018110,0
2009-09-30,8.13,8.13,7.16,7.39,323469,0
2009-10-01,7.52,7.52,7,7.11,112843,0
2009-10-02,6.94,7.4,6.8,7.19,132543,0
2009-10-05,7.12,7.7,6.88,6.91,143108,0
2009-10-06,6.94,7.1,6.57,6.61,161170,0
2009-10-07,6.67,6.7,6.42,6.65,94558,0
2009-10-08,6.9,7.45,6.79,7.38,233216,0
2009-10-09,7.66,8.28,7.51,8.15,296244,0
2009-10-12,8.15,8.28,7.41,7.78,115534,0
2009-10-13,8.16,8.22,7.6,7.81,71408,0
2009-10-14,8.01,8.01,7.61,7.83,55549,0
2009-10-15,7.8,7.84,7.6,7.78,27254,0
2009-10-16,7.77,7.77,7.25,7.35,61973,0
2009-10-19,7.4,7.67,7.32,7.34,37304,0
2009-10-20,7.39,7.39,6.9,7.15,89075,0
2009-10-21,7.09,7.19,6.9,6.96,68480,0
2009-10-22,6.96,7.09,6.78,6.98,40889,0
2009-10-23,7.13,7.18,6.66,6.72,80917,0
