Date,Open,High,Low,Close,Volume,OpenInt
2007-04-26,17.5,18.6,17.5,17.65,9337700,0
2007-04-27,17.65,18.12,17.55,17.75,1722200,0
2007-04-30,17.84,18.5,17.76,18.4,999600,0
2007-05-01,18.48,18.7,17.8,18.29,741800,0
2007-05-02,18.04,18.33,17.85,18,381900,0
2007-05-03,18.13,18.13,17.85,18.1,217400,0
2007-05-04,18.1,18.39,18.1,18.19,189500,0
2007-05-07,18.35,18.35,17.95,18,136300,0
2007-05-08,17.75,17.91,17.66,17.8,197100,0
2007-05-09,17.7,18.15,17.7,18.15,68500,0
2007-05-10,18.09,18.13,17.85,17.91,104700,0
2007-05-11,17.76,18.3,17.75,18.3,211300,0
2007-05-14,18.48,18.48,16.96,18.2,134300,0
2007-05-15,18,18.35,18,18.1,141000,0
2007-05-16,18.08,18.12,17.8,18,148700,0
2007-05-17,18,18.2,17.86,18.2,99900,0
2007-05-18,18.03,18.25,17.86,18.16,107700,0
2007-05-21,17.91,18.08,17.81,18.08,108200,0
2007-05-22,18.13,18.48,17.95,18.01,207800,0
2007-05-23,18.01,18.68,17.9,18.35,287600,0
2007-05-24,18.2,18.45,17.83,17.94,190100,0
2007-05-25,17.85,17.85,17.58,17.78,225100,0
2007-05-29,17.8,18.13,17.72,17.97,444400,0
2007-05-30,17.78,18.35,17.65,18.17,151700,0
2007-05-31,18.05,18.43,18,18.38,102300,0
2007-06-01,18.13,18.7,18.13,18.7,122200,0
2007-06-04,18.69,19.39,18.27,19.02,336600,0
2007-06-05,18.6,18.79,18.32,18.75,121100,0
2007-06-06,18.75,18.97,18.38,18.55,140500,0
2007-06-07,18.49,18.94,18.07,18.45,251900,0
2007-06-08,18.21,18.8,18.16,18.8,131700,0
2007-06-11,18.55,18.85,18.49,18.8,104300,0
2007-06-12,18.15,18.7,18.15,18.5,183100,0
2007-06-13,18.48,18.95,18.36,18.86,53800,0
2007-06-14,18.75,19.38,18.6,19.29,249800,0
2007-06-15,19.67,20.01,19.5,19.85,604600,0
2007-06-18,19.85,20.1,19.5,19.97,206200,0
2007-06-19,20.26,22,20.07,21.8,1098800,0
2007-06-20,21.7,22.29,21.33,21.5,548400,0
2007-06-21,21.33,22,21.02,21.75,680600,0
2007-06-22,21.49,22.15,21.49,21.67,562800,0
2007-06-25,21.85,21.92,21.45,21.6,256200,0
2007-06-26,21.7,21.76,20.49,21.34,367600,0
2007-06-27,21.1,21.2,20.6,20.68,318200,0
2007-06-28,20.45,21.3,19.58,20.33,141700,0
2007-06-29,20.13,20.84,20.13,20.43,122700,0
2007-07-02,20.15,21.2,20.15,21.06,112200,0
2007-07-03,21.35,21.93,20.88,21.65,199300,0
2007-07-05,21.43,22.75,21.43,22.44,370400,0
2007-07-06,22.44,22.95,21.72,22.1,376500,0
2007-07-09,22.4,22.71,22.1,22.52,119600,0
2007-07-10,23.05,23.05,22.32,22.43,119800,0
2007-07-11,22.67,22.99,22.39,22.9,119300,0
2007-07-12,22.93,23.85,22.86,23.29,355200,0
2007-07-13,23.35,24.75,23.35,24.68,401000,0
2007-07-16,24.68,24.98,23.68,24.08,422700,0
2007-07-17,24.3,24.48,23.65,23.7,239700,0
2007-07-18,23.51,23.67,23,23.24,150800,0
2007-07-19,23.76,23.76,23.11,23.49,105200,0
2007-07-20,23.03,23.48,23,23.23,140000,0
2007-07-23,23.02,23.34,22.8,22.85,226700,0
2007-07-24,22.89,23.02,20.8,22.24,537900,0
2007-07-25,22.35,22.59,21.02,21.25,579900,0
2007-07-26,20,21.09,19.77,20.36,390700,0
2007-07-27,20.21,21.34,19.51,20.92,186700,0
2007-07-30,21.44,22,21.02,21.67,208200,0
2007-07-31,22.5,22.5,21.15,21.28,171500,0
2007-08-01,21,21.99,20.18,20.3,148600,0
2007-08-02,20.32,21.04,20.32,21,48400,0
2007-08-03,21.16,21.41,20.5,20.51,17700,0
2007-08-06,20.4,20.47,19.8,20.07,441400,0
2007-08-07,19.89,20.88,19.51,20.49,120500,0
2007-08-08,20.66,21.2,20.41,21,200300,0
2007-08-09,20.22,20.99,20.16,20.4,56100,0
2007-08-10,20.5,20.68,19.97,20.23,48100,0
2007-08-13,20.5,20.56,20.17,20.49,35500,0
2007-08-14,20.67,20.67,19.95,19.95,116100,0
2007-08-15,19.95,20.02,19.1,19.12,150400,0
2007-08-16,18.5,19,17,19,400800,0
2007-08-17,19.99,19.99,18.18,19.3,313800,0
2007-08-20,19.36,19.85,18.81,19.48,114300,0
2007-08-21,19,19.57,19,19.49,99400,0
2007-08-22,19.59,19.97,19.53,19.9,58500,0
2007-08-23,20,20.39,19.8,20.06,119200,0
2007-08-24,20.19,20.71,19.85,20.43,119100,0
2007-08-27,20.43,20.99,18.9,20.16,85500,0
2007-08-28,20.13,20.23,19.39,20.09,129300,0
2007-08-29,20.15,21.21,20,20.94,242100,0
2007-08-30,20.9,22.1,20.82,21.91,439000,0
2007-08-31,22,22.3,21.9,22.17,64500,0
2007-09-04,22.29,22.29,21.12,21.45,124500,0
2007-09-05,21,22.18,20.74,21.9,138900,0
2007-09-06,21.9,22.09,21.25,21.73,284900,0
2007-09-07,21.02,21.34,20.46,20.57,58000,0
2007-09-10,20.68,20.78,19.99,20.06,59300,0
2007-09-11,20.18,20.44,20.01,20.1,36300,0
2007-09-12,20.1,20.84,20.1,20.36,48000,0
2007-09-13,20.14,20.49,19.92,20.1,83800,0
2007-09-14,20.02,21.7,19.82,21.32,117300,0
2007-09-17,21.32,21.98,21.01,21.3,54800,0
2007-09-18,21.54,21.73,21.17,21.57,57300,0
2007-09-19,21.78,21.98,21.52,21.57,74300,0
2007-09-20,21.68,21.99,21.42,21.73,147900,0
2007-09-21,21.98,22.27,21.8,22.2,121700,0
2007-09-24,22.2,22.5,22.07,22.25,125200,0
2007-09-25,22.49,22.49,22,22.1,112100,0
2007-09-26,22,22.25,21.82,21.91,63200,0
2007-09-27,21.98,23.93,21.9,23.4,127500,0
2007-09-28,23.4,23.77,23.19,23.66,46000,0
2007-10-01,23.86,24,23.73,23.88,90900,0
2007-10-02,25.87,25.87,23.61,23.65,91700,0
2007-10-03,23,24,23,23.76,70000,0
2007-10-04,24.03,24.18,23.51,23.61,26300,0
2007-10-05,23.82,24.4,23.79,24.15,121300,0
2007-10-08,24.44,25.44,24.2,24.7,117300,0
2007-10-09,25.03,25.25,24.21,24.48,66000,0
2007-10-10,24.63,24.63,23.9,23.95,158200,0
2007-10-11,23.76,24.1,22.46,23.41,153700,0
2007-10-12,23.25,23.95,23.2,23.53,119700,0
2007-10-15,23.74,24.49,21.61,23.2,79900,0
2007-10-16,22.94,23.76,22.8,23.06,61100,0
2007-10-17,24,24.07,22.55,23.02,371100,0
