Date,Open,High,Low,Close,Volume,OpenInt
2015-07-06,38,39.75,36,36.71,5866600,0
2015-07-07,37.72,37.81,36,36.62,7358900,0
2015-07-08,36.34,36.36,34.53,34.7,5387700,0
2015-07-09,35.1,35.52,33.99,34.5,3760000,0
2015-07-10,34.66,35.19,33.98,34.69,4472800,0
2015-07-13,35.59,37.5,35.5,36.78,7625900,0
2015-07-14,36.99,37.74,36.6,36.93,4653323,0
2015-07-15,37.98,38.2,37.03,37.51,13072733,0
2015-07-16,38.82,39.97,38.08,38.63,21348400,0
2015-07-17,39.42,40.2,38.18,38.39,45720200,0
2015-07-20,41.46,42.55,39.8,40.47,52286500,0
2015-07-21,41.08,41.11,39.12,39.35,32954500,0
2015-07-22,39.35,39.72,38.1,38.39,25380800,0
2015-07-23,38.74,38.75,36.93,37.01,19250100,0
2015-07-24,37.71,38,36.91,37,14274300,0
2015-07-27,36.78,37.38,36.22,36.39,16179900,0
2015-07-28,37.19,38,36.83,37.6,18986000,0
2015-07-29,38.03,38.1,37.62,37.95,11788400,0
2015-07-30,38.04,39.01,37.72,38.45,13845000,0
2015-07-31,39.14,39.2,38.22,38.7,12480500,0
2015-08-03,39.25,39.88,38.9,39.39,15126574,0
2015-08-04,39.91,39.91,38.43,38.95,10992200,0
2015-08-05,39.7,39.88,39.17,39.27,9463100,0
2015-08-06,39.63,39.74,38.55,38.85,7324057,0
2015-08-07,39.04,39.23,38.6,39.13,8331300,0
2015-08-10,39.43,39.69,38.77,39.05,7998900,0
2015-08-11,38.93,39.28,38.72,38.85,8183704,0
2015-08-12,38.55,38.58,37.01,38.19,21366600,0
2015-08-13,38.4,38.49,37.44,37.62,7863500,0
2015-08-14,37.49,38.18,37.38,38.14,6271100,0
2015-08-17,38.3,38.75,37.7,38.73,4931700,0
2015-08-18,39,39,37.87,37.99,4678800,0
2015-08-19,37.87,38.1,37.03,37.19,6923400,0
2015-08-20,36.85,37.34,35.88,35.98,10645600,0
2015-08-21,35.57,36.11,33.83,34.25,16824100,0
2015-08-24,31.23,34.85,30,33.75,19676580,0
2015-08-25,35.44,35.46,32.7,32.7,15557000,0
2015-08-26,33.7,33.84,31.71,33.17,25350300,0
2015-08-27,33.87,34.77,33.16,34.62,18909500,0
2015-08-28,34.51,35.26,34.37,35.04,8344800,0
2015-08-31,35.5,35.51,34.77,35,12123700,0
2015-09-01,34.15,34.68,33.41,33.77,13375900,0
2015-09-02,34.6,35.08,33.83,35.07,7521000,0
2015-09-03,35.01,35.46,34.77,35.31,6683800,0
2015-09-04,34.71,34.72,33.78,34.29,7483700,0
2015-09-08,34.81,34.89,34.25,34.7,7674400,0
2015-09-09,34.92,34.95,33.88,34.37,10946800,0
2015-09-10,34.23,34.29,32.95,33.46,12134491,0
2015-09-11,33.27,33.59,32.61,33.55,9184200,0
2015-09-14,33.7,33.95,33.2,33.77,7897600,0
2015-09-15,33.72,33.95,32.67,33.8,11874800,0
2015-09-16,33.46,34.06,33.36,33.77,7183900,0
2015-09-17,33.72,33.99,33.08,33.32,7846700,0
2015-09-18,32.9,33.78,32.55,32.92,16488100,0
2015-09-21,33.66,34.62,33.43,34.25,12736400,0
2015-09-22,33.94,34.1,33.19,33.35,8538000,0
2015-09-23,33.49,34.34,33.26,34.16,5405500,0
2015-09-24,34,34.07,33.38,33.91,6541233,0
2015-09-25,34.6,34.69,33.5,33.77,6566700,0
2015-09-28,33.68,33.68,32.155,32.25,7407253,0
2015-09-29,32.27,32.67,30.3,30.63,12008100,0
2015-09-30,31.2,31.28,30.64,31.04,13672000,0
2015-10-01,30.82,31.59,30.75,31.48,9656900,0
2015-10-02,30.82,32.86,30.75,32.83,7609700,0
2015-10-05,32.95,33.02,32.38,32.67,6119005,0
2015-10-06,32.91,32.91,31.78,31.86,7443700,0
2015-10-07,32.31,32.47,31.52,32.38,6969500,0
2015-10-08,32.44,32.45,31.09,31.67,9281400,0
2015-10-09,31.69,32.45,31.41,32.06,5909800,0
2015-10-12,32.19,32.67,32.1,32.63,3915418,0
2015-10-13,32.6,33.48,32.34,33.22,8787700,0
2015-10-14,33.9,34.46,33.4,34.05,8198200,0
2015-10-15,34.33,34.72,34.16,34.62,9103200,0
2015-10-16,34.75,35.05,33.95,34.29,5390700,0
2015-10-19,34.43,34.9,33.79,34.84,5855600,0
2015-10-20,34.8,34.99,34.59,34.875,4948248,0
2015-10-21,34.75,34.8,32.88,33.83,9113800,0
2015-10-22,34.43,35.25,34.26,34.79,8735500,0
2015-10-23,35.73,35.75,34.8,34.99,8909100,0
2015-10-26,36.05,36.59,35.51,36.44,11554600,0
2015-10-27,36.39,36.39,35.31,35.94,8502400,0
2015-10-28,36.21,36.65,35.81,36.52,11634300,0
2015-10-29,34.73,36.5,34.5,35.91,25137200,0
2015-10-30,35.64,36.49,35.24,36.01,13409200,0
2015-11-02,35.58,37.41,35.45,36.99,11254928,0
2015-11-03,37.05,38.44,37,37.9,12025200,0
2015-11-04,38.45,38.52,37.33,37.6,12226757,0
2015-11-05,37.82,37.98,36.66,36.71,9068800,0
2015-11-06,36.59,36.7,35.8,36.24,10256800,0
2015-11-09,36.1,36.74,35.65,36.6,11571512,0
2015-11-10,36.58,37.2,36.5,37,36384400,0
2015-11-11,37.19,37.32,35.75,36.33,12762400,0
2015-11-12,35.94,36.05,34.83,35.57,11835800,0
2015-11-13,35.18,35.5,34.5,34.53,7364300,0
2015-11-16,34.55,35.66,34.53,35.61,6734400,0
2015-11-17,35.89,36.45,35.71,36.21,7344900,0
2015-11-18,36.32,36.95,35.78,36.22,8323100,0
2015-11-19,36.45,36.5,35.91,36.19,5042200,0
2015-11-20,36.45,36.45,35.92,36.36,4543400,0
2015-11-23,36.5,36.65,35.41,35.56,6960900,0
2015-11-24,35.25,35.3,34.88,35.12,8389900,0
2015-11-25,35.2,35.86,35.13,35.36,3882100,0
2015-11-27,35.52,35.7,35.06,35.18,2550100,0
2015-11-30,35.36,35.44,34.69,35.26,9357300,0
2015-12-01,35.41,35.41,33.85,35.17,14893927,0
2015-12-02,35.23,36.17,34.93,35.15,5762380,0
2015-12-03,35.2,35.23,33.85,34.23,7311824,0
2015-12-04,34.38,35.82,34.22,35.62,10664300,0
2015-12-07,35.71,35.8,34.85,35.16,4917900,0
2015-12-08,34.63,35.7,34.52,35.6,7420819,0
2015-12-09,35.39,35.6,34.83,35.07,7381600,0
2015-12-10,35.16,35.91,35.16,35.49,6949700,0
2015-12-11,35.15,35.33,34.42,34.69,8309200,0
2015-12-14,34.61,35.22,34.33,35.01,5803075,0
2015-12-15,35.19,36.51,35.18,36.32,11709800,0
2015-12-16,36.12,36.25,35.19,35.98,7076200,0
2015-12-17,36,36.58,35.51,35.54,6454000,0
