Date,Open,High,Low,Close,Volume,OpenInt
2017-06-08,25.27,25.28,25.27,25.27,621,0
2017-06-09,25.27,25.27,25.27,25.27,0,0
2017-06-12,25.27,25.27,25.27,25.27,0,0
2017-06-13,25.01,25.01,25.01,25.01,439,0
2017-06-14,25.27,25.27,25.27,25.27,2500,0
2017-06-15,24.87,24.87,24.87,24.87,0,0
2017-06-16,24.87,24.87,24.87,24.87,0,0
2017-06-19,24.87,24.87,24.87,24.87,0,0
2017-06-20,24.87,24.87,24.87,24.87,0,0
2017-06-21,24.83,24.83,24.83,24.83,399,0
2017-06-22,24.83,24.83,24.83,24.83,0,0
2017-06-23,24.83,24.83,24.83,24.83,0,0
2017-06-26,24.83,24.83,24.83,24.83,0,0
2017-06-27,24.83,24.83,24.83,24.83,0,0
2017-06-28,25.18,25.27,25.18,25.1899,739,0
2017-06-29,25.08,25.08,24.9925,24.9925,1661,0
2017-06-30,25.1495,25.1495,25.1495,25.1495,390,0
2017-07-03,25.1495,25.1495,25.1495,25.1495,0,0
2017-07-05,25.1495,25.1495,25.1495,25.1495,0,0
2017-07-06,25.0671,25.07,25.0286,25.0286,3055,0
2017-07-07,25.0286,25.0286,25.0286,25.0286,0,0
2017-07-10,25.0286,25.0286,25.0286,25.0286,0,0
2017-07-11,25.0286,25.0286,25.0286,25.0286,0,0
2017-07-12,25.0286,25.0286,25.0286,25.0286,0,0
2017-07-13,25.89,25.95,25.865,25.95,1311,0
2017-07-14,26.15,26.23,26.14,26.2294,1960,0
2017-07-17,26.14,26.14,26.14,26.14,535,0
2017-07-18,26.1969,26.2394,26.1969,26.2394,582,0
2017-07-19,26.3896,26.43,26.3896,26.4037,584,0
2017-07-20,26.4136,26.53,26.4062,26.51,20243,0
2017-07-21,26.4099,26.41,26.351,26.351,711,0
2017-07-24,26.5162,26.5162,26.5162,26.5162,278,0
2017-07-25,26.4799,26.48,26.46,26.46,786,0
2017-07-26,26.45,26.59,26.41,26.59,2021,0
2017-07-27,26.62,26.62,26.39,26.39,446,0
2017-07-28,26.309,26.32,26.309,26.32,671,0
2017-07-31,26.42,26.42,26.3684,26.39,812,0
2017-08-01,26.52,26.53,26.4401,26.4401,1065,0
2017-08-02,26.4401,26.4401,26.4401,26.4401,0,0
2017-08-03,26.34,26.37,26.32,26.36,792,0
2017-08-04,26.36,26.36,26.36,26.36,0,0
2017-08-07,26.72,26.72,26.7156,26.72,852,0
2017-08-08,26.72,26.72,26.72,26.72,0,0
2017-08-09,26.72,26.72,26.72,26.72,0,0
2017-08-10,26.72,26.72,26.72,26.72,0,0
2017-08-11,26.16,26.2,26.16,26.2,243,0
2017-08-14,26.51,26.51,26.46,26.46,214,0
2017-08-15,26.63,26.64,26.42,26.42,1329,0
2017-08-16,26.42,26.42,26.42,26.42,0,0
2017-08-17,26.42,26.42,26.42,26.42,0,0
2017-08-18,26.42,26.42,26.42,26.42,0,0
2017-08-21,26.57,26.57,26.57,26.57,500,0
2017-08-22,26.8588,26.8588,26.8588,26.8588,100,0
2017-08-23,26.8588,26.8588,26.8588,26.8588,0,0
2017-08-24,27.0571,27.0571,27.0571,27.0571,204,0
2017-08-25,27.0571,27.0571,27.0571,27.0571,0,0
2017-08-28,27.0571,27.0571,27.0571,27.0571,0,0
2017-08-29,27.0571,27.0571,27.0571,27.0571,0,0
2017-08-30,27.16,27.16,27.16,27.16,500,0
2017-08-31,27.21,27.21,27.21,27.21,222,0
2017-09-01,27.21,27.21,27.21,27.21,0,0
2017-09-05,27.1,27.1,27.07,27.07,1007,0
2017-09-06,27.07,27.07,27.07,27.07,0,0
2017-09-07,27.07,27.07,27.07,27.07,0,0
2017-09-08,26.9799,26.9799,26.9799,26.9799,115,0
2017-09-11,27.23,27.23,27.23,27.23,0,0
2017-09-12,27.23,27.23,27.23,27.23,0,0
2017-09-13,27.2854,27.2854,27.2854,27.2854,144,0
2017-09-14,27.2854,27.2854,27.2854,27.2854,0,0
2017-09-15,27.2854,27.2854,27.2854,27.2854,0,0
2017-09-18,27.7719,27.7719,27.753,27.753,697,0
2017-09-19,27.753,27.753,27.753,27.753,0,0
2017-09-20,27.753,27.753,27.753,27.753,0,0
2017-09-21,27.753,27.753,27.753,27.753,0,0
2017-09-22,27.4799,27.48,27.4799,27.48,740,0
2017-09-25,27.24,27.24,26.95,26.97,739,0
2017-09-26,27.12,27.12,27.12,27.12,112,0
2017-09-27,27.12,27.12,27.12,27.12,0,0
2017-09-28,27.12,27.12,27.12,27.12,0,0
2017-09-29,27.12,27.12,27.12,27.12,0,0
2017-10-02,27.21,27.3399,27.16,27.28,19020,0
2017-10-03,27.49,27.49,27.49,27.49,100000,0
2017-10-04,27.61,27.63,27.61,27.62,6242,0
2017-10-05,27.78,27.83,27.71,27.82,13250,0
2017-10-06,27.6316,27.74,27.6316,27.74,11871,0
2017-10-09,27.6,27.6,27.6,27.6,10000,0
2017-10-10,27.89,27.92,27.88,27.88,10678,0
2017-10-11,27.96,27.96,27.96,27.96,10079,0
2017-10-12,28.04,28.04,28.04,28.04,132,0
2017-10-13,28.32,28.32,28.32,28.32,10000,0
2017-10-16,28.32,28.32,28.3099,28.3099,10273,0
2017-10-17,28.12,28.19,28.12,28.19,10106,0
2017-10-18,28.16,28.16,28.1,28.16,10196,0
2017-10-19,27.96,27.96,27.88,27.88,11862,0
2017-10-20,28.05,28.07,28.0458,28.07,2460,0
2017-10-23,28.13,28.13,27.96,27.98,100445,0
2017-10-24,27.86,27.86,27.86,27.86,10020,0
2017-10-25,27.86,27.86,27.86,27.86,10021,0
2017-10-26,27.96,27.96,27.81,27.9,10402,0
2017-10-27,27.9,28.07,27.9,28.07,10418,0
2017-10-30,27.87,27.87,27.87,27.87,10071,0
2017-10-31,28.05,28.05,28.0499,28.0499,5578,0
2017-11-01,28.16,28.19,28.16,28.19,12260,0
2017-11-02,28.28,28.28,28.13,28.13,12698,0
2017-11-03,27.96,27.96,27.96,27.96,10003,0
2017-11-06,28.3,28.4299,28.3,28.4299,100205,0
2017-11-07,28.22,28.28,28.22,28.25,10509,0
2017-11-08,28.38,28.47,28.36,28.47,13246,0
2017-11-09,28.23,28.27,28.138,28.27,10439,0
2017-11-10,28.22,28.22,28.14,28.14,10241,0
