Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.1221,6.2053,6.1116,6.1639,6902,0
2005-02-28,6.1639,6.1793,6.1583,6.174,7484,0
2005-03-01,6.1793,6.1793,6.174,6.1793,16303,0
2005-03-02,6.2053,6.2105,6.2053,6.2053,6327,0
2005-03-03,6.2053,6.2053,6.1533,6.1533,19556,0
2005-03-04,6.1583,6.2418,6.1583,6.2418,15536,0
2005-03-07,6.2315,6.2315,6.174,6.174,26662,0
2005-03-08,6.1842,6.2418,6.1842,6.2212,18988,0
2005-03-09,6.2315,6.2523,6.1842,6.2523,19556,0
2005-03-10,6.2315,6.2315,6.1688,6.1842,6519,0
2005-03-11,6.2105,6.247,6.2053,6.247,25899,0
2005-03-14,6.2105,6.2366,6.2105,6.2315,4989,0
2005-03-15,6.2263,6.2836,6.2158,6.2158,17644,0
2005-03-16,6.2315,6.2418,6.2263,6.2418,14376,0
2005-03-17,6.2158,6.2575,6.1793,6.2418,22821,0
2005-03-18,6.2418,6.247,6.1793,6.1793,14376,0
2005-03-21,6.1793,6.247,6.1793,6.2263,11505,0
2005-03-22,6.1842,6.2263,6.1372,6.2158,21284,0
2005-03-23,6.2001,6.2418,5.642,5.814,132522,0
2005-03-24,5.7621,5.8505,5.6631,5.7203,49480,0
2005-03-28,5.7362,5.7362,5.4907,5.5742,34519,0
2005-03-29,5.5325,5.59,5.298,5.4442,81884,0
2005-03-30,5.3866,5.5432,5.3866,5.5168,24733,0
2005-03-31,5.4753,5.5064,5.4442,5.5064,10163,0
2005-04-01,5.4753,5.5794,5.4753,5.5064,17068,0
2005-04-04,5.5014,5.6211,5.4753,5.5168,17262,0
2005-04-05,5.5276,5.5536,5.47,5.5536,13426,0
2005-04-06,5.5794,5.6159,5.5378,5.611,27999,0
2005-04-07,5.6056,5.6527,5.5692,5.642,27423,0
2005-04-08,5.642,5.6577,5.5536,5.6577,19365,0
2005-04-11,5.6682,5.6788,5.5848,5.6577,12465,0
2005-04-12,5.642,5.6733,5.5432,5.5794,17836,0
2005-04-13,5.6733,5.6733,5.5432,5.6474,8431,0
