Date,Open,High,Low,Close,Volume,OpenInt
1995-04-04,2.669,2.6917,2.5556,2.6782,22205246,0
1995-04-05,2.6372,2.6917,2.5782,2.5782,6727902,0
1995-04-06,2.5782,2.669,2.5782,2.6236,2076079,0
1995-04-07,2.6372,2.6372,2.5782,2.5782,1056077,0
1995-04-10,2.5782,2.6372,2.5782,2.6103,1125568,0
1995-04-11,2.5782,2.6372,2.5782,2.5965,2252457,0
1995-04-12,2.5782,2.6103,2.5782,2.5965,1351209,0
1995-04-13,2.5782,2.6103,2.5782,2.6103,1263240,0
1995-04-17,2.5782,2.6782,2.5782,2.6782,1228054,0
1995-04-18,2.6236,2.6782,2.6103,2.669,1342414,0
1995-04-19,2.6103,2.6372,2.5556,2.5782,782046,0
1995-04-20,2.5556,2.5556,2.4646,2.4828,562565,0
1995-04-21,2.4646,2.5556,2.4646,2.537,1541224,0
1995-04-24,2.4964,2.5556,2.4964,2.4964,354517,0
1995-04-25,2.4964,2.5556,2.4964,2.5556,266547,0
1995-04-26,2.4964,2.5556,2.4964,2.4964,83129,0
1995-04-27,2.4964,2.5556,2.4964,2.5237,1952921,0
1995-04-28,2.5237,2.5556,2.51,2.51,591595,0
1995-05-01,2.5556,2.5556,2.51,2.51,1257524,0
1995-05-02,2.51,2.6236,2.51,2.5782,666370,0
1995-05-03,2.5556,2.6236,2.5237,2.5965,435010,0
1995-05-04,2.5782,2.6236,2.5556,2.5556,555967,0
1995-05-05,2.5556,2.6103,2.5556,2.5556,90169,0
1995-05-08,2.5556,2.6236,2.5556,2.5556,32546,0
1995-05-09,2.5556,2.5782,2.4828,2.4964,325926,0
1995-05-10,2.5556,2.5556,2.4828,2.4964,449522,0
1995-05-11,2.4964,2.5556,2.4828,2.4964,338243,0
1995-05-12,2.5556,2.5556,2.4828,2.4964,557286,0
1995-05-15,2.537,2.537,2.4508,2.4508,2028575,0
1995-05-16,2.4508,2.4828,2.4508,2.4646,1364406,0
1995-05-17,2.4828,2.4828,2.4508,2.46,180337,0
1995-05-18,2.4508,2.4646,2.3509,2.3964,282821,0
1995-05-19,2.3825,2.3964,2.3509,2.3689,1019127,0
1995-05-22,2.3964,2.4098,2.3509,2.4098,237956,0
1995-05-23,2.3509,2.51,2.3509,2.4964,445125,0
1995-05-24,2.4646,2.5556,2.4646,2.5556,921920,0
1995-05-25,2.5556,2.5556,2.4646,2.5556,115238,0
1995-05-26,2.5556,2.5556,2.4646,2.5556,35185,0
1995-05-30,2.5237,2.5782,2.4646,2.5237,307013,0
1995-05-31,2.5643,2.5782,2.5237,2.5782,267866,0
1995-06-01,2.5965,2.7239,2.5556,2.6103,784688,0
1995-06-02,2.6103,2.7829,2.6103,2.7239,611828,0
1995-06-05,2.7239,2.7829,2.7239,2.7372,439410,0
1995-06-06,2.7829,2.7829,2.7239,2.7239,145589,0
1995-06-07,2.7239,2.7829,2.6917,2.7509,258191,0
1995-06-08,2.7509,2.7509,2.669,2.669,37386,0
1995-06-09,2.7239,2.7239,2.669,2.6917,137233,0
1995-06-12,2.669,2.7239,2.669,2.7239,52341,0
1995-06-13,2.7239,2.7239,2.669,2.669,277543,0
1995-06-14,2.669,2.669,2.6103,2.669,357155,0
1995-06-15,2.6103,2.669,2.6103,2.6236,385309,0
1995-06-16,2.669,2.669,2.6103,2.6372,237516,0
1995-06-19,2.6103,2.7239,2.6103,2.7239,219043,0
1995-06-20,2.7509,2.7509,2.669,2.669,66420,0
1995-06-21,2.6917,2.7829,2.669,2.7239,689681,0
1995-06-22,2.7239,2.7829,2.7101,2.7101,156586,0
1995-06-23,2.6917,2.7509,2.669,2.7509,152187,0
1995-06-26,2.7509,2.7509,2.669,2.7101,21556,0
1995-06-27,2.7509,2.7509,2.669,2.6917,347480,0
1995-06-28,2.669,2.7509,2.669,2.669,272264,0
1995-06-29,2.669,2.7509,2.6103,2.6103,517260,0
1995-06-30,2.6372,2.6372,2.5782,2.5872,405541,0
1995-07-03,2.5782,2.6103,2.5556,2.5556,53221,0
1995-07-05,2.6372,2.6372,2.5556,2.5556,125799,0
