Date,Open,High,Low,Close,Volume,OpenInt
2017-06-09,17.919,18.007,17.138,17.948,282933,0
2017-06-12,18.046,18.075,17.684,17.861,59845,0
2017-06-13,17.831,17.948,17.588,17.792,31532,0
2017-06-14,17.655,17.879,17.568,17.568,24814,0
2017-06-15,17.568,17.753,17.568,17.665,20171,0
2017-06-16,17.753,18.032,17.578,17.997,13494,0
2017-06-19,17.763,18.007,17.578,17.616,19404,0
2017-06-20,17.685,17.863,17.587,17.665,13189,0
2017-06-21,17.717,17.753,17.618,17.618,24535,0
2017-06-22,17.753,17.753,17.568,17.588,21231,0
2017-06-23,17.568,17.878,17.548,17.841,37496,0
2017-06-26,17.899,17.899,17.509,17.889,55662,0
2017-06-27,17.958,17.958,17.509,17.568,30702,0
2017-06-28,17.519,17.802,17.275,17.802,88126,0
2017-06-29,17.353,17.665,17.353,17.616,46548,0
2017-06-30,17.568,18.3,17.568,18.3,34113,0
2017-07-03,18.105,18.3,17.889,18.3,27416,0
2017-07-05,17.707,18.608,17.707,18.608,24580,0
2017-07-06,18.05,18.556,18.05,18.363,21369,0
2017-07-07,18.314,18.481,18.168,18.461,17884,0
2017-07-10,18.481,18.481,17.629,17.629,18324,0
2017-07-11,17.629,17.825,17.629,17.825,3529,0
2017-07-12,17.732,18.018,17.629,17.639,9863,0
2017-07-13,17.731,17.731,17.266,17.531,11500,0
2017-07-14,17.394,17.629,17.276,17.629,10028,0
2017-07-17,17.452,17.87,17.134,17.149,12458,0
2017-07-18,17.012,17.58,16.649,16.982,19680,0
2017-07-19,16.992,16.992,16.16,16.894,20633,0
2017-07-20,16.591,16.777,16.404,16.551,28171,0
2017-07-21,16.502,16.845,16.453,16.75,16995,0
2017-07-24,16.747,16.992,16.747,16.992,24772,0
2017-07-25,16.992,18.069,16.992,18.069,22833,0
2017-07-26,17.923,17.923,16.992,17.188,17312,0
2017-07-27,17.139,17.384,17.002,17.384,13494,0
2017-07-28,17.384,17.867,17.188,17.335,8758,0
2017-07-31,17.384,18.011,16.992,17.188,8719,0
2017-08-01,17.619,17.825,16.894,17.825,19616,0
2017-08-02,17.825,17.825,17.002,17.58,15536,0
2017-08-03,17.159,17.629,16.961,17.178,18185,0
2017-08-04,17.348,17.994,16.689,17.139,9259,0
2017-08-07,17.002,17.539,16.669,16.992,14799,0
2017-08-08,16.894,16.992,16.6,16.708,14836,0
2017-08-09,16.698,16.845,16.698,16.796,8307,0
2017-08-10,16.796,17.041,16.698,16.816,10343,0
2017-08-11,16.698,16.796,16.698,16.698,3500,0
2017-08-14,16.698,17.1,16.698,16.845,9887,0
2017-08-15,16.845,17.795,16.786,17.301,14733,0
2017-08-16,16.963,17.051,16.698,16.894,5078,0
2017-08-17,17.727,17.766,16.914,17.286,19886,0
2017-08-18,17.266,17.756,16.914,17.756,7267,0
2017-08-21,17.629,17.629,16.914,17.531,23818,0
2017-08-22,17.546,17.546,17.207,17.237,18656,0
2017-08-23,17.139,18.118,16.796,18.118,28512,0
2017-08-24,17.766,17.766,17.247,17.247,9783,0
2017-08-25,17.521,17.727,17.296,17.727,33262,0
2017-08-28,17.677,17.677,17.237,17.257,22785,0
2017-08-29,17.188,17.629,17.188,17.629,19517,0
2017-08-30,17.629,17.629,17.157,17.247,19893,0
2017-08-31,17.198,17.727,17.198,17.727,16374,0
2017-09-01,17.619,17.619,17.346,17.511,10565,0
2017-09-05,17.618,17.619,17.208,17.599,25651,0
2017-09-06,17.413,18.118,17.413,17.893,10677,0
2017-09-07,17.874,18.053,17.433,17.825,21197,0
2017-09-08,17.384,17.727,17.247,17.531,21264,0
2017-09-11,17.687,18.118,17.521,18.118,47239,0
2017-09-12,17.687,18.608,17.659,18.608,26784,0
2017-09-13,18.03,18.471,17.825,17.825,30877,0
