Date,Open,High,Low,Close,Volume,OpenInt
2016-04-19,24.168,24.235,24.044,24.187,3777,0
2016-04-20,24.147,24.187,24.147,24.187,420,0
2016-04-21,24.683,24.683,23.826,23.826,424,0
2016-04-26,23.75,23.75,23.75,23.75,465,0
2016-04-27,23.769,23.988,23.769,23.988,315,0
2016-04-28,23.911,23.95,23.911,23.95,209,0
2016-04-29,23.741,23.741,23.741,23.741,165,0
2016-05-02,23.769,23.769,23.768,23.768,724,0
2016-05-05,22.873,22.873,22.873,22.873,184,0
2016-05-25,22.615,22.615,22.615,22.615,5194,0
2016-05-31,21.948,21.948,21.948,21.948,190,0
2016-06-01,22.825,22.825,22.825,22.825,461,0
2016-06-02,22.979,22.979,22.979,22.979,105,0
2016-06-08,23.94,23.94,23.94,23.94,209,0
2016-06-10,23.282,23.282,23.282,23.282,341,0
2016-06-16,22.586,22.845,22.586,22.845,761,0
2016-06-17,22.997,22.997,22.997,22.997,844,0
2016-06-24,23.101,23.252,22.946,22.946,538,0
2016-06-27,22.372,22.372,22.372,22.372,105,0
2016-06-30,23.873,23.873,23.873,23.873,151,0
2016-07-12,24.302,24.302,24.302,24.302,314,0
2016-07-13,23.557,24.302,23.557,24.302,343,0
2016-07-22,24.608,24.608,24.608,24.608,105,0
2016-07-29,24.713,24.713,24.713,24.713,184,0
2016-08-03,24.66,24.66,24.66,24.66,361,0
2016-08-05,25.095,25.095,25.095,25.095,446,0
2016-08-11,25.554,25.554,25.552,25.552,314,0
2016-08-17,25.496,25.534,25.496,25.534,732,0
2016-08-18,25.648,25.648,25.648,25.648,523,0
2016-08-31,24.608,24.608,24.589,24.589,732,0
2016-09-07,25.477,25.477,25.467,25.467,272,0
2016-09-09,24.894,24.894,24.656,24.656,1168,0
2016-09-12,24.818,24.818,24.818,24.818,105,0
2016-09-14,24.476,24.476,24.465,24.465,220,0
2016-09-16,24.512,24.512,24.512,24.512,168,0
2016-09-19,24.675,24.675,24.675,24.675,225,0
2016-09-20,24.092,24.216,24.073,24.216,14341,0
2016-09-21,25.242,25.242,25.242,25.242,114,0
2016-09-22,25.436,25.436,25.396,25.396,931,0
2016-09-23,25.193,25.193,25.135,25.135,1137,0
2016-09-29,25.193,25.193,24.956,24.956,1171,0
2016-09-30,25.058,25.058,25.058,25.058,191,0
2016-10-05,25.213,25.213,25.213,25.213,622,0
2016-10-06,25.145,25.175,25.145,25.175,616,0
2016-10-14,24.879,24.932,24.879,24.932,801,0
2016-10-19,25.339,25.339,25.339,25.339,704,0
2016-10-20,25.252,25.252,25.243,25.243,455,0
2016-10-26,25.232,25.291,25.232,25.242,348,0
2016-10-27,25.117,25.117,25.107,25.107,435,0
2016-10-28,25.059,25.106,24.971,24.971,481,0
2016-11-01,24.806,24.806,24.806,24.806,310,0
2016-11-03,24.846,24.846,24.846,24.846,196,0
2016-11-09,24.932,24.971,24.875,24.875,492,0
2016-11-16,23.395,23.395,23.383,23.383,414,0
2016-11-17,23.483,23.483,23.483,23.483,212,0
2016-11-22,23.773,23.773,23.638,23.638,389,0
2016-11-23,23.53,23.54,23.53,23.54,680,0
2016-11-30,23.753,23.753,23.743,23.743,271,0
2016-12-07,24.168,24.168,24.168,24.168,104,0
2016-12-08,24.256,25.706,24.256,25.446,4552,0
2016-12-12,24.186,24.189,24.186,24.189,354,0
2016-12-15,23.894,23.894,23.894,23.894,103,0
2016-12-16,23.854,23.854,23.854,23.854,349,0
2016-12-19,23.699,23.699,23.699,23.699,159,0
2016-12-21,23.739,23.739,23.732,23.732,227,0
2016-12-22,23.554,23.554,23.554,23.554,103,0
2016-12-23,23.524,23.524,23.427,23.427,455,0
2016-12-28,23.691,23.691,23.691,23.691,512,0
2016-12-29,24.121,24.121,24.121,24.121,103,0
2017-01-03,24.248,24.248,24.248,24.248,103,0
2017-01-04,24.433,24.433,24.433,24.433,200,0
2017-01-05,24.57,24.57,24.57,24.57,230932,0
2017-01-10,24.532,24.844,24.532,24.546,15959,0
2017-01-11,24.443,24.6,24.443,24.542,549,0
2017-01-12,24.814,24.899,24.79,24.886,1909,0
2017-01-17,24.932,25.21,24.89,25.21,4225,0
2017-01-18,24.913,24.952,24.784,24.815,4041,0
2017-01-19,24.786,24.786,24.711,24.711,706,0
2017-01-20,24.727,24.735,24.727,24.735,246,0
2017-01-23,25,25,24.974,24.974,521,0
2017-01-24,25.245,25.284,25.245,25.284,565,0
2017-01-25,25.336,25.343,25.336,25.343,89801,0
2017-01-26,25.411,25.45,25.391,25.45,334,0
2017-01-27,25.333,25.362,25.323,25.362,9106,0
2017-01-30,25.127,25.153,25.127,25.153,329,0
2017-01-31,25.166,25.166,25.151,25.151,356,0
2017-02-01,25.243,25.243,25.243,25.243,434,0
2017-02-02,25.376,25.391,25.373,25.391,2022,0
2017-02-03,25.63,25.645,25.63,25.645,1074,0
2017-02-06,25.499,25.499,25.473,25.489,768,0
2017-02-07,25.421,25.421,25.402,25.402,658,0
2017-02-08,25.548,25.548,25.522,25.522,1266,0
2017-02-09,25.714,25.734,25.695,25.704,1102,0
2017-02-10,25.856,25.909,25.856,25.893,2255,0
2017-02-13,26.04,26.105,26.04,26.105,1807,0
2017-02-14,26.054,26.183,26.054,26.183,352,0
2017-02-17,26.07,26.095,26.066,26.095,551,0
2017-02-21,26.163,26.213,26.154,26.193,2699,0
2017-02-22,26.31,26.31,26.285,26.31,2229,0
2017-02-24,26.222,26.222,26.222,26.222,128,0
2017-02-27,26.115,26.115,26.115,26.115,3129,0
2017-03-06,26.007,26.061,25.939,26.061,262344,0
2017-03-07,26.056,26.056,26.056,26.056,1842,0
2017-03-08,26.007,26.017,25.782,25.851,21926,0
2017-03-10,25.714,25.714,25.714,25.714,118,0
2017-03-13,25.871,25.919,25.861,25.919,1586,0
2017-03-14,25.955,25.955,25.948,25.948,714,0
2017-03-15,25.988,26.506,25.988,26.506,1677,0
2017-03-16,26.738,26.738,26.738,26.738,132,0
2017-03-20,26.994,26.994,26.994,26.994,103,0
2017-03-21,27.102,27.102,26.77,26.77,1462,0
2017-03-22,26.844,26.897,26.844,26.886,7603,0
2017-03-23,26.808,26.917,26.808,26.878,2822,0
2017-03-24,26.858,26.975,26.828,26.917,411,0
2017-03-27,26.74,26.838,26.74,26.838,9977,0
2017-03-28,26.798,26.798,26.78,26.78,1324,0
2017-03-30,26.708,26.708,26.633,26.633,925,0
2017-03-31,26.379,26.437,26.379,26.437,1187,0
2017-04-03,26.477,26.526,26.477,26.486,1018,0
2017-04-04,26.496,26.594,26.496,26.584,3110,0
2017-04-05,26.564,26.574,26.564,26.564,1330,0
2017-04-06,26.408,26.467,26.408,26.467,512,0
2017-04-07,26.32,26.32,26.32,26.32,132,0
2017-04-10,26.232,26.242,26.223,26.242,752,0
2017-04-12,26.388,26.388,26.388,26.388,215,0
2017-04-18,26.359,26.389,26.359,26.389,205,0
2017-04-20,26.31,26.31,26.31,26.31,169,0
2017-04-21,26.229,26.281,26.229,26.281,1130,0
2017-04-24,26.574,26.574,26.574,26.574,168,0
2017-04-25,26.798,26.798,26.798,26.798,103,0
2017-04-26,26.798,26.798,26.798,26.798,0,0
2017-04-27,26.633,26.633,26.633,26.633,158,0
2017-05-01,26.837,26.837,26.831,26.831,260,0
2017-05-05,26.594,26.681,26.569,26.681,641,0
2017-05-08,26.486,26.486,26.486,26.486,749,0
2017-05-11,26.74,26.74,26.74,26.74,103,0
2017-05-12,26.74,26.74,26.74,26.74,0,0
2017-05-16,27.171,27.181,27.141,27.141,389,0
2017-05-17,27.141,27.141,26.813,26.813,2993,0
2017-05-18,26.066,26.066,26.066,26.066,205,0
2017-05-19,26.516,26.784,26.516,26.784,693,0
2017-05-22,26.671,26.671,26.671,26.671,103,0
2017-05-23,26.671,26.671,26.671,26.671,0,0
2017-05-24,26.985,26.985,26.985,26.985,716,0
2017-05-25,27.009,27.02,27.007,27.007,492,0
2017-05-31,26.76,26.76,26.76,26.76,103,0
2017-06-01,26.975,27.062,26.975,26.975,1098,0
2017-06-02,27.034,27.034,27.034,27.034,112,0
2017-06-05,27.082,27.082,27.082,27.082,0,0
2017-06-06,27.024,27.024,27.024,27.024,103,0
2017-06-07,26.965,26.965,26.965,26.965,103,0
2017-06-08,26.965,26.965,26.965,26.965,0,0
2017-06-12,26.877,26.877,26.877,26.877,103,0
2017-06-13,26.955,26.955,26.955,26.955,103,0
2017-06-14,26.935,26.935,26.935,26.935,103,0
2017-06-15,26.623,26.681,26.496,26.506,2009,0
2017-06-19,26.81,26.81,26.801,26.801,260,0
2017-06-21,26.567,26.588,26.567,26.588,1089,0
2017-07-05,26.912,26.912,26.912,26.912,235,0
2017-07-06,26.843,26.843,26.843,26.843,159,0
2017-07-10,26.959,26.959,26.943,26.943,1012,0
2017-07-11,27.059,27.059,27.059,27.059,406,0
2017-07-12,27.059,27.059,27.059,27.059,0,0
2017-07-13,27.67,27.67,27.67,27.67,102,0
2017-07-14,28.046,28.046,27.985,27.985,269,0
2017-07-17,28.034,28.034,27.946,27.946,539,0
2017-07-18,27.946,27.946,27.946,27.946,0,0
2017-07-19,28.197,28.216,28.182,28.182,597,0
2017-07-20,28.182,28.182,28.182,28.182,0,0
2017-07-21,28.113,28.137,28.113,28.137,244,0
2017-07-24,28.172,28.172,28.084,28.084,1320,0
2017-07-26,28.175,28.175,28.093,28.103,977,0
2017-07-27,28.103,28.103,28.103,28.103,0,0
2017-07-28,28.103,28.103,28.093,28.093,406,0
2017-08-01,28.024,28.024,28.005,28.005,423,0
2017-08-02,28.231,28.231,28.231,28.231,106,0
2017-08-09,28.103,28.103,28.103,28.103,199,0
2017-08-17,27.808,27.808,27.808,27.808,103,0
2017-08-23,28.271,28.271,28.271,28.271,205,0
2017-08-24,28.271,28.271,28.271,28.271,0,0
2017-08-29,28.605,28.605,28.605,28.605,102,0
2017-08-30,28.605,28.605,28.605,28.605,0,0
2017-09-01,28.912,28.912,28.912,28.912,1066,0
2017-09-06,28.927,28.927,28.927,28.927,518,0
2017-09-08,28.911,28.911,28.911,28.911,105,0
2017-09-18,29.039,29.039,29.039,29.039,102,0
2017-09-19,28.894,28.989,28.894,28.96,804,0
2017-09-20,28.921,29.009,28.517,28.812,210016,0
2017-09-21,28.84,28.84,28.73,28.73,2492,0
2017-09-22,28.56,28.57,28.52,28.54,35462,0
2017-09-25,28.2,28.2,28.11,28.11,409,0
2017-09-26,28.16,28.16,28.16,28.16,147,0
2017-09-27,27.88,27.9,27.8212,27.84,14555,0
2017-09-28,27.82,27.82,27.7886,27.82,961,0
2017-09-29,27.96,28,27.88,28,63123,0
2017-10-02,28,28.215,27.91,27.91,107217,0
2017-10-03,28.24,28.3048,28.24,28.3048,1630,0
2017-10-04,28.39,28.46,28.32,28.44,5305,0
2017-10-05,28.53,28.53,28.53,28.53,800,0
2017-10-06,28.31,28.43,28.31,28.43,679,0
2017-10-09,28.31,28.41,28.31,28.41,896,0
2017-10-10,28.6531,28.6531,28.53,28.53,401,0
2017-10-11,28.73,28.73,28.62,28.66,1823,0
2017-10-12,28.73,28.73,28.61,28.61,868,0
2017-10-13,28.61,28.61,28.61,28.61,0,0
2017-10-16,28.965,28.965,28.87,28.87,201,0
2017-10-17,28.73,28.74,28.705,28.73,1613,0
2017-10-18,28.795,28.795,28.76,28.76,362,0
2017-10-19,28.46,28.53,28.46,28.52,303,0
2017-10-20,28.58,28.58,28.49,28.52,1259,0
2017-10-23,28.4799,28.4799,28.34,28.34,988,0
2017-10-24,28.44,28.4859,28.38,28.38,1956,0
2017-10-25,28.2459,28.2459,28.2459,28.2459,100,0
2017-10-27,28.365,28.365,28.35,28.35,318,0
2017-10-30,28.3497,28.35,28.27,28.3,42855,0
2017-10-31,28.3413,28.409,28.3413,28.409,574,0
2017-11-01,28.5039,28.508,28.5,28.5,922,0
2017-11-02,28.4571,28.5,28.4571,28.5,446,0
2017-11-03,28.38,28.39,28.34,28.39,2194,0
2017-11-06,28.5,28.55,28.5,28.55,604,0
2017-11-09,28.33,28.33,28.33,28.33,532,0
2017-11-10,28.25,28.25,28.23,28.23,1500,0
