Date,Open,High,Low,Close,Volume,OpenInt
1995-12-08,1.7612,2.0615,1.7206,2.029,54832285,0
1995-12-11,2.102,2.3699,2.0939,2.2319,10950193,0
1995-12-12,2.2157,2.3536,2.167,2.167,5251834,0
1995-12-13,2.1264,2.1832,2.1102,2.1183,2532768,0
1995-12-14,2.0939,2.1507,1.8099,1.9803,4283379,0
1995-12-15,1.9478,1.9803,1.9073,1.9073,1168060,0
1995-12-18,1.891,1.9073,1.6719,1.7044,2500240,0
1995-12-19,1.6881,1.8586,1.6881,1.8423,2667317,0
1995-12-20,1.8586,1.8586,1.8099,1.8261,1354358,0
1995-12-21,1.8099,1.8586,1.8099,1.8586,816163,0
1995-12-22,1.8586,1.8586,1.8099,1.8423,782157,0
1995-12-26,1.8586,1.8586,1.8099,1.8099,319368,0
1995-12-27,1.8099,2.0777,1.8099,2.0777,1619020,0
1995-12-28,2.029,2.0939,1.9478,2.0452,761457,0
1995-12-29,2.0452,2.2319,2.0452,2.1994,1054211,0
1996-01-02,2.2157,2.2319,2.167,2.167,554459,0
1996-01-03,2.167,2.1994,1.9803,1.9803,853127,0
1996-01-04,1.9073,1.9478,1.8261,1.8748,2067023,0
1996-01-05,1.8261,1.8261,1.7044,1.7449,2661403,0
1996-01-08,1.7936,1.7936,1.7206,1.7936,588466,0
1996-01-09,1.7206,1.7936,1.6881,1.6881,1209460,0
1996-01-10,1.7449,1.7449,1.5907,1.6394,1293737,0
1996-01-11,1.7044,1.9316,1.6881,1.8099,1363230,0
1996-01-12,1.8099,1.8423,1.6881,1.8423,1085261,0
1996-01-15,1.8423,1.9803,1.8423,1.891,1241988,0
1996-01-16,1.9073,1.9073,1.6719,1.7774,579594,0
1996-01-17,1.7612,1.8748,1.7612,1.8423,428782,0
1996-01-18,1.8423,1.8748,1.8261,1.8261,473138,0
1996-01-19,1.8423,1.891,1.8423,1.891,402167,0
1996-01-22,1.8586,1.891,1.8586,1.8748,443567,0
1996-01-23,2.1994,2.2157,2.0615,2.1102,3705264,0
1996-01-24,2.0777,2.1264,2.0696,2.0696,752585,0
1996-01-25,2.0777,2.1507,2.0777,2.0777,616558,0
1996-01-26,2.1507,2.1507,2.0777,2.1507,192212,0
1996-01-29,2.1507,2.1507,2.0777,2.1507,270576,0
1996-01-30,2.1264,2.2319,2.1264,2.1507,535238,0
1996-01-31,2.1832,2.1832,2.1102,2.1507,641694,0
1996-02-01,2.1102,2.1507,2.0939,2.0939,76885,0
1996-02-02,2.1507,2.3536,2.1102,2.3536,924098,0
1996-02-05,2.3374,2.4673,2.3374,2.4348,652044,0
1996-02-06,2.4348,2.5728,2.4348,2.5322,832428,0
1996-02-07,2.5322,2.5728,2.4673,2.4835,1037947,0
1996-02-08,2.4835,2.516,2.4835,2.4835,223262,0
1996-02-09,2.4835,2.516,2.4835,2.516,303104,0
1996-02-12,2.4835,2.7594,2.4835,2.6539,2035973,0
1996-02-13,2.6377,2.7189,2.6052,2.6864,1728433,0
1996-02-14,2.7432,2.8406,2.6864,2.7919,891570,0
1996-02-15,2.7919,3.076,2.7919,2.8568,1651548,0
1996-02-16,2.9055,2.9948,2.8731,2.9786,662394,0
1996-02-20,2.9218,2.9948,2.9218,2.9299,356332,0
1996-02-21,2.9786,2.9948,2.9218,2.9705,453917,0
1996-02-22,2.9948,3.3438,2.9786,3.3438,898963,0
1996-02-23,3.3844,3.5305,3.3844,3.4737,1401672,0
1996-02-26,3.4655,3.5305,3.3844,3.5305,1258252,0
1996-02-27,3.5548,3.7739,3.5142,3.7009,1636763,0
1996-02-28,3.6684,3.6847,3.149,3.1977,1509607,0
1996-02-29,3.1652,3.1977,2.7432,2.938,7769817,0
1996-03-01,2.9055,2.9623,2.6702,2.8731,2597825,0
1996-03-04,2.9218,3.1084,2.8893,3.0922,1468207,0
1996-03-05,3.1815,3.2789,3.1003,3.1977,706750,0
1996-03-06,3.1977,3.1977,3.011,3.0597,377032,0
1996-03-07,2.9948,2.9948,2.6539,2.7026,2272542,0
1996-03-08,2.6377,2.6539,2.3699,2.4673,3842770,0
1996-03-11,2.5322,2.6215,2.4673,2.5728,4262680,0
1996-03-12,2.589,3.1247,2.5322,3.1166,5497275,0
1996-03-13,3.3113,3.4737,3.0273,3.1571,4553955,0
1996-03-14,2.9055,2.9623,2.8163,2.8893,17177875,0
1996-03-15,2.9623,3.076,2.938,2.9948,5813686,0
1996-03-18,3.0597,3.076,3.0192,3.0273,1707733,0
1996-03-19,3.076,3.076,2.9786,2.9786,2373084,0
1996-03-20,2.9948,2.9948,2.8244,2.9055,2004923,0
1996-03-21,2.9623,2.9623,2.8568,2.8568,931491,0
1996-03-22,2.8244,2.938,2.8244,2.938,1904381,0
1996-03-25,2.9055,2.938,2.9055,2.9055,388860,0
1996-03-26,2.9055,2.938,2.8731,2.9055,709707,0
