Date,Open,High,Low,Close,Volume,OpenInt
2017-05-04,24.88,24.88,24.71,24.74,7403,0
2017-05-05,25.55,25.55,25.368,25.368,600,0
2017-05-08,25.45,25.45,25.3293,25.3293,610,0
2017-05-09,24.99,24.99,24.99,24.99,327,0
2017-05-12,25.3899,25.3899,25.3899,25.3899,250,0
2017-05-15,25.33,25.74,25.33,25.69,1350,0
2017-05-16,25.64,25.64,25.4,25.4,2225,0
2017-05-17,25.3,25.3,25.3,25.3,1510,0
2017-05-19,25.73,25.73,25.73,25.73,400,0
2017-05-22,26.17,26.17,26.17,26.17,4000,0
2017-05-23,26.68,27.1499,26.622,26.622,2893,0
2017-05-24,27,27.1,27,27.1,2373,0
2017-05-25,27.301,27.98,27.301,27.98,7431,0
2017-05-26,27.92,27.96,27.84,27.93,2964,0
2017-05-30,27.75,27.75,27.7446,27.7446,1133,0
2017-06-01,28.4,28.86,28.4,28.86,3668,0
2017-06-02,29.39,29.39,29.1,29.22,5318,0
2017-06-05,28.9947,29,28.945,28.9693,697,0
2017-06-07,29.36,29.36,28.81,29.09,2276,0
2017-06-08,28.179,28.179,28.179,28.179,1412,0
2017-06-09,27.9786,28.175,27.76,28.1507,1450,0
2017-06-12,27.83,28.01,27.83,28.01,445,0
2017-06-14,29,29,29,29,893,0
2017-06-16,29.16,29.46,29.16,29.46,1800,0
2017-06-19,29.43,29.47,29.43,29.4599,782,0
2017-06-20,29.21,29.35,29.21,29.31,2196,0
2017-06-21,29,29,29,29,1038,0
2017-06-22,28.4951,28.4951,28.4901,28.491,1100,0
2017-06-23,28.61,28.61,28.61,28.61,160,0
2017-06-26,28.75,28.75,28.736,28.736,200,0
2017-06-27,28.2483,28.2483,27.85,27.85,526,0
2017-06-28,27.65,27.65,27,27,570,0
2017-06-29,26.13,26.13,26.13,26.13,370,0
2017-06-30,26.6344,26.6344,26.6344,26.6344,175,0
2017-07-05,25.3298,25.3298,25.3298,25.3298,106,0
2017-07-06,25.32,25.342,25.2694,25.2694,540,0
2017-07-07,25.4636,25.4636,25.27,25.39,500,0
2017-07-11,25,25,25,25,100,0
2017-07-14,25.9876,26.01,25.9876,25.9984,1007,0
2017-07-18,26.32,26.32,26.32,26.32,1000,0
2017-07-20,27.44,27.48,27.44,27.48,362,0
2017-07-24,27.61,27.6101,27.2955,27.2955,1261,0
2017-07-25,27.21,27.21,26.91,26.91,2022,0
2017-07-26,27.1204,27.1204,27.1204,27.1204,254,0
2017-07-27,27.5893,27.5893,27.47,27.5001,378,0
2017-07-28,27.54,27.54,27.54,27.54,200,0
2017-07-31,28,28,28,28,140,0
2017-08-03,28.7307,29.19,28.7094,29.1609,6267,0
2017-08-04,28.5472,28.5472,28.544,28.544,240,0
2017-08-07,28.9335,28.9335,28.9335,28.9335,133,0
2017-08-08,29.25,29.25,29.25,29.25,212,0
2017-08-10,29.26,29.26,29.16,29.2599,2237,0
2017-08-11,29.3,29.3,28.59,28.59,409,0
2017-08-15,29.58,29.58,29.58,29.58,3000,0
2017-08-16,29.6,30.36,29.6,29.89,1356,0
2017-08-18,29.57,29.57,29.5699,29.57,3831,0
2017-08-22,30.07,30.07,30.0054,30.0054,400,0
2017-08-23,30.31,30.34,30.1253,30.34,1921,0
2017-08-24,30.56,30.56,30.54,30.54,1863,0
2017-08-28,31.14,31.14,30.81,30.81,1115,0
2017-08-29,31.1899,31.2,31.15,31.15,308,0
2017-08-30,30.75,30.75,30.7461,30.7461,312,0
2017-08-31,30.5,30.5,30.5,30.5,621,0
2017-09-01,30.5643,30.5643,30.5643,30.5643,500,0
2017-09-05,30.0142,30.46,30.0142,30.3377,4830,0
2017-09-06,30.34,30.34,30.34,30.34,101,0
2017-09-07,30.13,30.13,30.12,30.12,676,0
2017-09-12,31.0874,31.0874,30.97,30.992,972,0
2017-09-13,29.87,29.8705,29.87,29.87,1060,0
2017-09-14,30.45,30.45,30.36,30.3747,500,0
2017-09-15,30.39,30.63,30.39,30.63,2400,0
2017-09-18,29.93,29.9301,29.91,29.91,860,0
2017-09-19,29.61,29.6417,29.61,29.63,2400,0
2017-09-20,29.01,29.01,29.01,29.01,132,0
2017-09-21,28.94,29.3199,28.94,28.94,714,0
2017-10-02,27.91,28.3195,27.76,28.3195,3827,0
2017-10-04,28.1473,28.2266,28.1473,28.2266,200,0
2017-10-06,28.16,28.475,28.1599,28.475,7432,0
2017-10-09,28.79,28.79,28.7073,28.7073,1191,0
2017-10-10,28.7,29.3,28.7,29.3,2747,0
2017-10-11,30.16,30.16,29.56,29.67,577,0
2017-10-13,30.23,30.23,29.5,29.5,1273,0
2017-10-16,29.165,29.165,28.82,28.82,289,0
2017-10-17,29.04,29.04,29.04,29.04,438,0
2017-10-18,29.797,29.8,29.53,29.53,955,0
2017-10-19,30.3952,30.3952,30.3952,30.3952,199,0
2017-10-20,30.45,30.45,30.45,30.45,930,0
2017-10-23,30.5299,30.5299,30.5299,30.5299,154,0
2017-10-24,30.68,30.79,30.5884,30.7548,1470,0
2017-10-25,30.2651,30.2651,29.505,30.011,2020,0
2017-10-26,31.07,31.07,30.8699,30.87,1064,0
2017-10-27,30.87,30.91,30.86,30.86,918,0
2017-10-30,30.65,31.12,30.65,31.03,12734,0
2017-10-31,31.0699,31.0699,31.0699,31.0699,150,0
2017-11-01,30.71,30.8,30.68,30.68,698,0
2017-11-02,30.61,30.72,30.61,30.7192,602,0
2017-11-03,31.49,31.52,31.47,31.52,1000,0
2017-11-06,31.1552,31.1552,31.1552,31.1552,159,0
2017-11-07,30.92,31.39,30.92,31.39,6991,0
2017-11-08,32.12,32.12,32.06,32.06,400,0
2017-11-09,32.08,32.08,32.0149,32.0599,982,0
