Date,Open,High,Low,Close,Volume,OpenInt
2016-11-18,10.15,10.15,9.8,10.15,600,0
2016-12-16,10.15,10.15,10.15,10.15,8109,0
2016-12-20,10.51,11.02,10.51,11.02,200,0
2016-12-21,9.8,9.8,9.8,9.8,2000,0
2016-12-22,10,10,10,10,200,0
2016-12-23,11,13,10.15,12,2200,0
2016-12-27,10.968,10.968,10.65,10.65,600,0
2016-12-28,11,11,10.75,10.75,360,0
2017-01-03,9.9,9.9,9.8294,9.8294,700,0
2017-01-10,10,10,10,10,1000,0
2017-01-11,9.8,9.8,9.8,9.8,222,0
2017-01-17,9.8,9.8,9.8,9.8,500,0
2017-02-02,9.85,9.855,9.85,9.855,4650,0
2017-02-09,9.9,9.9,9.9,9.9,150,0
2017-03-07,9.95,9.95,9.9,9.9,14247,0
2017-03-13,10.35,11.5,10.35,10.35,2110,0
2017-03-20,9.9,9.9,9.9,9.9,3500,0
2017-03-21,9.92,9.92,9.92,9.92,1000,0
2017-03-30,9.92,9.92,9.92,9.92,100,0
2017-03-31,10.1,10.1,10.0415,10.0415,503,0
2017-04-06,9.95,9.95,9.95,9.95,10000,0
2017-04-07,9.95,9.95,9.92,9.95,3200,0
2017-04-11,9.95,9.95,9.9451,9.9451,3022,0
2017-04-12,9.95,9.95,9.95,9.95,100,0
2017-04-17,9.95,9.95,9.93,9.95,10600,0
2017-04-20,9.95,9.95,9.95,9.95,200,0
2017-04-28,9.9,9.9,9.9,9.9,200,0
2017-05-01,9.9,9.9,9.81,9.82,1718757,0
2017-05-02,9.835,9.9,9.835,9.9,227100,0
2017-05-03,9.899,9.8999,9.8916,9.8932,3000,0
2017-05-04,9.8,9.86,9.8,9.86,700,0
2017-05-10,9.89,9.95,9.86,9.95,62698,0
2017-05-11,9.95,9.95,9.9,9.9,6300,0
2017-05-12,9.85,10.49,9.85,10.49,500,0
2017-05-16,9.9,9.95,9.89,9.89,28235,0
2017-05-17,9.8943,9.8943,9.89,9.8902,6200,0
2017-05-23,9.9,9.9,9.9,9.9,100,0
2017-05-24,9.99,9.99,9.9,9.9,1637,0
2017-05-25,9.92,9.95,9.92,9.94,48893,0
2017-05-26,9.9389,9.95,9.9389,9.95,600,0
2017-05-30,9.95,9.95,9.91,9.94,2295,0
2017-06-01,9.94,10.0389,9.94,9.96,12952,0
2017-06-02,10.05,10.05,9.99,9.99,5420,0
2017-06-05,10,10,9.95,9.95,4019,0
