Date,Open,High,Low,Close,Volume,OpenInt
2017-08-28,25.05,25.1,24.96,25.1,61314,0
2017-08-29,25,25.05,24.98,25.02,66886,0
2017-08-30,25.04,25.1,25.03,25.1,53372,0
2017-08-31,25.13,25.17,25.05,25.0899,32607,0
2017-09-01,25.08,25.17,25.08,25.17,13877,0
2017-09-05,25.22,25.22,25.0994,25.1,133034,0
2017-09-06,25.15,25.1699,25.08,25.14,14408,0
2017-09-07,25.16,25.17,25.09,25.12,23522,0
2017-09-08,25.15,25.17,25.1,25.15,15474,0
2017-09-11,25.15,25.15,25.0975,25.1495,29810,0
2017-09-12,25.1,25.169,25.0635,25.13,40182,0
2017-09-13,25.13,25.24,25.1,25.24,22396,0
2017-09-14,25.19,25.24,25.16,25.17,7827,0
2017-09-15,25.2399,25.3499,25.16,25.33,11250,0
2017-09-18,25.32,25.33,25.299,25.3099,6190,0
2017-09-19,25.252,25.35,25.21,25.34,18388,0
2017-09-20,25.3,25.3399,25.2,25.21,8630,0
2017-09-21,25.2201,25.4,25.22,25.4,23053,0
2017-09-22,25.37,25.44,25.3566,25.42,17802,0
2017-09-25,25.35,25.4999,25.3201,25.421,9177,0
2017-09-26,25.4101,25.4101,25.35,25.39,11918,0
2017-09-27,25.33,25.4,25.33,25.38,5528,0
2017-09-28,25.389,25.39,25.32,25.34,10943,0
2017-09-29,25.4,25.4799,25.3509,25.4183,8455,0
2017-10-02,25.4,25.4899,25.35,25.47,17865,0
2017-10-03,25.325,25.49,25.325,25.49,1397,0
2017-10-04,25.4799,25.54,25.3596,25.54,3649,0
2017-10-05,25.53,25.53,25.49,25.5,1600,0
2017-10-06,25.4343,25.44,25.3601,25.44,3100,0
2017-10-09,25.41,25.41,25.41,25.41,200,0
2017-10-10,25.37,25.4253,25.37,25.4253,1700,0
2017-10-11,25.4491,25.5,25.4491,25.5,3847,0
2017-10-12,25.5114,25.5114,25.3712,25.3712,2243,0
2017-10-13,25.4,25.43,25.38,25.43,2000,0
2017-10-16,25.41,25.41,25.39,25.39,2292,0
2017-10-17,25.39,25.39,25.38,25.39,1814,0
2017-10-18,25.48,25.48,25.4539,25.48,2045,0
2017-10-19,25.49,25.58,25.47,25.58,3440,0
2017-10-20,25.561,25.59,25.37,25.4282,26995,0
2017-10-23,25.4089,25.529,25.4,25.448,4082,0
2017-10-24,25.54,25.54,25.42,25.42,3300,0
2017-10-25,25.41,25.41,25.4,25.4,1195,0
2017-10-26,25.52,25.52,25.42,25.44,700,0
2017-10-27,25.465,25.53,25.4,25.4261,9350,0
2017-10-31,25.46,25.53,25.46,25.5158,2865,0
2017-11-01,25.51,25.52,25.51,25.5197,1050,0
2017-11-02,25.5754,25.6269,25.5,25.6,1100,0
2017-11-03,25.53,25.63,25.53,25.5932,950,0
2017-11-06,25.541,25.6,25.541,25.6,1915,0
2017-11-07,25.64,25.64,25.54,25.6,685,0
2017-11-08,25.54,25.54,25.51,25.53,4700,0
2017-11-09,25.53,25.53,25.35,25.42,15123,0
2017-11-10,25.41,25.41,25.05,25.34,46533,0
