Date,Open,High,Low,Close,Volume,OpenInt
2017-04-28,20,20.3,19.25,20.01,4577678,0
2017-05-01,19.56,20.989,19.56,20.45,191186,0
2017-05-02,20.51,20.6884,20.3504,20.51,110934,0
2017-05-03,20.47,21.02,20.211,20.71,300906,0
2017-05-04,20.66,21.31,20.03,20.03,280723,0
2017-05-05,20.44,20.44,19.975,20.04,49369,0
2017-05-08,20.03,21.5,20.03,21.32,69342,0
2017-05-09,21.47,21.97,20.2,21.16,109906,0
2017-05-10,21.17,21.58,20.73,20.84,41599,0
2017-05-11,20.96,21.94,20.96,20.97,152666,0
2017-05-12,21.01,21.03,20.71,20.87,16760,0
2017-05-15,20.91,21.58,20.725,21.14,91919,0
2017-05-16,21.03,22.47,21.03,21.85,492941,0
2017-05-17,21.3,23.085,21.3,22.86,82636,0
2017-05-18,22.85,24.25,22.3,22.88,76146,0
2017-05-19,22.45,24.415,22.3,24.09,150512,0
2017-05-22,24.45,24.45,23.54,23.95,104342,0
2017-05-23,23.17,24.675,22.335,24.07,181185,0
2017-05-24,24.1,25.87,23.375,24.77,168337,0
2017-05-25,25,26.86,24.03,25.22,181950,0
2017-05-26,25.45,28.2,24.86,27.04,302844,0
2017-05-30,27.1,29.07,25.32,26.12,266225,0
2017-05-31,26.14,26.75,24.5,26.24,243305,0
2017-06-01,26.49,27.85,25.88,26.41,156548,0
2017-06-02,26.36,26.46,25.325,25.97,163532,0
2017-06-05,26.44,26.8,25.25,26.05,109751,0
2017-06-06,25.43,26.5,25.14,26.11,137155,0
2017-06-07,26.02,26.27,24.3,25.1,119832,0
2017-06-08,24.94,26.07,24.51,25.77,219448,0
2017-06-09,25.7,26.04,25,25.79,120513,0
2017-06-12,25.8,26.438,25.05,26.23,170402,0
2017-06-13,26.3,26.64,25.792,26.17,98171,0
2017-06-14,26.17,26.29,25.16,25.9,92216,0
2017-06-15,25.61,25.9,24.7,24.92,83895,0
2017-06-16,24.74,25.1,23.02,23.23,786433,0
2017-06-19,23.3,24.46,22.8683,24.12,80906,0
2017-06-20,24.05,24.25,23.05,24.11,64581,0
2017-06-21,24.11,24.11,21.59,22.06,292585,0
2017-06-22,22,23,21.825,21.99,231451,0
2017-06-23,22.07,22.97,21.98,22.69,1381182,0
2017-06-26,22.51,22.745,21.59,22.07,119748,0
2017-06-27,21.97,23.65,21.86,23,202983,0
2017-06-28,22.565,24.38,22.565,23.5,81890,0
2017-06-29,23.78,24.66,23.78,24.42,96158,0
2017-06-30,25.01,25.355,23.39,25.18,123019,0
2017-07-03,25.28,25.96,25.268,25.66,47525,0
2017-07-05,25.89,25.89,24.44,24.84,87018,0
2017-07-06,24.74,24.74,22.34,23.02,142663,0
2017-07-07,23.02,23.49,22.7,22.78,54854,0
2017-07-10,22.75,24.49,21.537,24.4,53590,0
2017-07-11,24.24,24.46,22.481,23.03,108450,0
2017-07-12,23.15,23.3,22.55,22.91,114534,0
2017-07-13,22.94,23.505,22.36,22.95,169203,0
2017-07-14,22.83,23.462,22.7,23.12,56760,0
2017-07-17,23.18,24.19,22.6,22.85,108527,0
2017-07-18,22.91,23.18,22.33,22.64,117921,0
2017-07-19,22.71,23.33,22.69,23.18,45245,0
2017-07-20,23.37,24.1,22.78,23.74,178781,0
2017-07-21,23.95,23.95,21.731,22.59,161268,0
2017-07-24,22.59,23.58,21.42,21.9,141201,0
2017-07-25,21.97,23.21,21.4401,22.26,137757,0
2017-07-26,22.33,23.92,21.42,22.25,57179,0
2017-07-27,22.28,22.81,21.303,22.06,88500,0
2017-07-28,21.99,23.13,21.01,22.03,118689,0
2017-07-31,22.19,22.77,21.64,22.45,94038,0
2017-08-01,22.59,22.59,20.21,20.9,169434,0
2017-08-02,21,22.02,20.78,20.93,170370,0
2017-08-03,21.03,21.16,20.41,21,76975,0
2017-08-04,20.99,21.81,20.99,21.72,48678,0
2017-08-07,21.77,21.77,20.81,21.39,84420,0
2017-08-08,22.735,22.735,20.9314,21.31,104678,0
2017-08-09,21.3,21.6625,20.68,21.39,179015,0
2017-08-10,21.55,22.22,20.84,21.84,134000,0
2017-08-11,21.84,22.25,21.45,21.86,100926,0
2017-08-14,22.02,22.44,21.53,22.04,55121,0
