Date,Open,High,Low,Close,Volume,OpenInt
1996-09-30,7.7564,7.7564,7.7564,7.7564,21061,0
1996-10-01,7.5215,7.5215,7.5215,7.5215,3829,0
1996-10-02,7.5215,7.5215,7.5215,7.5215,0,0
1996-10-03,7.7564,7.8788,7.7564,7.8788,11275,0
1996-10-04,7.7564,7.7564,7.7564,7.7564,11169,0
1996-10-07,7.8128,7.8128,7.7564,7.7753,35525,0
1996-10-08,7.8788,7.8788,7.7564,7.7564,15422,0
1996-10-09,7.8788,7.8788,7.7377,7.7564,41587,0
1996-10-10,7.7564,7.7564,7.7564,7.7564,0,0
1996-10-11,7.6437,7.6437,7.6437,7.6437,318,0
1996-10-14,7.6437,7.6437,7.6437,7.6437,8295,0
1996-10-15,7.578,7.6437,7.578,7.6437,124126,0
1996-10-16,7.6437,7.6437,7.5026,7.5215,172308,0
1996-10-17,7.5215,7.5215,7.5215,7.5215,0,0
1996-10-18,7.5215,7.5215,7.5215,7.5215,1701,0
1996-10-21,7.5215,7.5215,7.5215,7.5215,0,0
1996-10-22,7.4086,7.4086,7.4086,7.4086,212,0
1996-10-23,7.4086,7.4086,7.4086,7.4086,212,0
1996-10-24,7.4086,7.4086,7.4086,7.4086,0,0
1996-10-25,7.4086,7.4086,7.4086,7.4086,0,0
1996-10-28,7.2864,7.2864,7.2864,7.2864,532,0
1996-10-29,7.2676,7.2676,7.1359,7.1736,53820,0
1996-10-30,7.1736,7.1736,7.1736,7.1736,0,0
1996-10-31,7.1736,7.1736,7.0514,7.0514,23718,0
1996-11-01,7.0514,7.0514,7.0514,7.0514,212,0
1996-11-04,7.0514,7.0514,7.0514,7.0514,0,0
1996-11-05,7.465,7.578,7.465,7.465,46056,0
1996-11-06,7.465,7.465,7.4086,7.4086,9466,0
1996-11-07,7.2864,7.6437,7.2864,7.6437,10104,0
1996-11-08,7.5215,7.5215,7.4086,7.4086,6169,0
1996-11-11,7.2864,7.2864,7.2864,7.2864,3510,0
1996-11-12,7.2864,7.2864,7.2864,7.2864,0,0
1996-11-13,7.5215,7.5215,7.4368,7.4368,14467,0
1996-11-14,7.4744,7.5402,7.3429,7.3429,134443,0
1996-11-15,7.3429,7.6437,7.3429,7.6437,5637,0
1996-11-18,7.6437,7.6437,7.6437,7.6437,0,0
1996-11-19,7.6437,7.6437,7.6437,7.6437,9998,0
1996-11-20,7.6437,7.7564,7.6437,7.7564,13082,0
1996-11-21,7.8128,7.8128,7.7564,7.7564,5850,0
1996-11-22,7.7564,7.7564,7.7564,7.7564,0,0
1996-11-25,7.7002,7.8788,7.5215,7.5215,10425,0
1996-11-26,7.6437,7.6437,7.465,7.5215,11169,0
1996-11-27,7.578,7.578,7.578,7.578,4999,0
1996-11-29,7.5215,7.5215,7.4086,7.4086,15422,0
1996-12-02,7.4086,7.4086,7.4086,7.4086,0,0
1996-12-03,7.1736,7.1736,6.8165,6.8165,19783,0
1996-12-04,7.0514,7.0514,7.0514,7.0514,4362,0
1996-12-05,6.9387,6.9387,6.9387,6.9387,212,0
1996-12-06,7.0514,7.0514,7.0514,7.0514,639,0
1996-12-09,7.0514,7.0514,7.0514,7.0514,318,0
1996-12-10,7.0514,7.2864,7.0514,7.2864,2021,0
1996-12-11,7.1736,7.23,7.1736,7.23,219320,0
1996-12-12,7.1736,7.1736,7.1736,7.1736,4362,0
1996-12-13,7.1736,7.1736,7.1736,7.1736,3510,0
1996-12-16,7.1736,7.1736,7.1736,7.1736,0,0
1996-12-17,7.1736,7.1736,7.0984,7.1736,120828,0
1996-12-18,7.2864,7.2864,7.1736,7.1736,532,0
1996-12-19,7.1736,7.183,7.1548,7.1548,160394,0
1996-12-20,7.1736,7.1736,7.1736,7.1736,1701,0
1996-12-23,7.1736,7.1736,7.1736,7.1736,2870,0
1996-12-24,7.1736,7.1736,7.1736,7.1736,5850,0
1996-12-26,7.1736,7.1736,7.1736,7.1736,14998,0
1996-12-27,7.1736,7.23,7.0514,7.0514,57967,0
1996-12-30,7.4086,7.4086,7.2864,7.2864,18931,0
1996-12-31,7.4086,7.4086,7.4086,7.4086,6807,0
1997-01-02,7.4086,7.4086,7.4086,7.4086,0,0
1997-01-03,7.2864,7.4086,7.2864,7.4086,14998,0
1997-01-06,7.3429,7.3429,7.23,7.23,51481,0
1997-01-07,7.4086,7.4086,7.2864,7.2864,957,0
1997-01-08,7.2864,7.2864,7.0514,7.0514,20422,0
1997-01-09,7.4086,7.4086,7.4086,7.4086,8295,0
