Date,Open,High,Low,Close,Volume,OpenInt
2006-10-12,24.862,24.99,24.853,24.99,8153,0
2006-10-13,25.117,25.284,25.107,25.265,10396,0
2006-10-16,25.343,25.489,25.314,25.441,35163,0
2006-10-17,25.411,25.411,25.009,25.275,5300,0
2006-10-18,25.499,25.499,25.077,25.087,7237,0
2006-10-19,25.255,25.255,25.205,25.225,815,0
2006-10-20,24.99,25.009,24.941,24.951,4892,0
2006-10-23,24.97,25.235,24.97,25.137,7034,0
2006-10-24,25,25.019,24.911,24.911,8766,0
2006-10-25,25.048,25.097,25.048,25.097,1631,0
2006-10-26,25.215,25.215,25.097,25.215,3058,0
2006-10-27,25.255,25.304,25.019,25.019,2752,0
2006-10-31,25.275,25.275,24.99,25.067,5402,0
2006-11-01,25.048,25.048,24.548,24.548,5708,0
2006-11-02,24.519,24.519,24.509,24.509,815,0
2006-11-03,24.44,24.578,24.371,24.548,18856,0
2006-11-06,24.626,25.019,24.626,24.99,2141,0
2006-11-07,25.038,25.343,25.029,25.185,4892,0
2006-11-08,25.067,25.255,25.067,25.255,2853,0
2006-11-09,25.363,25.383,25.255,25.255,916,0
2006-11-10,25.166,25.166,25.067,25.157,713,0
2006-11-13,25.392,25.411,25.323,25.401,6320,0
2006-11-14,25.304,25.697,25.284,25.697,18652,0
2006-11-15,25.823,25.863,25.697,25.823,24461,0
2006-11-16,25.823,25.823,25.657,25.804,1530,0
2006-11-17,25.657,25.657,25.559,25.608,2345,0
2006-11-20,25.363,25.697,25.363,25.657,12944,0
2006-11-21,25.687,25.706,25.579,25.687,49331,0
2006-11-22,25.794,25.873,25.716,25.873,2853,0
2006-11-24,25.677,25.677,25.677,25.677,203,0
2006-11-27,25.706,25.706,25.127,25.127,23953,0
2006-11-28,25.157,25.185,24.98,25.185,14778,0
2006-11-29,25.343,25.401,25.195,25.343,15085,0
2006-11-30,25.215,25.598,25.215,25.489,30985,0
2006-12-01,25.265,25.265,25.215,25.215,10804,0
2006-12-04,25.559,25.804,25.559,25.784,1222,0
2006-12-05,25.843,25.903,25.823,25.823,5300,0
2006-12-06,25.657,25.873,25.657,25.784,3364,0
2006-12-07,25.579,25.706,25.559,25.579,17327,0
2006-12-08,25.363,25.657,25.363,25.608,27621,0
2006-12-11,25.716,25.716,25.598,25.598,1222,0
2006-12-12,25.519,25.519,25.363,25.48,13963,0
2006-12-13,25.746,25.746,25.441,25.499,5198,0
2006-12-14,25.667,25.833,25.667,25.775,16716,0
2006-12-15,25.903,25.903,25.657,25.706,19365,0
2006-12-18,25.529,25.813,25.499,25.499,916,0
2006-12-19,25.225,25.499,25.195,25.489,25174,0
2006-12-20,25.687,25.726,25.519,25.549,4689,0
2006-12-21,25.657,25.657,25.353,25.353,21405,0
2006-12-22,25.255,25.255,25.147,25.195,1937,0
2006-12-26,25.235,25.363,25.235,25.353,2243,0
2006-12-27,25.549,25.657,25.549,25.657,10192,0
2006-12-28,25.677,25.677,25.559,25.617,2345,0
2006-12-29,25.579,25.677,25.383,25.383,4995,0
2007-01-03,25.529,25.716,25.137,25.343,46579,0
2007-01-04,25.373,25.765,25.373,25.706,32922,0
2007-01-05,25.509,25.509,25.284,25.353,25786,0
2007-01-08,25.509,25.529,25.333,25.461,11822,0
2007-01-09,25.608,25.608,25.314,25.499,7237,0
2007-01-10,25.195,25.589,25.195,25.589,7134,0
2007-01-11,25.706,25.873,25.657,25.794,10295,0
2007-01-12,25.843,25.911,25.726,25.873,14778,0
2007-01-16,26.049,26.049,25.746,25.833,17327,0
2007-01-17,25.794,25.893,25.736,25.756,5708,0
2007-01-18,25.608,25.608,25.127,25.215,7645,0
2007-01-19,25.175,25.235,25.048,25.185,2345,0
2007-01-22,25.275,25.275,24.921,25.038,2651,0
2007-01-23,25.107,25.304,25.097,25.195,3772,0
2007-01-24,25.421,25.647,25.323,25.647,8867,0
2007-01-25,25.617,25.617,25.265,25.265,4281,0
2007-01-26,25.363,25.411,25.294,25.411,916,0
2007-01-29,25.461,25.461,25.392,25.401,2243,0
2007-01-30,25.411,25.608,25.411,25.608,1019,0
2007-01-31,25.431,25.647,25.431,25.627,3364,0
2007-02-01,25.716,25.784,25.667,25.784,1019,0
2007-02-02,25.804,25.96,25.794,25.911,10295,0
2007-02-05,25.95,25.98,25.833,25.98,5708,0
2007-02-06,26.088,26.088,25.903,25.99,34552,0
