Date,Open,High,Low,Close,Volume,OpenInt
2017-06-30,24.728,24.818,24.728,24.818,1072,0
2017-07-03,24.85,24.923,24.85,24.858,4276,0
2017-07-05,24.808,24.848,24.803,24.838,13075,0
2017-07-06,24.768,24.768,24.599,24.599,988,0
2017-07-07,24.688,24.838,24.688,24.833,24606,0
2017-07-10,24.808,24.808,24.778,24.797,1021,0
2017-07-11,24.818,24.818,24.768,24.808,2757,0
2017-07-12,24.912,24.928,24.912,24.928,301,0
2017-07-13,24.948,24.968,24.918,24.968,1706,0
2017-07-14,25.059,25.059,25.059,25.059,201,0
2017-07-17,25.097,25.117,25.078,25.089,3239,0
2017-07-18,25.017,25.017,25.017,25.017,462,0
2017-07-19,25.017,25.017,25.017,25.017,0,0
2017-07-20,25.206,25.276,25.206,25.276,1505,0
2017-07-21,25.209,25.267,25.209,25.267,3913,0
2017-07-24,25.219,25.257,25.217,25.257,2584,0
2017-07-25,25.316,25.316,25.316,25.316,10033,0
2017-07-26,25.326,25.326,25.326,25.326,201,0
2017-07-27,25.187,25.187,25.187,25.187,201,0
2017-07-28,25.217,25.227,25.187,25.227,1405,0
2017-07-31,25.255,25.256,25.255,25.256,527,0
2017-08-01,25.306,25.365,25.306,25.365,1664,0
2017-08-02,25.366,25.366,25.366,25.366,100,0
2017-08-03,25.296,25.296,25.296,25.296,100,0
2017-08-04,25.296,25.296,25.296,25.296,0,0
2017-08-07,25.366,25.366,25.366,25.366,226,0
2017-08-08,25.386,25.386,25.326,25.326,360,0
2017-08-09,25.257,25.296,25.237,25.286,1154,0
2017-08-10,25.167,25.167,25.167,25.167,100,0
2017-08-11,24.977,25.119,24.977,25.067,5320,0
2017-08-14,25.067,25.067,25.067,25.067,0,0
2017-08-15,25.187,25.257,25.187,25.257,1003,0
2017-08-16,25.257,25.257,25.257,25.257,0,0
2017-08-17,25.065,25.065,25.065,25.065,251,0
2017-08-18,24.918,25.017,24.918,24.948,3804,0
2017-08-21,24.948,24.948,24.948,24.948,0,0
2017-08-22,24.948,24.948,24.948,24.948,0,0
2017-08-23,25.067,25.067,25.067,25.067,3010,0
2017-08-24,25.067,25.067,25.067,25.067,0,0
2017-08-25,25.067,25.067,25.067,25.067,0,0
2017-08-28,25.067,25.067,25.067,25.067,0,0
2017-08-29,25.067,25.067,25.067,25.067,0,0
2017-08-30,25.067,25.067,25.067,25.067,0,0
2017-08-31,25.067,25.067,25.067,25.067,0,0
2017-09-01,25.396,25.396,25.396,25.396,201,0
2017-09-05,25.396,25.396,25.396,25.396,0,0
2017-09-06,25.353,25.353,25.353,25.353,1505,0
2017-09-07,25.346,25.346,25.346,25.346,394,0
2017-09-08,25.287,25.287,25.287,25.287,201,0
2017-09-11,25.396,25.396,25.396,25.396,0,0
2017-09-12,25.735,25.735,25.735,25.735,168,0
2017-09-13,25.735,25.735,25.735,25.735,0,0
2017-09-14,25.735,25.735,25.735,25.735,0,0
2017-09-15,25.71,25.726,25.71,25.726,1003,0
2017-09-18,25.726,25.726,25.726,25.726,0,0
2017-09-19,25.726,25.726,25.726,25.726,0,0
2017-09-20,25.726,25.726,25.726,25.726,0,0
2017-09-21,25.726,25.726,25.726,25.726,0,0
2017-09-22,25.726,25.726,25.726,25.726,0,0
2017-09-25,25.726,25.726,25.726,25.726,0,0
2017-09-26,25.8366,25.8366,25.8366,25.8366,500,0
2017-09-27,25.8366,25.8366,25.8366,25.8366,0,0
2017-09-28,25.8366,25.8366,25.8366,25.8366,0,0
2017-09-29,26.04,26.04,26.04,26.04,158,0
2017-10-02,26.0899,26.21,26.0899,26.21,253,0
2017-10-03,26.21,26.21,26.21,26.21,0,0
2017-10-04,26.22,26.22,26.22,26.22,100,0
2017-10-05,26.22,26.22,26.22,26.22,0,0
2017-10-06,26.22,26.22,26.22,26.22,0,0
2017-10-09,26.1598,26.1598,26.14,26.14,2250,0
2017-10-10,26.14,26.14,26.14,26.14,0,0
2017-10-11,26.14,26.14,26.14,26.14,0,0
2017-10-12,26.14,26.14,26.14,26.14,0,0
2017-10-13,26.215,26.245,26.215,26.245,289,0
2017-10-16,26.245,26.245,26.245,26.245,0,0
2017-10-17,26.245,26.245,26.245,26.245,3,0
2017-10-18,26.245,26.245,26.245,26.245,0,0
2017-10-19,26.245,26.245,26.245,26.245,0,0
2017-10-20,26.245,26.245,26.245,26.245,0,0
2017-10-23,26.245,26.245,26.245,26.245,55,0
2017-10-24,26.245,26.245,26.245,26.245,110,0
2017-10-25,26.245,26.245,26.245,26.245,0,0
2017-10-26,26.4,26.4,26.4,26.4,200,0
2017-10-27,26.35,26.35,26.35,26.35,184,0
2017-10-30,26.35,26.35,26.35,26.35,185,0
2017-10-31,26.57,26.57,26.57,26.57,150,0
2017-11-01,26.48,26.48,26.48,26.48,103,0
2017-11-02,26.48,26.48,26.48,26.48,128,0
2017-11-03,26.48,26.48,26.48,26.48,0,0
2017-11-06,26.66,26.66,26.66,26.66,50,0
2017-11-07,26.6551,26.6551,26.5288,26.54,4775,0
2017-11-08,26.545,26.545,26.545,26.545,100,0
2017-11-09,26.5392,26.5392,26.5392,26.5392,377,0
2017-11-10,26.554,26.554,26.554,26.554,1000,0
