Date,Open,High,Low,Close,Volume,OpenInt
2017-04-05,24.729,24.739,24.72,24.729,79076,0
2017-04-06,24.729,24.729,24.729,24.729,165,0
2017-04-10,24.72,24.729,24.707,24.728,4057,0
2017-04-12,24.759,24.759,24.759,24.759,711,0
2017-04-13,24.778,24.788,24.778,24.788,571,0
2017-04-17,24.774,24.774,24.774,24.774,306,0
2017-04-21,24.817,24.817,24.817,24.817,1012,0
2017-04-24,24.788,24.798,24.788,24.798,506,0
2017-05-01,24.783,24.783,24.783,24.783,100,0
2017-05-09,24.764,24.764,24.764,24.764,100,0
2017-05-19,24.862,24.862,24.862,24.862,1620,0
2017-05-23,24.862,24.862,24.862,24.862,1010,0
2017-05-26,24.852,24.852,24.852,24.852,405,0
2017-06-01,24.872,24.892,24.872,24.892,1008,0
2017-06-02,24.901,24.901,24.901,24.901,2020,0
2017-06-05,24.901,24.901,24.901,24.901,100,0
2017-06-08,24.892,24.892,24.892,24.892,429,0
2017-06-12,24.872,24.872,24.846,24.846,1517,0
2017-06-22,24.901,24.901,24.901,24.901,1008,0
2017-06-28,24.882,24.892,24.857,24.857,1008,0
2017-07-03,24.851,24.862,24.851,24.862,1209,0
2017-07-06,24.862,24.862,24.862,24.862,100,0
2017-07-07,24.862,24.862,24.862,24.862,706,0
2017-07-11,24.882,24.882,24.882,24.882,102,0
2017-07-12,24.882,24.882,24.873,24.873,3022,0
2017-07-14,24.911,24.911,24.911,24.911,200,0
2017-07-21,24.95,24.95,24.95,24.95,200,0
2017-07-24,24.95,24.95,24.95,24.95,1006,0
2017-07-26,24.96,24.97,24.96,24.97,2420,0
2017-07-31,24.97,24.97,24.97,24.97,1006,0
2017-08-03,25,25.01,25,25.01,602,0
2017-08-04,24.99,24.99,24.99,24.99,1106,0
2017-08-07,24.99,24.99,24.94,24.99,10450,0
2017-08-08,24.99,24.99,24.99,24.99,0,0
2017-08-09,24.99,25,24.99,25,2513,0
2017-08-11,25.005,25.03,25.005,25.028,3216,0
2017-08-14,24.99,24.99,24.99,24.99,2210,0
2017-08-15,25,25,24.981,25,1111,0
2017-08-18,25.02,25.02,25,25,1556,0
2017-08-22,25.015,25.015,25.015,25.015,2010,0
2017-08-23,25.017,25.017,25.017,25.017,302,0
2017-08-24,25.028,25.03,25.025,25.03,1404,0
2017-08-25,25.04,25.05,25.04,25.05,9408,0
2017-08-28,25.02,25.04,25.02,25.04,4120,0
2017-08-29,25.045,25.045,24.99,24.99,4234,0
2017-08-31,25.05,25.06,25.043,25.06,920,0
2017-09-01,25.06,25.06,25.06,25.06,447,0
2017-09-06,25.09,25.09,25.053,25.08,6255,0
2017-09-11,25.09,25.09,25.08,25.08,685,0
2017-09-12,25.06,25.06,25.06,25.06,2086,0
2017-09-13,25.06,25.06,25.01,25.01,3107,0
2017-09-14,24.99,25,24.985,25,5726,0
2017-09-15,25.025,25.025,25.025,25.025,301,0
2017-09-18,25.02,25.02,25.02,25.02,999,0
2017-09-20,25.04,25.04,24.97,25.01,2080,0
2017-09-22,25.02,25.02,25.02,25.02,999,0
2017-09-25,25.03,25.03,25.03,25.03,1867,0
2017-09-26,25.03,25.03,25.03,25.03,700,0
2017-09-27,25.02,25.03,25.02,25.02,642,0
2017-09-28,25.01,25.03,24.991,25.03,1526,0
2017-09-29,25.02,25.02,25.02,25.02,525,0
2017-10-02,25.01,25.01,25.01,25.01,404,0
2017-10-03,25.03,25.04,25.025,25.04,2510,0
2017-10-04,25.0299,25.0299,25.0299,25.0299,400,0
2017-10-06,25.01,25.02,25.01,25.02,2037,0
2017-10-09,25.012,25.012,25.012,25.012,200,0
2017-10-10,25.03,25.03,25.02,25.02,1205,0
2017-10-12,25.025,25.03,25.025,25.03,6260,0
2017-10-13,25.025,25.05,25.025,25.045,2600,0
2017-10-16,25.04,25.04,25.035,25.035,1203,0
2017-10-17,25.02,25.02,25,25.02,3949,0
2017-10-18,25.01,25.015,25.01,25.015,1867,0
2017-10-19,25.02,25.03,25.02,25.02,2238,0
2017-10-20,25.01,25.01,25.005,25.005,1209,0
2017-10-23,25.01,25.01,25.01,25.01,1345,0
2017-10-24,24.9964,25.01,24.9964,25.01,3480,0
2017-10-25,24.99,24.99,24.99,24.99,1101,0
2017-10-26,24.9999,25,24.99,24.9901,1230,0
2017-10-30,25.02,25.02,25.0082,25.0083,1523,0
2017-10-31,25.02,25.02,25.02,25.02,160,0
2017-11-01,24.95,24.96,24.935,24.96,1437,0
2017-11-03,24.96,24.97,24.9505,24.97,6168,0
2017-11-06,24.965,24.965,24.965,24.965,1031,0
2017-11-07,24.97,24.97,24.92,24.96,3107,0
2017-11-08,24.96,24.96,24.94,24.95,2272,0
2017-11-09,24.9499,24.965,24.9499,24.96,1765,0
