Date,Open,High,Low,Close,Volume,OpenInt
2017-08-03,20.89,21.34,20.41,20.65,11443674,0
2017-08-04,20.65,20.7399,20.35,20.63,1708903,0
2017-08-07,20.44,20.65,20.3,20.53,887001,0
2017-08-08,20.43,20.52,17.85,19.5,2146576,0
2017-08-09,19.74,19.86,19,19.04,733227,0
2017-08-10,18.95,19.5,18.5,19.14,881535,0
2017-08-11,19.11,19.84,18.83,19.55,1092407,0
2017-08-14,19.61,20,19.22,19.22,575395,0
2017-08-15,19.37,19.44,18.79,18.98,417521,0
2017-08-16,18.85,19.285,18.75,18.99,525630,0
2017-08-17,19.06,19.06,18.5,18.65,350491,0
2017-08-18,18.77,18.78,18.535,18.57,357210,0
2017-08-21,18.75,18.9,18.261,18.4,398590,0
2017-08-22,18.45,18.73,18.05,18.36,308680,0
2017-08-23,18.31,18.95,18.31,18.68,215621,0
2017-08-24,18.88,19.662,18.65,19.45,453829,0
2017-08-25,19.56,20.54,19.41,20.07,734181,0
2017-08-28,20.2,20.48,19.91,20.05,788819,0
2017-08-29,20.12,20.5,19.97,20.19,614172,0
2017-08-30,20.12,20.48,19.86,20.34,315212,0
2017-08-31,20.28,20.46,20.1066,20.3,345730,0
2017-09-01,20.37,21,20.37,20.85,874483,0
2017-09-05,20.79,21,20.55,20.84,865301,0
2017-09-06,20.87,21,20.6,20.7,680475,0
2017-09-07,20.77,21.23,20.735,21.18,749123,0
2017-09-08,21.11,21.59,20.75,21.41,374231,0
2017-09-11,21.6,22.37,21.5044,21.98,771070,0
2017-09-12,21.98,22.37,21.74,22.28,448189,0
2017-09-13,22.32,23,22.23,22.23,935957,0
2017-09-14,22.28,22.45,21.28,22.06,571264,0
2017-09-15,22.19,22.7,22.155,22.29,1166595,0
2017-09-18,22.25,23.25,22.02,22.88,863476,0
2017-09-19,22.9,23.44,22.84,22.9,542722,0
2017-09-20,23.08,23.42,22.2,22.58,495276,0
2017-09-21,22.58,22.9,22.25,22.41,129435,0
2017-09-22,22.44,23.27,21.75,22.88,336858,0
2017-09-25,22.83,23.135,22.27,22.43,423260,0
2017-09-26,22.54,22.93,22.3,22.78,256868,0
2017-09-27,22.84,23.15,22.72,22.83,407412,0
2017-09-28,22.79,22.94,22.4458,22.72,430202,0
2017-09-29,22.79,22.79,22.07,22.6,426426,0
2017-10-02,22.66,23.19,22.31,23,671898,0
2017-10-03,23.15,23.4388,22.55,22.81,828697,0
2017-10-04,22.89,23.33,22.52,22.92,690975,0
2017-10-05,23.21,23.73,22.92,23.01,536414,0
2017-10-06,22.99,23.06,22.55,22.78,418422,0
2017-10-09,22.85,23.32,22.66,23.19,210348,0
2017-10-10,23.15,23.53,23.04,23.27,670498,0
2017-10-11,23.3,24.035,23.09,24,781277,0
2017-10-12,24.7,24.725,24.07,24.23,1245341,0
2017-10-13,24.47,24.59,24.03,24.4,587426,0
2017-10-16,24.54,24.7,24.31,24.51,376616,0
2017-10-17,24.61,25.13,24.51,24.6,637565,0
2017-10-18,24.69,24.94,23.86,24.02,664972,0
2017-10-19,23.9,24.05,23.51,23.68,510922,0
2017-10-20,23.79,24.22,23.64,23.85,321920,0
2017-10-23,24.11,24.4,23.74,24.21,529552,0
2017-10-24,24.28,24.88,24.28,24.74,352262,0
2017-10-25,24.81,25.24,24.6529,25.08,747370,0
2017-10-26,25.47,25.58,24.8903,25.5,660930,0
2017-10-27,26.5,26.9,24.55,24.81,1908573,0
2017-10-30,25.05,25.05,24.4,24.64,748445,0
2017-10-31,25,25.23,24.62,25,567104,0
2017-11-01,25.16,25.23,24.71,24.86,640718,0
2017-11-02,24.88,25.1113,24.13,24.43,293273,0
2017-11-03,24.41,24.729,23.5,23.69,1093463,0
2017-11-06,23.69,23.69,22.62,22.86,926905,0
2017-11-07,22.96,22.96,22.19,22.4,815489,0
2017-11-08,22.34,22.69,21.77,22.4,949560,0
2017-11-09,22.38,23.14,22.26,22.77,696832,0
2017-11-10,22.63,23.14,22.56,22.9,925866,0
