Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,14.008,14.172,13.94,14.155,451615,0
2005-02-28,14.146,14.431,13.913,14.284,1116042,0
2005-03-01,14.276,14.586,14.276,14.466,840409,0
2005-03-02,14.405,14.829,14.302,14.535,797464,0
2005-03-03,14.535,14.662,14.249,14.448,492558,0
2005-03-04,14.612,14.882,14.519,14.838,781296,0
2005-03-07,14.838,14.933,14.698,14.847,527964,0
2005-03-08,14.942,15.069,14.838,14.915,523067,0
2005-03-09,14.882,15.016,14.654,14.689,504360,0
2005-03-10,14.742,14.785,14.241,14.671,654565,0
2005-03-11,14.759,14.95,14.636,14.794,348351,0
2005-03-14,14.492,14.811,14.439,14.724,603117,0
2005-03-15,14.82,14.999,14.57,14.68,443846,0
2005-03-16,14.68,14.715,14.387,14.519,421710,0
2005-03-17,14.448,14.662,14.378,14.595,458906,0
2005-03-18,14.526,14.552,14.276,14.319,1759332,0
2005-03-21,14.276,14.448,14.181,14.233,872095,0
2005-03-22,14.284,14.328,13.895,13.991,896060,0
2005-03-23,13.853,13.869,13.448,13.466,1229388,0
2005-03-24,13.439,13.783,13.431,13.466,968506,0
2005-03-28,13.517,13.681,13.37,13.37,836392,0
2005-03-29,13.343,13.561,13.027,13.053,1359987,0
2005-03-30,13.134,13.275,13.027,13.275,931828,0
2005-03-31,13.249,13.284,12.86,12.965,796154,0
2005-04-01,13.044,13.275,12.801,12.819,1091179,0
2005-04-04,12.749,12.887,12.601,12.836,767609,0
2005-04-05,12.819,13.179,12.819,13.035,792823,0
2005-04-06,13.078,13.206,12.913,12.947,386402,0
2005-04-07,12.904,12.904,12.723,12.836,565907,0
2005-04-08,12.749,12.784,12.309,12.309,1040764,0
2005-04-11,12.431,12.559,12.135,12.405,1328348,0
2005-04-12,12.448,12.992,12.25,12.931,1947862,0
2005-04-13,12.965,12.983,12.37,12.422,1001147,0
2005-04-14,12.379,12.482,12.082,12.223,602612,0
2005-04-15,12.205,12.575,12.196,12.327,903285,0
2005-04-18,12.058,12.397,11.956,12.117,904919,0
2005-04-19,12.514,12.723,12.223,12.671,1202146,0
2005-04-20,12.731,12.731,12.405,12.448,1428059,0
2005-04-21,12.655,12.887,12.575,12.852,1267672,0
2005-04-22,12.922,12.947,12.464,12.68,1157756,0
2005-04-25,12.819,12.869,12.575,12.714,740463,0
2005-04-26,12.757,12.775,12.301,12.301,656703,0
2005-04-27,12.268,12.37,12.065,12.327,593127,0
2005-04-28,12.223,12.405,12,12,567883,0
2005-04-29,12.099,12.422,11.93,12.388,957347,0
2005-05-02,12.388,12.61,12.223,12.464,675877,0
2005-05-03,12.464,12.491,12.18,12.292,802855,0
2005-05-04,12.309,12.491,12.214,12.44,356849,0
2005-05-05,12.448,12.749,12.259,12.723,845188,0
2005-05-06,12.646,12.819,12.619,12.749,653684,0
2005-05-09,12.714,12.852,12.514,12.852,901112,0
2005-05-10,12.757,12.784,12.491,12.61,823481,0
2005-05-11,12.688,12.843,12.491,12.757,1028075,0
2005-05-12,12.843,12.843,12.491,12.601,1368846,0
2005-05-13,12.663,12.714,12.162,12.362,757844,0
2005-05-16,12.448,12.646,12.397,12.575,842545,0
2005-05-17,12.514,12.757,12.431,12.697,522585,0
2005-05-18,12.663,13.12,12.663,13.111,735447,0
2005-05-19,13.197,13.197,12.913,13.061,539347,0
2005-05-20,13.094,13.094,12.784,12.843,465888,0
2005-05-23,12.801,13.127,12.801,13.027,477623,0
2005-05-24,13.027,13.069,12.784,13.009,279789,0
2005-05-25,12.896,13.053,12.575,12.723,425399,0
2005-05-26,12.68,12.913,12.68,12.86,344858,0
2005-05-27,12.869,12.878,12.663,12.714,313918,0
2005-05-31,12.68,12.723,12.464,12.55,377102,0
2005-06-01,12.55,12.983,12.422,12.836,519057,0
2005-06-02,12.819,12.843,12.636,12.766,319575,0
2005-06-03,12.671,12.869,12.55,12.61,397535,0
2005-06-06,12.731,12.731,12.431,12.697,499898,0
2005-06-07,12.723,12.904,12.68,12.68,425353,0
2005-06-08,12.015,12.268,11.801,12.108,1594837,0
2005-06-09,12.135,12.259,11.939,12.259,669997,0
