Date,Open,High,Low,Close,Volume,OpenInt
2000-10-03,12.809,12.979,12.306,12.387,1701049,0
2000-10-04,12.642,12.642,12.133,12.306,1435411,0
2000-10-05,12.306,12.36,11.944,12.077,1399377,0
2000-10-06,12.05,12.19,11.55,11.55,982136,0
2000-10-09,11.653,11.653,10.959,10.959,1102099,0
2000-10-10,10.976,11.286,10.342,10.704,1286882,0
2000-10-11,10.615,10.813,10.277,10.813,1268865,0
2000-10-12,10.842,11.242,10.732,11.205,1257221,0
2000-10-13,11.205,11.515,11.205,11.433,687055,0
2000-10-16,11.406,11.796,11.286,11.69,839979,0
2000-10-17,11.69,11.69,10.897,11.042,930501,0
2000-10-18,11.014,11.042,10.165,10.45,1064309,0
2000-10-19,10.567,11.286,10.567,10.813,1549003,0
2000-10-20,10.786,10.959,10.761,10.813,451299,0
2000-10-23,10.842,11.042,10.813,11.014,863049,0
2000-10-24,11.124,11.515,11.096,11.459,548854,0
2000-10-25,11.433,11.55,11.286,11.433,758682,0
2000-10-26,11.379,11.69,11.379,11.634,832729,0
2000-10-27,11.595,11.879,11.595,11.86,564451,0
2000-10-30,11.86,12.077,11.86,11.963,1016631,0
2000-10-31,11.944,11.963,11.595,11.822,1230634,0
2000-11-01,11.86,11.879,11.595,11.69,662448,0
2000-11-02,11.595,11.69,11.459,11.569,492826,0
2000-11-03,11.406,11.742,11.406,11.569,459866,0
2000-11-06,11.595,11.742,11.515,11.569,576318,0
2000-11-07,11.69,11.742,11.515,11.595,731876,0
2000-11-08,11.406,11.634,11.406,11.55,346494,0
2000-11-09,11.379,11.653,11.379,11.634,288929,0
2000-11-10,11.634,11.77,11.487,11.569,551054,0
2000-11-13,11.569,11.653,11.487,11.569,778676,0
2000-11-14,11.569,11.77,11.569,11.653,589719,0
2000-11-15,11.569,11.569,11.433,11.487,552804,0
2000-11-16,11.506,11.569,11.397,11.424,639378,0
2000-11-17,11.541,11.68,11.459,11.624,986529,0
2000-11-20,11.569,11.68,11.397,11.586,507325,0
2000-11-21,11.487,11.653,11.397,11.541,636303,0
2000-11-22,11.506,11.541,11.397,11.424,330895,0
2000-11-24,11.424,11.541,11.424,11.459,167206,0
2000-11-27,11.487,11.653,11.397,11.397,564673,0
2000-11-28,11.397,11.708,11.397,11.459,625094,0
2000-11-29,11.371,11.586,11.371,11.541,491728,0
2000-11-30,11.586,11.851,11.371,11.68,556322,0
2000-12-01,11.624,11.796,11.541,11.796,456355,0
2000-12-04,11.796,11.935,11.68,11.851,431087,0
2000-12-05,11.796,12.161,11.796,11.99,313755,0
2000-12-06,11.935,12.324,11.935,11.963,292881,0
2000-12-07,11.99,12.077,11.851,11.851,240368,0
2000-12-08,11.851,12.324,11.814,12.181,458327,0
2000-12-11,12.161,12.208,12.077,12.077,521828,0
2000-12-12,12.096,12.161,11.935,12.04,528198,0
2000-12-13,12.077,12.124,12.017,12.04,562034,0
2000-12-14,12.04,12.351,12.017,12.161,520511,0
2000-12-15,11.708,11.733,11.459,11.541,982353,0
2000-12-18,11.397,11.624,11.196,11.459,406260,0
2000-12-19,11.569,11.796,11.459,11.733,217736,0
2000-12-20,11.733,11.814,10.751,11.033,563793,0
2000-12-21,11.141,11.232,11.005,11.179,559401,0
2000-12-22,11.061,11.088,10.869,11.033,405378,0
2000-12-26,11.033,11.277,10.949,11.196,319467,0
2000-12-27,11.315,11.653,11.258,11.487,505350,0
2000-12-28,11.371,11.541,11.088,11.541,835364,0
2000-12-29,11.424,11.814,11.424,11.569,646186,0
2001-01-02,11.506,11.897,11.506,11.87,464483,0
2001-01-03,11.653,12.863,11.653,12.863,3155573,0
2001-01-04,12.8,13.024,12.553,12.606,1161423,0
2001-01-05,12.606,12.634,12.181,12.387,1035085,0
2001-01-08,12.271,12.296,12.096,12.208,674532,0
2001-01-09,12.243,12.435,12.181,12.208,1092212,0
2001-01-10,12.208,12.435,12.181,12.351,1463314,0
2001-01-11,12.471,12.606,12.406,12.471,662448,0
2001-01-12,12.553,12.553,12.387,12.49,287389,0
2001-01-16,12.435,12.606,12.435,12.606,399665,0
2001-01-17,12.49,12.716,12.49,12.697,502274,0
2001-01-18,12.606,12.634,12.324,12.387,1252609,0
2001-01-19,12.04,12.208,11.653,11.814,1006963,0
2001-01-22,11.814,12.49,11.814,12.387,1108255,0
2001-01-23,12.387,12.716,12.387,12.435,574778,0
2001-01-24,12.435,12.525,12.406,12.406,415044,0
2001-01-25,12.406,12.553,12.387,12.471,344956,0
2001-01-26,12.525,12.579,12.387,12.553,377255,0
2001-01-29,12.606,12.716,12.606,12.634,708586,0
