Date,Open,High,Low,Close,Volume,OpenInt
2017-08-14,25.46,25.5999,25.35,25.5,42338,0
2017-08-15,25.5,25.5,25.42,25.45,54225,0
2017-08-16,25.4,25.45,25.3,25.3,21127,0
2017-08-17,25.23,25.44,25.22,25.25,15383,0
2017-08-18,25.3499,25.35,25.25,25.25,15830,0
2017-08-21,25.35,25.35,25.15,25.15,7390,0
2017-08-22,25.15,25.2499,25,25.1499,11885,0
2017-08-23,25.1,25.162,25.1,25.1499,102930,0
2017-08-24,25.23,25.32,25.1821,25.32,28400,0
2017-08-25,25.2,25.5,25.2,25.49,14003,0
2017-08-28,25.5,25.52,25.35,25.44,27480,0
2017-08-29,25.44,25.4999,25.35,25.35,41562,0
2017-08-30,25.45,25.45,25.3748,25.4,6408,0
2017-08-31,25.56,25.56,25.35,25.4,3950,0
2017-09-01,25.42,25.4499,25.4,25.4499,500,0
2017-09-05,25.55,25.55,25.41,25.43,3800,0
2017-09-06,25.42,25.45,25.36,25.43,7610,0
2017-09-07,25.45,25.45,25.4,25.4,20086,0
2017-09-08,25.43,25.43,25.4,25.4,15552,0
2017-09-11,25.4443,25.45,25.42,25.42,23433,0
2017-09-12,25.59,25.59,25.451,25.46,21690,0
2017-09-13,25.63,25.63,25.44,25.54,53472,0
2017-09-14,25.6699,25.6699,25.65,25.65,1700,0
2017-09-15,25.6,25.74,25.6,25.74,54597,0
2017-09-18,25.67,25.68,25.67,25.68,792,0
2017-09-19,25.7,25.75,25.7,25.75,2115,0
2017-09-20,25.7999,25.7999,25.7999,25.7999,450,0
2017-09-21,25.77,25.82,25.77,25.8,3589,0
2017-09-22,25.8,25.8599,25.7,25.82,30693,0
2017-09-25,25.82,25.82,25.7771,25.8,11559,0
2017-09-26,25.8199,25.82,25.8,25.82,6150,0
2017-09-27,25.87,25.87,25.59,25.8,29830,0
2017-09-28,25.84,25.87,25.75,25.86,149750,0
2017-09-29,25.92,25.92,25.82,25.87,118700,0
2017-10-02,25.9,25.95,25.85,25.85,12667,0
2017-10-03,25.9999,25.9999,25.8,25.8,3074,0
2017-10-04,25.9,25.9,25.76,25.76,5880,0
2017-10-05,25.9,25.9,25.83,25.83,8993,0
2017-10-06,25.98,26,25.78,25.99,7456,0
2017-10-09,25.99,25.99,25.99,25.99,570,0
2017-10-10,25.8,25.8,25.6575,25.7,12537,0
2017-10-11,25.8,25.8542,25.73,25.75,12004,0
2017-10-12,25.7,25.9244,25.7,25.74,1778,0
2017-10-13,25.66,25.7544,25.66,25.7544,200,0
2017-10-16,25.75,25.95,25.75,25.95,1400,0
2017-10-17,25.9,25.9499,25.9,25.9499,500,0
2017-10-18,25.95,25.95,25.75,25.75,9406,0
2017-10-19,25.75,25.8,25.75,25.75,3995,0
2017-10-20,25.76,25.9,25.76,25.8,10758,0
2017-10-23,25.94,25.94,25.78,25.85,3408,0
2017-10-24,25.85,25.9,25.85,25.9,2219,0
2017-10-25,25.801,25.95,25.801,25.82,2268,0
2017-10-26,25.95,25.95,25.95,25.95,725,0
2017-10-27,25.9,25.99,25.8,25.91,253405,0
2017-10-30,25.99,25.99,25.9,25.98,1586,0
2017-10-31,25.65,25.65,25.35,25.4,14734,0
2017-11-01,25.5,25.5,25.4,25.45,9850,0
2017-11-02,25.45,25.49,25.38,25.45,23023,0
2017-11-03,25.45,25.45,25.35,25.35,16900,0
2017-11-06,25.35,25.56,25.2,25.365,5331,0
2017-11-07,25.33,25.34,25.2,25.24,12947,0
2017-11-08,25.29,25.29,25.1,25.14,6265,0
2017-11-09,25.3,25.33,25.1583,25.32,17949,0
2017-11-10,25.3,25.32,25.0204,25.15,25310,0
