Date,Open,High,Low,Close,Volume,OpenInt
2005-12-05,35.314,37.491,34.963,37.365,68925,0
2005-12-06,37.448,38.626,37.448,38.626,58262,0
2005-12-07,38.714,39.235,38.714,39.15,6423,0
2005-12-08,39.159,39.159,38.148,38.33,19611,0
2005-12-09,38.539,38.539,37.564,38.103,18239,0
2005-12-12,38.191,38.626,38.009,38.009,13417,0
2005-12-13,38.016,38.451,37.849,38.451,9289,0
2005-12-14,38.366,38.539,38.103,38.191,8832,0
2005-12-15,38.103,38.103,37.483,37.483,45873,0
2005-12-16,37.583,37.648,37.407,37.648,3096,0
2005-12-19,37.625,37.625,37.048,37.048,4358,0
2005-12-20,37.014,37.014,36.578,36.578,15711,0
2005-12-21,36.665,36.918,36.523,36.523,42549,0
2005-12-22,36.49,36.49,36.141,36.258,18811,0
2005-12-23,36.273,36.273,36.055,36.213,9864,0
2005-12-27,36.185,36.185,35.226,35.244,13766,0
2005-12-28,35.181,35.209,34.879,35.12,20415,0
2005-12-29,35.226,35.409,34.879,34.879,15139,0
2005-12-30,34.79,35.27,34.79,34.879,141065,0
2006-01-03,34.879,36.578,33.718,36.221,1020265,0
2006-01-04,36.221,36.751,36.221,36.621,601310,0
2006-01-05,36.578,36.936,36.385,36.777,429734,0
2006-01-06,36.996,37.43,36.883,37.224,388105,0
2006-01-09,37.224,37.346,36.96,37.055,226967,0
2006-01-10,37.055,37.055,36.105,37.014,637778,0
2006-01-11,36.968,36.968,36.273,36.578,824378,0
2006-01-12,37.346,37.346,35.812,36.258,394067,0
2006-01-13,36.289,36.839,36.114,36.741,371936,0
2006-01-17,36.532,36.733,36.273,36.369,303806,0
2006-01-18,36.28,36.49,35.837,36.35,202426,0
2006-01-19,36.532,37.373,36.457,37.24,262636,0
2006-01-20,37.154,37.188,36.96,36.987,158845,0
2006-01-23,36.987,37.667,36.848,37.657,305757,0
2006-01-24,37.8,38.009,37.519,37.866,222729,0
2006-01-25,37.946,38.172,37.583,37.755,254036,0
2006-01-26,37.974,38.191,37.346,37.574,190952,0
2006-01-27,37.574,37.983,37.309,37.824,214465,0
2006-01-30,37.774,37.774,36.987,37.1,213319,0
2006-01-31,37.055,37.1,36.132,36.185,222149,0
2006-02-01,36.114,36.716,36.031,36.658,159761,0
2006-02-02,36.648,36.892,36.105,36.413,90948,0
2006-02-03,36.313,36.665,36.24,36.658,100925,0
2006-02-06,36.639,36.797,36.474,36.474,103335,0
2006-02-07,36.466,36.883,36.466,36.497,167556,0
2006-02-08,36.506,37.042,36.096,37.006,129481,0
2006-02-09,36.951,37.365,36.768,37.356,159188,0
2006-02-10,37.272,37.555,37.137,37.448,140836,0
2006-02-13,37.448,37.448,37.073,37.282,128566,0
2006-02-14,37.264,37.857,37.073,37.7,164808,0
2006-02-15,37.545,37.911,37.3,37.824,168821,0
