Date,Open,High,Low,Close,Volume,OpenInt
2016-03-28,23.275,23.558,23.275,23.275,491072,0
2016-03-29,23.339,23.476,23.202,23.365,477133,0
2016-03-30,23.373,23.437,23.246,23.301,203526,0
2016-03-31,23.292,23.495,23.292,23.467,157331,0
2016-04-01,23.476,23.501,23.328,23.413,113847,0
2016-04-04,23.339,23.393,23.155,23.202,124173,0
2016-04-05,23.155,23.264,22.91,23.173,171390,0
2016-04-06,23.192,23.339,23.192,23.22,183831,0
2016-04-07,23.292,23.32,23.073,23.165,108605,0
2016-04-08,23.283,23.339,23.173,23.192,156410,0
2016-04-11,23.22,23.283,23.22,23.22,102790,0
2016-04-12,23.182,23.283,23.182,23.236,207610,0
2016-04-13,23.275,23.275,23.206,23.22,181298,0
2016-04-14,23.275,23.329,23.228,23.292,211364,0
2016-04-15,23.339,23.339,23.246,23.275,81554,0
2016-04-18,23.31,23.421,23.182,23.32,405982,0
2016-04-19,23.373,23.429,23.292,23.339,233524,0
2016-04-20,23.447,23.511,23.34,23.485,82579,0
2016-04-21,23.511,23.521,23.413,23.437,63787,0
2016-04-22,23.422,23.521,23.422,23.476,93364,0
2016-04-25,23.476,23.521,23.292,23.511,102883,0
2016-04-26,23.521,23.521,23.366,23.447,113658,0
2016-04-27,23.511,23.658,23.365,23.604,177382,0
2016-04-28,23.521,23.703,23.476,23.694,138216,0
2016-04-29,23.75,24.106,23.634,24.051,251806,0
2016-05-02,23.931,24.066,23.685,23.768,88170,0
2016-05-03,23.75,23.75,23.566,23.703,157376,0
2016-05-04,23.75,23.931,23.658,23.758,153210,0
2016-05-05,23.841,23.931,23.75,23.822,721677,0
2016-05-06,24.023,24.023,23.703,23.905,177021,0
2016-05-09,23.969,23.969,23.795,23.831,58357,0
2016-05-10,23.931,23.969,23.804,23.905,73745,0
2016-05-11,23.931,23.931,23.814,23.85,84425,0
2016-05-12,24.023,24.023,23.841,23.877,205863,0
2016-05-13,23.914,23.978,23.859,23.859,106357,0
2016-05-16,23.969,23.969,23.795,23.85,103313,0
2016-05-17,23.969,23.969,23.85,23.959,69899,0
2016-05-18,24.023,24.023,23.822,23.914,170286,0
2016-05-19,23.914,23.95,23.437,23.731,150205,0
2016-05-20,23.905,23.905,23.622,23.658,122636,0
2016-05-23,23.795,23.885,23.684,23.75,141935,0
2016-05-24,23.75,23.877,23.622,23.731,133405,0
2016-05-25,23.795,23.877,23.712,23.75,114721,0
2016-05-26,23.795,23.877,23.764,23.795,162229,0
2016-05-27,23.841,23.978,23.768,23.978,68988,0
2016-05-31,23.978,23.978,23.85,23.978,89421,0
2016-06-01,24.005,24.023,23.85,23.978,136951,0
2016-06-02,23.978,24.197,23.882,23.914,633594,0
2016-06-03,23.931,24.014,23.931,24.005,70854,0
2016-06-06,24.023,24.078,23.95,23.959,527310,0
2016-06-07,24.014,24.06,23.931,23.995,768317,0
2016-06-08,24.069,24.188,23.95,24.142,710166,0
2016-06-09,24.206,24.206,24.014,24.098,57849,0
2016-06-10,24.17,24.389,24.06,24.343,88113,0
2016-06-13,24.343,24.343,24.087,24.087,84781,0
2016-06-14,24.206,24.634,24.084,24.571,96916,0
2016-06-15,24.745,24.836,24.326,24.527,90924,0
2016-06-16,24.663,24.663,24.188,24.252,181837,0
2016-06-17,24.416,24.416,24.188,24.296,68390,0
2016-06-20,24.416,24.416,24.206,24.271,99915,0
2016-06-21,24.306,24.37,24.233,24.252,110203,0
2016-06-22,24.335,24.433,24.242,24.424,94492,0
2016-06-23,24.326,24.527,24.326,24.527,73086,0
2016-06-24,24.262,24.507,24.16,24.433,94173,0
2016-06-27,24.433,24.747,24.096,24.698,100581,0
2016-06-28,24.845,25.118,24.698,24.845,85153,0
2016-06-29,25.223,25.445,24.979,24.988,96585,0
2016-06-30,25.073,25.128,24.823,25.037,110069,0
2016-07-01,25.203,25.818,25.193,25.78,178603,0
2016-07-05,25.77,26.506,25.148,26.004,306312,0
2016-07-06,26.049,26.189,25.436,25.854,205530,0
2016-07-07,25.789,26.189,25.547,25.939,295377,0
2016-07-08,26.097,26.189,25.949,26.049,135920,0
2016-07-11,26.283,26.487,25.966,26.144,233056,0
2016-07-12,26.144,26.283,26.069,26.179,169774,0
2016-07-13,26.236,26.283,26.089,26.199,95641,0
2016-07-14,26.283,26.422,26.154,26.357,239017,0
2016-07-15,26.952,26.952,24.998,25.343,537598,0
2016-07-18,25.398,25.501,24.943,25.063,95081,0
2016-07-19,25.203,25.289,25.102,25.193,75645,0
2016-07-20,25.278,25.408,25.213,25.408,39380,0
2016-07-21,25.492,25.538,25.362,25.464,59191,0
2016-07-22,25.529,25.529,25.362,25.427,35050,0
2016-07-25,25.482,25.575,25.417,25.566,45362,0
2016-07-26,25.603,25.622,25.482,25.622,77297,0
2016-07-27,25.705,25.715,25.562,25.66,60250,0
2016-07-28,25.734,25.799,25.557,25.77,51685,0
2016-07-29,25.809,25.918,25.687,25.78,51367,0
2016-08-01,25.994,26.023,25.725,25.835,39041,0
2016-08-02,25.864,25.864,25.585,25.77,35142,0
2016-08-03,25.678,25.678,25.492,25.547,65352,0
2016-08-04,25.538,26.375,25.352,25.473,65027,0
2016-08-05,25.538,25.66,25.352,25.417,57754,0
2016-08-08,25.445,25.51,25.38,25.417,60531,0
