Date,Open,High,Low,Close,Volume,OpenInt
2016-06-10,37.228,37.228,24.725,24.785,6148,0
2016-06-13,24.865,24.865,24.407,24.407,10034,0
2016-06-14,24.25,24.298,24.031,24.101,6997,0
2016-06-15,24.04,24.04,23.901,23.901,423,0
2016-06-16,23.694,24.021,23.634,24.021,5340,0
2016-06-17,24.101,24.101,24.031,24.081,3326,0
2016-06-20,24.387,24.387,24.315,24.315,301,0
2016-06-21,24.233,24.387,24.23,24.387,1467,0
2016-06-22,24.228,24.228,24.2,24.2,423,0
2016-06-23,24.407,24.517,24.407,24.437,807,0
2016-06-24,23.871,23.871,23.742,23.742,309,0
2016-06-27,23.674,23.784,23.674,23.784,1008,0
2016-06-28,24.855,24.855,23.782,23.812,1619,0
2016-06-29,24.114,24.114,24.114,24.114,104,0
2016-06-30,24.134,24.333,24.134,24.235,3291,0
2016-07-01,24.493,24.763,24.493,24.763,784,0
2016-07-06,24.602,24.841,24.602,24.841,1833,0
2016-07-07,25.168,25.288,24.881,25.288,6345,0
2016-07-08,25.495,25.615,25.495,25.615,403,0
2016-07-11,25.643,25.713,25.592,25.713,958,0
2016-07-12,25.713,25.713,25.627,25.665,1302,0
2016-07-13,25.963,25.963,25.535,25.575,3424,0
2016-07-14,25.723,25.923,25.683,25.829,3525,0
2016-07-15,25.742,26.14,25.645,26.14,875,0
2016-07-18,25.627,25.627,25.627,25.627,100,0
2016-07-19,26.17,26.17,25.565,25.565,504,0
2016-07-20,25.953,25.953,25.538,25.538,1474,0
2016-07-21,25.575,25.605,25.566,25.585,1026,0
2016-07-25,25.823,25.873,25.743,25.873,1007,0
2016-07-26,25.933,26.101,25.913,25.973,13533,0
2016-07-27,27.282,27.282,25.714,25.903,896,0
2016-07-28,25.883,25.883,25.883,25.883,120,0
2016-08-01,25.883,25.883,25.43,25.43,352,0
2016-08-02,25.415,25.445,25.415,25.425,1964,0
2016-08-03,25.415,25.465,25.415,25.465,301,0
2016-08-04,25.575,25.575,25.436,25.575,2670,0
2016-08-05,25.585,25.585,25.585,25.585,201,0
2016-08-08,25.595,25.595,25.489,25.565,4130,0
2016-08-09,26.787,26.787,25.753,25.753,3009,0
2016-08-10,25.632,25.713,25.632,25.673,931,0
2016-08-11,25.738,25.803,25.738,25.803,486,0
2016-08-15,26.111,26.111,26.111,26.111,100,0
2016-08-16,25.763,25.763,25.683,25.683,781,0
2016-08-17,26.29,26.29,26.29,26.29,195,0
2016-08-18,25.356,25.356,25.356,25.356,201,0
2016-08-19,25.326,25.405,25.326,25.405,403,0
2016-08-22,25.445,25.545,25.445,25.545,700,0
2016-08-23,25.833,25.913,25.655,25.664,655,0
2016-08-24,25.733,25.743,25.485,25.733,1261,0
2016-08-25,25.307,25.307,25.307,25.307,100,0
2016-08-26,25.278,25.278,25.168,25.168,403,0
2016-08-29,25.525,25.525,25.114,25.188,749,0
2016-08-30,25.079,25.129,25.079,25.129,796,0
2016-09-01,25.297,25.297,25.297,25.297,100,0
2016-09-02,25.168,25.188,25.168,25.188,201,0
2016-09-06,25.129,25.129,25.119,25.119,307,0
2016-09-07,24.861,24.861,24.821,24.821,605,0
