Date,Open,High,Low,Close,Volume,OpenInt
2016-09-09,26.387,26.387,26.368,26.368,215,0
2016-09-22,26.462,26.464,26.462,26.464,376,0
2016-10-03,26.554,26.554,26.554,26.554,215,0
2016-10-19,28.591,28.591,28.591,28.591,107,0
2016-10-28,29.15,29.15,28.787,28.787,242,0
2016-11-01,28.479,28.479,28.47,28.47,323,0
2016-11-10,26.526,26.526,26.526,26.526,107,0
2016-11-11,24.141,24.144,24.141,24.143,537,0
2016-11-14,23.952,23.952,23.952,23.952,253,0
2016-11-15,24.619,25.167,24.619,25.167,7739,0
2016-11-18,25.14,25.26,25.14,25.26,3399,0
2016-11-21,25.247,25.247,25.247,25.247,107,0
2016-12-02,24.333,24.333,24.333,24.333,323,0
2016-12-07,25.037,25.037,25.037,25.037,215,0
2016-12-08,25.959,25.959,25.959,25.959,107,0
2016-12-13,26.144,26.144,26.144,26.144,183,0
2016-12-21,25.523,25.523,25.523,25.523,202,0
2016-12-29,26.166,26.166,26.161,26.161,384,0
2016-12-30,26.601,26.601,26.601,26.601,188,0
2017-01-05,27.096,27.096,27.096,27.096,20244,0
2017-01-09,26.898,27.017,26.898,27.017,202,0
2017-01-10,27.076,27.076,27.056,27.056,202,0
2017-01-11,26.641,26.849,26.562,26.849,809,0
2017-01-18,26.977,26.987,26.977,26.987,303,0
2017-01-19,27.056,27.056,27.046,27.046,202,0
2017-01-20,27.205,27.214,27.205,27.214,303,0
2017-01-23,27.699,27.768,27.679,27.758,18404,0
2017-01-24,28.055,28.055,28.015,28.015,521,0
2017-01-25,27.986,27.986,27.986,27.986,182,0
2017-01-31,27.996,27.996,27.996,27.996,329,0
2017-02-01,27.966,27.966,27.966,27.966,101,0
2017-02-02,28.51,28.54,28.51,28.54,303,0
2017-02-10,28.866,28.866,28.866,28.866,101,0
2017-02-15,29.786,29.786,29.786,29.786,101,0
2017-02-16,30.29,30.29,30.277,30.277,2022,0
2017-02-17,30.201,30.201,30.201,30.201,212,0
2017-02-21,30.943,30.943,30.27,30.27,956,0
2017-02-22,30.606,30.646,30.606,30.646,202,0
2017-02-23,30.47,30.47,30.47,30.47,101,0
2017-02-27,29.726,29.726,29.647,29.647,1012,0
2017-03-02,29.884,29.884,29.746,29.746,202,0
2017-03-06,30.25,30.25,30.211,30.211,303,0
2017-03-07,30.132,30.191,30.132,30.191,202,0
2017-03-08,29.489,29.489,29.489,29.489,202,0
2017-03-09,29.123,29.123,29.123,29.123,202,0
2017-03-13,29.736,29.756,29.716,29.756,609,0
2017-03-14,29.608,29.746,29.608,29.746,809,0
2017-03-15,29.637,29.637,29.617,29.617,202,0
2017-03-16,30.527,30.587,30.448,30.587,404,0
2017-03-20,30.507,30.587,30.507,30.587,329,0
2017-03-24,30.428,30.508,29.934,29.964,1925,0
2017-03-27,29.973,29.973,29.973,29.973,506,0
2017-05-05,30.705,30.715,29.42,30.715,2022,0
2017-05-24,30.943,30.962,30.943,30.962,1011,0
2017-06-13,30.962,30.962,30.962,30.962,302,0
2017-06-21,30.7,30.7,30.7,30.7,102,0
2017-06-22,30.93,30.93,30.79,30.79,589,0
2017-06-26,31.6,31.6,31.44,31.44,200,0
2017-07-05,31.05,31.05,31.05,31.05,100,0
2017-07-19,33.76,33.76,33.38,33.38,14268,0
2017-07-21,33.7994,33.7994,33.7994,33.7994,100,0
2017-07-24,33.62,33.62,33.62,33.62,1000,0
2017-07-25,33.58,33.58,33.58,33.58,100,0
2017-07-26,33.62,33.62,33.62,33.62,487,0
2017-08-03,33.53,33.53,33.53,33.53,297,0
2017-08-08,34.33,34.33,33.72,33.72,949,0
2017-08-10,33.1355,33.1355,33.06,33.0714,545,0
2017-08-21,33.76,33.77,33.76,33.76,10000,0
2017-08-25,34.516,34.516,34.516,34.516,150,0
2017-08-28,34.215,34.215,34.215,34.215,126,0
2017-09-05,34.317,34.317,34.317,34.317,297,0
2017-09-14,34.51,34.51,34.51,34.51,100,0
2017-09-22,34.9301,34.9301,34.9301,34.9301,100,0
2017-09-25,34.46,34.46,34.46,34.46,55220,0
2017-10-02,34.4334,34.4334,34.4334,34.4334,125,0
