Date,Open,High,Low,Close,Volume,OpenInt
2015-12-04,57.503,57.918,57.503,57.918,1142,0
2015-12-08,57.428,57.428,57.359,57.428,1245,0
2015-12-10,56.915,56.915,56.915,56.915,101,0
2015-12-11,56.424,56.424,56.424,56.424,208,0
2015-12-14,55.508,55.951,55.508,55.508,1348,0
2015-12-16,56.856,57.186,56.856,57.186,208,0
2015-12-22,57.189,57.189,57.189,57.189,86,0
2015-12-28,57.266,57.266,57.266,57.266,101,0
2016-01-08,53.896,53.896,53.896,53.896,101,0
2016-01-11,53.075,53.075,53.075,53.075,123,0
2016-01-12,53.143,53.143,53.143,53.143,101,0
2016-01-14,51.925,53.094,51.925,53.094,208,0
2016-01-20,50.564,50.564,50.529,50.529,208,0
2016-01-21,52.023,52.023,52.023,52.023,101,0
2016-01-22,52.487,52.487,52.487,52.487,101,0
2016-01-25,51.963,51.963,51.963,51.963,101,0
2016-01-26,52.379,52.379,52.379,52.379,101,0
2016-01-27,52.097,52.097,52.097,52.097,101,0
2016-01-28,52.196,52.196,52.196,52.196,101,0
2016-01-29,52.863,53.692,52.863,53.692,2175,0
2016-02-01,53.588,54.021,53.539,53.905,1759,0
2016-02-02,53.035,53.075,52.708,52.823,1659,0
2016-02-03,52.67,52.67,52.67,52.67,101,0
2016-02-04,53.026,53.267,53.026,53.267,415,0
2016-02-05,52.572,52.582,52.255,52.255,1450,0
2016-02-08,51.239,51.239,51.239,51.239,101,0
2016-02-09,51.085,51.47,51.076,51.366,1243,0
2016-02-10,51.664,51.963,51.52,51.52,1140,0
2016-02-11,50.574,51.085,50.458,50.864,1035,0
2016-02-12,51.297,51.801,50.864,51.801,3729,0
2016-02-16,52.369,52.813,52.206,52.813,1659,0
2016-02-17,53.654,53.682,53.47,53.663,1346,0
2016-02-18,53.163,53.636,53.163,53.548,1140,0
2016-02-19,53.297,53.5,53.297,53.49,932,0
2016-02-22,54.205,54.31,54.137,54.31,1519,0
2016-03-01,55.557,55.557,55.557,55.557,101,0
2016-03-11,57.015,57.015,57.015,57.015,101,0
2016-04-07,57.952,58.069,57.561,57.814,3389,0
2016-04-18,59.266,59.394,59.266,59.354,616,0
2016-04-19,59.423,59.423,59.423,59.423,101,0
2016-04-21,59.179,59.179,59.179,59.179,114,0
2016-04-22,59.15,59.15,59.15,59.15,101,0
2016-05-04,58.34,58.439,58.34,58.439,616,0
2016-05-31,59.588,59.588,59.588,59.588,1599,0
2016-06-06,60.084,60.084,60.084,60.084,111,0
2016-06-10,60.046,60.046,60.046,60.046,101,0
2016-06-15,59.304,59.304,59.081,59.081,1432,0
2016-06-16,59.14,59.14,59.14,59.14,101,0
2016-06-17,59.13,59.13,59.111,59.111,1669,0
2016-06-21,59.656,59.656,59.656,59.656,628,0
2016-06-22,59.686,59.686,59.686,59.686,1245,0
2016-06-24,59.11,59.139,58.131,58.131,57456,0
2016-06-27,56.733,56.733,56.733,56.733,111,0
2016-06-30,59.666,59.666,59.666,59.666,885,0
2016-07-06,59.609,59.647,59.609,59.609,985,0
2016-07-08,60.604,60.604,60.604,60.604,674,0
2016-07-11,61.163,61.163,61.116,61.116,3371,0
2016-07-13,61.525,61.525,61.525,61.525,444,0
2016-07-15,61.742,61.742,61.742,61.742,954,0
2016-07-18,61.643,61.742,61.643,61.742,920,0
2016-07-19,61.564,61.564,61.456,61.516,2560,0
2016-07-20,61.643,61.918,61.643,61.878,2485,0
2016-07-21,62.063,62.063,62.026,62.026,585,0
2016-07-25,61.848,61.848,61.848,61.848,4004,0
2016-07-26,61.928,61.978,61.928,61.978,2307,0
2016-07-27,61.76,61.76,61.739,61.739,3268,0
2016-07-28,61.722,62.013,61.722,62.013,3888,0
2016-07-29,62.023,62.073,62.023,62.073,2856,0
2016-08-01,61.966,61.966,61.948,61.948,295,0
2016-08-02,61.33,61.33,61.285,61.285,1193,0
2016-08-03,61.301,61.358,61.301,61.358,4882,0
2016-08-04,61.584,61.603,61.448,61.448,2738,0
2016-08-05,61.872,61.872,61.868,61.868,1467,0
2016-08-08,61.878,61.878,61.845,61.845,2250,0
2016-08-09,61.918,61.918,61.746,61.789,1743,0
2016-08-10,61.672,61.742,61.637,61.742,2375,0
2016-08-11,61.848,62.033,61.848,62.013,2296,0
2016-08-12,61.868,61.868,61.855,61.855,2215,0
2016-08-15,62.25,62.25,62.118,62.191,3339,0
2016-08-16,61.838,61.838,61.686,61.752,3477,0
2016-08-17,61.468,61.585,61.291,61.585,1995,0
2016-08-18,61.898,61.898,61.898,61.898,4034,0
2016-08-19,61.868,61.948,61.868,61.948,2856,0
2016-08-22,61.994,61.994,61.98,61.98,890,0
2016-08-23,62.298,62.318,62.298,62.318,1823,0
2016-08-24,62.083,62.083,61.908,61.908,3284,0
2016-08-25,61.938,61.948,61.918,61.918,1504,0
2016-08-26,62.083,62.269,61.487,61.487,1141,0
2016-08-29,62.023,62.113,62.023,62.113,2010,0
2016-08-30,61.742,61.742,61.726,61.726,685,0
2016-08-31,61.584,61.584,61.584,61.584,290,0
2016-09-01,61.858,61.858,61.458,61.712,2611,0
2016-09-02,62.024,62.024,62.024,62.024,350,0
2016-09-06,62.083,62.083,62.083,62.083,494,0
2016-09-07,62.119,62.318,62.075,62.318,2250,0
2016-09-08,62.073,62.073,62.053,62.053,3769,0
2016-09-09,60.694,60.694,60.626,60.626,1298,0
