Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,19.418,20.455,19.38,20.277,761352,0
2005-02-28,20.417,20.933,19.998,20.248,632988,0
2005-03-01,20.18,21.067,20.18,20.933,680207,0
2005-03-02,20.543,21.267,20.399,20.513,523024,0
2005-03-03,20.523,20.649,19.932,20.287,351720,0
2005-03-04,20.437,20.639,19.97,20.219,390480,0
2005-03-07,20.085,20.943,20.085,20.591,207351,0
2005-03-08,20.437,20.857,20.114,20.114,283258,0
2005-03-09,20.035,20.494,19.942,20.114,368493,0
2005-03-10,20.277,20.78,20.094,20.503,383792,0
2005-03-11,20.543,20.61,19.761,19.877,461574,0
2005-03-14,19.924,20.455,19.924,20.455,619488,0
2005-03-15,20.494,20.771,20.239,20.334,676048,0
2005-03-16,20.17,20.706,19.932,20.094,503440,0
2005-03-17,20.114,20.199,19.924,20.017,260954,0
2005-03-18,20.055,20.085,19.4,19.418,498254,0
2005-03-21,19.456,20.085,19.351,19.942,485209,0
2005-03-22,19.924,20.277,19.589,19.619,204898,0
2005-03-23,19.541,20.209,19.541,19.674,264089,0
2005-03-24,19.637,19.962,19.599,19.619,135260,0
2005-03-28,19.713,19.895,19.456,19.589,315923,0
2005-03-29,19.579,19.799,19.4,19.426,276934,0
2005-03-30,19.523,20.045,19.523,19.799,275220,0
2005-03-31,19.886,20.104,19.619,19.915,388651,0
2005-04-01,20.134,20.427,19.895,20.124,408185,0
2005-04-04,20.19,20.334,19.932,20.229,260154,0
2005-04-05,20.344,20.543,20.065,20.124,240469,0
2005-04-06,20.306,20.686,20.297,20.361,357480,0
2005-04-07,20.334,20.591,20.297,20.474,214306,0
2005-04-08,20.407,20.659,20.297,20.315,175735,0
2005-04-11,20.306,20.417,20.008,20.045,175501,0
2005-04-12,19.97,20.065,19.541,19.858,408112,0
2005-04-13,19.819,19.895,19.276,19.276,454066,0
2005-04-14,19.257,19.57,18.913,18.951,475846,0
2005-04-15,18.913,18.978,18.502,18.751,928830,0
2005-04-18,18.568,18.978,18.447,18.978,763190,0
2005-04-19,18.923,20.017,18.896,19.839,600650,0
2005-04-20,19.97,20.055,18.408,18.789,662750,0
2005-04-21,19.531,23.021,19.531,21.144,3255783,0
2005-04-22,20.601,21.257,20.601,20.886,1118965,0
2005-04-25,20.99,21.154,20.8,21.019,655698,0
2005-04-26,20.98,21.601,20.876,21.01,490031,0
2005-04-27,20.924,21.516,20.837,21.116,424242,0
2005-04-28,20.972,21.543,20.972,20.99,530223,0
2005-04-29,20.98,21.458,20.114,20.734,737806,0
2005-05-02,20.686,21.106,20.686,20.953,303092,0
2005-05-03,20.771,21.192,20.494,20.571,282705,0
2005-05-04,20.553,21.668,20.553,21.419,435015,0
2005-05-05,21.344,21.688,21.192,21.257,491855,0
2005-05-06,21.257,21.63,21.21,21.526,237309,0
2005-05-09,21.448,21.658,21.305,21.487,152035,0
2005-05-10,21.325,22.154,21.305,21.678,519842,0
2005-05-11,21.782,21.839,21.125,21.534,419581,0
2005-05-12,21.487,22.258,21.487,22.249,747080,0
2005-05-13,22.105,23.021,22.105,22.603,698434,0
2005-05-16,22.612,23.154,22.612,22.907,385289,0
2005-05-17,22.715,23.127,22.642,22.965,546745,0
2005-05-18,23.021,23.478,22.764,23.271,287488,0
2005-05-19,22.887,23.488,22.772,23.021,454824,0
2005-05-20,22.897,23.068,22.612,23.012,315800,0
2005-05-23,22.917,23.135,22.688,22.887,262293,0
2005-05-24,22.735,23.117,22.612,23.087,198530,0
2005-05-25,22.945,22.984,22.554,22.632,201847,0
2005-05-26,22.659,23.308,22.659,23.135,195981,0
2005-05-27,23.192,23.192,22.468,22.642,849886,0
2005-05-31,22.515,23.077,22.468,22.706,537315,0
2005-06-01,22.554,23.545,22.554,23.049,409009,0
2005-06-02,23.021,23.603,23.021,23.356,540663,0
2005-06-03,23.251,23.346,22.754,22.822,266590,0
2005-06-06,22.86,23.117,22.563,23.068,420228,0
2005-06-07,23.127,23.232,22.706,22.772,486174,0
2005-06-08,22.782,23.271,22.706,22.936,261052,0
2005-06-09,22.877,23.536,22.622,23.488,511338,0
2005-06-10,23.584,23.594,22.745,23.002,342940,0
2005-06-13,21.601,22.782,21.601,21.81,1228637,0
2005-06-14,21.753,21.925,21.649,21.83,458896,0
2005-06-15,21.888,21.963,20.847,21.4,1103283,0
2005-06-16,21.591,21.658,21.154,21.237,396998,0
2005-06-17,21.428,21.428,20.581,20.79,1005081,0
2005-06-20,20.639,20.668,20.399,20.437,470397,0
2005-06-21,20.39,20.905,20.39,20.706,539320,0
2005-06-22,21.639,21.724,21.21,21.526,536584,0
