Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.0236,7.0326,7.0236,7.0326,672,0
2005-02-28,6.9877,7.0236,6.9701,7.0148,2015,0
2005-03-01,7.0236,7.0236,6.9344,6.9701,4700,0
2005-03-03,6.9701,7.0148,6.9701,7.0148,6715,0
2005-03-04,7.0148,7.0148,7.0148,7.0148,223,0
2005-03-07,7.0594,7.122,7.0594,7.122,3806,0
2005-03-08,7.1488,7.1576,7.1488,7.1576,11638,0
2005-03-09,7.256,7.256,7.256,7.256,2239,0
2005-03-11,7.2381,7.2471,7.2381,7.2471,5819,0
2005-03-14,7.256,7.3274,7.256,7.3274,3580,0
2005-03-15,7.3096,7.3454,7.3096,7.3454,4029,0
2005-03-21,7.3096,7.3096,7.3096,7.3096,672,0
2005-03-23,7.3364,7.3364,7.3364,7.3364,1118,0
2005-03-28,7.2828,7.2828,7.1041,7.1576,7611,0
2005-03-30,7.1398,7.1398,7.0773,7.0773,2015,0
2005-03-31,7.0415,7.0415,6.9701,6.9701,3580,0
2005-04-01,6.9969,7.0326,6.9969,7.0326,1344,0
2005-04-04,6.9877,7.0236,6.9877,7.0236,448,0
2005-04-05,7.0236,7.0236,6.9701,6.9701,2239,0
2005-04-06,6.9523,6.9523,6.9523,6.9523,223,0
2005-04-07,6.961,6.961,6.961,6.961,1344,0
2005-04-11,7.0148,7.0148,5.8085,5.8531,91317,0
2005-04-12,5.8085,6.0585,5.585,6.005,130709,0
2005-04-13,6.005,6.1836,5.8085,5.8085,27530,0
2005-04-14,5.8531,5.9156,5.8531,5.9156,10073,0
2005-04-15,5.8978,5.9335,5.8978,5.8978,6491,0
2005-04-18,5.8799,5.8799,5.8085,5.8531,4700,0
2005-04-19,5.8353,5.8887,5.8353,5.8887,12981,0
2005-04-20,5.8978,5.9604,5.8978,5.9156,6715,0
2005-04-21,5.9604,5.9692,5.9604,5.9692,3580,0
2005-04-22,5.9781,6.0318,5.9781,6.0229,16338,0
2005-04-25,6.0318,6.1032,6.0318,6.0585,23501,0
2005-04-26,6.0585,6.0585,6.0406,6.0585,2239,0
