Date,Open,High,Low,Close,Volume,OpenInt
2017-09-29,24.907,24.907,24.897,24.897,6489,0
2017-10-02,24.897,24.897,24.897,24.897,0,0
2017-10-03,24.897,24.897,24.897,24.897,0,0
2017-10-04,24.897,24.897,24.897,24.897,0,0
2017-10-05,24.897,24.897,24.897,24.897,0,0
2017-10-06,24.897,24.897,24.897,24.897,0,0
2017-10-09,24.897,24.897,24.897,24.897,0,0
2017-10-10,24.897,24.897,24.897,24.897,0,0
2017-10-11,24.977,24.977,24.977,24.977,1002,0
2017-10-12,24.977,24.977,24.977,24.977,0,0
2017-10-13,24.977,24.977,24.977,24.977,0,0
2017-10-16,24.977,24.977,24.977,24.977,0,0
2017-10-17,24.977,24.977,24.977,24.977,10,0
2017-10-18,24.977,24.977,24.977,24.977,0,0
2017-10-19,24.977,24.977,24.977,24.977,10,0
2017-10-20,24.957,24.957,24.957,24.957,1,0
2017-10-23,24.9573,24.9573,24.9573,24.9573,0,0
2017-10-24,24.93,24.93,24.93,24.93,1004,0
2017-10-25,24.93,24.93,24.93,24.93,0,0
2017-10-26,24.93,24.93,24.93,24.93,0,0
2017-10-27,24.93,24.93,24.93,24.93,2,0
2017-10-30,24.93,24.93,24.93,24.93,0,0
2017-10-31,24.93,24.93,24.93,24.93,0,0
2017-11-01,25,25.01,25,25.01,393,0
2017-11-02,25.01,25.01,25.01,25.01,0,0
2017-11-03,25.01,25.01,25.01,25.01,0,0
2017-11-06,25.01,25.01,25.01,25.01,0,0
2017-11-07,25.01,25.01,25.01,25.01,0,0
2017-11-08,25.01,25.01,25.01,25.01,0,0
2017-11-09,25.01,25.01,25.01,25.01,0,0
2017-11-10,25.01,25.01,25.01,25.01,0,0
