Date,Open,High,Low,Close,Volume,OpenInt
2012-07-26,20.087,20.187,19.955,20.054,1867649,0
2012-07-27,19.976,20.087,19.976,20.071,1708235,0
2012-07-30,20.032,20.109,20.032,20.071,1159236,0
2012-07-31,20.071,20.257,20.054,20.257,1805613,0
2012-08-01,20.203,20.211,20.087,20.14,646291,0
2012-08-02,20.187,20.187,20.116,20.134,882037,0
2012-08-03,20.166,20.171,20.071,20.102,581991,0
2012-08-06,20.109,20.178,20.087,20.095,508702,0
2012-08-07,20.149,20.187,20.109,20.171,581531,0
2012-08-08,20.211,20.211,20.134,20.166,460441,0
2012-08-09,20.157,20.187,20.024,20.134,532682,0
2012-08-10,20.125,20.187,20.087,20.134,566554,0
2012-08-13,20.157,20.157,20.054,20.062,605128,0
2012-08-14,20.078,20.319,20.071,20.311,712698,0
2012-08-15,20.304,20.337,20.236,20.265,569621,0
2012-08-16,20.304,20.337,20.166,20.304,286705,0
2012-08-17,20.304,20.304,20.195,20.24,278280,0
2012-08-20,20.265,20.265,20.102,20.109,289973,0
2012-08-21,20.116,20.195,20.017,20.187,329897,0
2012-08-22,20.203,20.211,20.109,20.157,355414,0
2012-08-23,20.166,20.171,20.102,20.157,285082,0
2012-08-24,20.166,20.304,20.157,20.171,218859,0
2012-08-27,20.257,20.304,20.187,20.274,345515,0
2012-08-28,20.291,20.381,20.265,20.337,307536,0
2012-08-29,20.361,20.381,20.274,20.345,201561,0
2012-08-30,20.368,20.415,20.311,20.415,199154,0
2012-08-31,20.423,20.501,20.352,20.469,153713,0
2012-09-04,20.501,20.601,20.431,20.601,185065,0
2012-09-05,20.578,20.601,20.469,20.493,258004,0
2012-09-06,20.501,20.531,20.407,20.501,255694,0
2012-09-07,20.539,20.619,20.501,20.619,102947,0
2012-09-10,20.641,20.648,20.501,20.539,235117,0
2012-09-11,20.578,20.578,20.452,20.522,426622,0
2012-09-12,20.501,20.501,20.352,20.352,316482,0
2012-09-13,20.444,20.452,20.291,20.361,210694,0
2012-09-14,20.444,20.444,20.337,20.423,161850,0
