Date,Open,High,Low,Close,Volume,OpenInt
2017-08-18,13,13.26,9.25,9.25,575851,0
2017-08-21,9.59,10.19,9.3,10.19,205253,0
2017-08-22,10.19,10.7399,10.0003,10.43,100937,0
2017-08-23,10.61,11.55,10.61,11.55,169150,0
2017-08-24,12.34,12.34,10.5,11.33,184354,0
2017-08-25,11.25,11.62,10.26,10.61,72740,0
2017-08-28,11.1,11.1,10,10.35,46678,0
2017-08-29,10.32,10.32,9.6,9.88,51285,0
2017-08-30,9.84,10.17,9.6,9.7,14396,0
2017-08-31,9.7,9.99,9.3704,9.57,30327,0
2017-09-01,9.48,9.92,9.48,9.74,29827,0
2017-09-05,9.9,9.9,8.6,8.7,110187,0
2017-09-06,8.75,9.12,8.01,8.4,114767,0
2017-09-07,8.59,8.59,7.7,7.7,87774,0
2017-09-08,7.95,8.12,7.71,7.99,39938,0
2017-09-11,8.22,8.26,7.81,8.11,41256,0
2017-09-12,8.05,8.0501,7.8,7.99,38591,0
2017-09-13,8,8,7.71,7.71,28618,0
2017-09-14,7.711,7.7887,7.035,7.23,135867,0
2017-09-15,7.24,7.4152,7.05,7.11,28921,0
2017-09-18,7.14,7.22,7,7.07,32771,0
2017-09-19,7.13,7.6,7.04,7.53,101791,0
2017-09-20,7.59,8.25,7.5534,8.25,70693,0
2017-09-21,8.5,8.6851,8.36,8.6,33875,0
2017-09-22,8.5,9.04,8.251,8.9,52561,0
2017-09-25,9.15,9.1947,8.26,8.67,72751,0
2017-09-26,8.67,8.67,7.65,7.99,77062,0
2017-09-27,8.22,8.25,7.22,7.28,61310,0
2017-09-28,7.2,7.51,6.79,7.14,75321,0
2017-09-29,7.15,7.2886,7,7.19,24115,0
2017-10-02,7.24,7.37,7.0185,7.16,33302,0
2017-10-03,7.35,7.53,7.16,7.41,41657,0
2017-10-04,7.48,7.58,7.25,7.25,20852,0
2017-10-05,7.39,7.47,7.2618,7.44,13458,0
2017-10-06,7.3,8.15,7.3,8.15,21641,0
2017-10-09,8.01,8.24,7.7,7.84,8163,0
2017-10-10,8.1,8.1,7.6547,7.78,8337,0
2017-10-11,7.6501,7.71,7.3,7.3,14215,0
2017-10-12,7.25,7.36,7.15,7.36,13752,0
2017-10-13,7.1599,7.53,7.1599,7.4219,12287,0
2017-10-16,7.3,7.98,7.3,7.445,15990,0
2017-10-17,7.3,7.9,7.01,7.11,84471,0
2017-10-18,7.32,7.38,7.01,7.08,42294,0
2017-10-19,7.15,7.33,7.06,7.15,22890,0
2017-10-20,7.0925,7.27,7.09,7.16,18249,0
2017-10-23,7.11,7.95,7.11,7.82,53567,0
2017-10-24,7.9,8.63,7.6038,8.25,67586,0
2017-10-25,8.3,8.59,7.2,7.35,79216,0
2017-10-26,7.62,7.777,7.3,7.41,22939,0
2017-10-27,7.48,7.5,7.36,7.49,15287,0
2017-10-30,7.514,7.95,7.5,7.68,26014,0
2017-10-31,7.6901,7.95,7.47,7.49,38160,0
2017-11-01,7.48,7.98,7.48,7.61,37730,0
2017-11-02,7.6,8.2,7.55,7.81,34817,0
2017-11-03,7.8,8.23,7.69,8.03,24123,0
2017-11-06,8.32,8.83,8.1,8.83,102234,0
2017-11-07,9,9.69,8.351,8.79,198938,0
2017-11-08,8.76,9.06,8.5197,8.71,82248,0
2017-11-09,8.63,8.7,8.3,8.62,57910,0
2017-11-10,8.3,8.73,8.3,8.32,78640,0
