Date,Open,High,Low,Close,Volume,OpenInt
2011-12-22,27.12,27.6,23.99,24.53,6294064,0
2011-12-23,24.71,27.14,24.5,26.02,2744280,0
2011-12-27,25.37,26.1,24.63,25.94,2887314,0
2011-12-28,25.25,25.98,24.94,25.77,2098539,0
2011-12-29,25.54,25.66,24.79,24.82,2247268,0
2011-12-30,24.97,25.55,24.64,25.21,1798396,0
2012-01-03,26.15,27.35,26.11,26.63,3721786,0
2012-01-04,25.82,26.09,25.41,25.68,1680917,0
2012-01-05,24.57,25.82,24.57,25.52,1534670,0
2012-01-06,25.52,26.02,25.17,25.57,1484711,0
2012-01-09,25.74,26.77,25.65,26.26,1965244,0
2012-01-10,26.6,28.24,26.59,27.75,4114063,0
2012-01-11,26.69,28.22,26.56,27.79,1803258,0
2012-01-12,28.02,29.17,27.8,28.46,2005567,0
2012-01-13,28.22,29.77,27.93,29.51,1993345,0
2012-01-17,29.58,29.8,28.91,28.99,3210091,0
2012-01-18,28.54,29.43,28.52,29.03,1205137,0
2012-01-19,29.48,30.89,29.02,30.33,2712854,0
2012-01-20,30.42,30.49,29.82,30.4,1307550,0
2012-01-23,30.54,30.79,30.23,30.38,2565392,0
2012-01-24,30.14,30.75,29.97,30.69,1299072,0
2012-01-25,30.55,32.33,30.55,31.49,2349256,0
2012-01-26,31.48,31.94,30.46,31.05,1881489,0
2012-01-27,30.35,31.46,30.35,31.24,1227465,0
2012-01-30,30.92,31.84,30.64,31.64,875659,0
2012-01-31,31.99,33.04,30.84,32.91,1261028,0
2012-02-01,33.11,35.17,33.08,35.06,3610274,0
2012-02-02,35.28,35.6,33.83,34.88,2447714,0
2012-02-03,35.07,35.93,35.07,35.38,2993420,0
2012-02-06,35.34,35.75,35.06,35.15,1967930,0
2012-02-07,35.21,35.48,34.82,34.84,2214748,0
2012-02-08,34.78,34.97,33.02,34.34,3221385,0
2012-02-09,28.28,29.85,27.99,29.34,12923337,0
2012-02-10,29.04,30.89,28.65,30.04,3623540,0
2012-02-13,30.09,30.13,28.5,28.59,2396352,0
2012-02-14,28.7,28.79,26.93,27.63,4072040,0
2012-02-15,27.8,30.1,27.52,29.28,4922770,0
2012-02-16,29.27,30.65,28.73,30.4,2583207,0
2012-02-17,30.41,30.94,29.95,30.7,1939867,0
2012-02-21,30.61,30.74,30.12,30.67,2377771,0
2012-02-22,30.95,30.95,29.85,30,3275470,0
2012-02-23,30.06,30.69,29.56,30.59,2041670,0
2012-02-24,30.51,32,30.19,31.8,1904075,0
2012-02-27,31.38,32.08,31.14,31.91,1439394,0
