Date,Open,High,Low,Close,Volume,OpenInt
2000-04-05,10.49,11.391,10.355,11.214,92823052,0
2000-04-06,11.116,11.479,11.028,11.259,20672830,0
2000-04-07,11.116,11.259,10.94,11.073,18220897,0
2000-04-10,11.17,11.214,11.028,11.17,7616292,0
2000-04-11,11.073,11.116,10.894,10.94,7330811,0
2000-04-12,11.028,12.117,10.94,11.707,14654593,0
2000-04-13,11.755,12.478,11.525,12.294,14356682,0
2000-04-14,12.248,12.294,11.435,11.479,12835638,0
2000-04-17,11.575,11.886,11.575,11.665,4758766,0
2000-04-18,11.707,11.796,11.214,11.665,7326079,0
2000-04-19,11.707,11.707,11.391,11.575,7226640,0
2000-04-20,11.391,11.525,11.116,11.17,9338646,0
2000-04-24,11.214,11.575,11.17,11.525,4208337,0
2000-04-25,11.525,11.707,11.479,11.575,10007970,0
2000-04-26,11.525,11.622,11.479,11.622,8027696,0
2000-04-27,11.525,11.575,11.214,11.525,3357291,0
2000-04-28,11.525,12.206,11.116,11.975,8402080,0
2000-05-01,12.381,13.019,12.206,13.019,7953925,0
2000-05-02,12.746,12.976,12.569,12.887,4232386,0
2000-05-03,12.841,12.887,12.478,12.658,2677566,0
2000-05-04,12.569,12.658,11.707,12.658,4633925,0
2000-05-05,12.478,12.887,12.339,12.701,2460985,0
2000-05-08,12.93,13.427,12.887,13.019,3914749,0
2000-05-09,13.152,13.293,12.117,12.381,5720867,0
2000-05-10,12.294,12.887,12.294,12.701,4436262,0
2000-05-11,12.746,13.24,12.569,13.019,4049720,0
2000-05-12,13.106,13.427,13.065,13.339,2603798,0
2000-05-15,13.745,13.922,13.469,13.699,3643584,0
2000-05-16,13.745,14.153,13.603,13.789,6732010,0
2000-05-17,13.789,14.242,13.293,13.789,2130921,0
2000-05-18,13.745,13.832,13.515,13.686,3862192,0
2000-05-19,13.38,13.38,12.93,13.152,5178140,0
2000-05-22,13.197,13.293,12.569,13.197,2313992,0
2000-05-23,13.197,13.745,13.197,13.65,2829020,0
2000-05-24,13.65,14.108,13.469,14.013,2125377,0
2000-05-25,13.965,14.013,13.561,13.879,2341010,0
2000-05-26,13.832,14.328,13.699,14.285,3573057,0
2000-05-30,14.418,14.56,14.108,14.373,4362627,0
2000-05-31,14.373,14.824,14.013,14.824,4795785,0
2000-06-01,14.782,14.824,14.418,14.463,3888939,0
2000-06-02,15.186,15.232,14.735,15.186,4655947,0
2000-06-05,14.824,15.099,14.735,14.869,3210566,0
2000-06-06,15.099,15.099,14.735,14.782,3990948,0
2000-06-07,14.824,14.965,14.693,14.965,1246235,0
2000-06-08,14.869,14.915,14.648,14.782,1304194,0
2000-06-09,14.824,15.186,14.824,15.186,1616968,0
2000-06-12,15.01,15.054,14.242,14.782,1449163,0
2000-06-13,14.965,15.054,14.603,15.054,1317164,0
2000-06-14,14.869,14.915,14.328,14.463,3121532,0
2000-06-15,14.463,14.648,14.373,14.463,3383636,0
2000-06-16,14.603,14.648,14.285,14.507,4326285,0
2000-06-19,14.463,14.56,14.285,14.463,1723299,0
2000-06-20,14.373,14.507,13.427,13.603,3947982,0
2000-06-21,13.603,13.832,13.106,13.38,3301355,0
2000-06-22,13.515,14.108,13.38,13.879,2652573,0
2000-06-23,13.745,14.108,13.561,13.965,2920491,0
2000-06-26,14.463,14.56,13.832,13.879,2285620,0
2000-06-27,14.055,14.824,13.879,14.373,2759307,0
2000-06-28,14.648,14.782,14.013,14.195,4759711,0
