Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,38.801,39.167,38.604,39.142,160937,0
2005-02-28,39.034,39.071,38.681,38.724,140110,0
2005-03-01,38.825,39.627,38.787,39.381,237013,0
2005-03-02,39.324,39.655,39.056,39.522,152297,0
2005-03-03,39.522,39.522,39.041,39.056,128781,0
2005-03-04,39.105,39.24,38.78,38.965,385061,0
2005-03-07,39.783,39.783,38.7,38.864,245658,0
2005-03-08,38.864,39.118,38.78,38.864,136571,0
2005-03-09,38.864,39.083,38.695,38.965,165189,0
2005-03-10,38.948,39.311,38.716,38.753,183036,0
2005-03-11,38.591,38.732,38.47,38.615,133597,0
2005-03-14,38.716,38.901,38.687,38.894,150595,0
2005-03-15,38.716,38.894,38.336,38.399,115602,0
2005-03-16,38.407,38.421,38.045,38.407,134729,0
2005-03-17,38.393,38.393,37.826,37.834,199754,0
2005-03-18,37.778,37.778,36.854,37.222,313375,0
2005-03-21,37.08,37.261,36.917,37.171,142948,0
2005-03-22,37.057,37.1,36.564,36.599,270024,0
2005-03-23,37.319,38.329,37.319,38.222,394411,0
2005-03-24,38.329,38.908,38.258,38.716,356724,0
2005-03-28,38.753,39.056,38.724,38.879,287165,0
2005-03-29,38.879,39.077,38.753,38.894,171565,0
2005-03-30,38.942,39,38.654,38.965,200322,0
2005-03-31,38.825,39.105,38.825,39.005,203438,0
2005-04-01,38.934,39.161,37.973,38.407,181481,0
2005-04-04,38.407,38.965,38.116,38.753,157822,0
2005-04-05,38.772,38.772,38.279,38.491,168873,0
2005-04-06,38.421,38.849,38.407,38.598,140110,0
2005-04-07,38.631,38.67,38.356,38.631,205847,0
2005-04-08,38.81,38.849,38.279,38.47,192672,0
2005-04-11,38.477,38.477,38.111,38.336,164337,0
2005-04-12,38.35,38.894,38.116,38.741,141104,0
2005-04-13,38.879,39.065,38.433,38.47,166179,0
2005-04-14,38.47,38.539,38.13,38.208,129204,0
2005-04-15,38.208,38.244,37.314,37.339,167736,0
2005-04-18,37.482,37.502,36.987,37.073,160374,0
2005-04-19,37.073,37.551,36.635,37.431,498535,0
2005-04-20,37.482,37.667,36.671,36.909,210945,0
2005-04-21,36.945,37.425,36.924,37.354,265630,0
2005-04-22,37.306,37.41,36.798,36.972,264921,0
2005-04-25,36.952,37.518,36.924,37.361,193380,0
2005-04-26,37.235,37.277,36.676,36.854,205279,0
2005-04-27,36.741,36.755,36.564,36.712,260389,0
2005-04-28,36.734,36.781,36.408,36.635,147336,0
2005-04-29,36.671,37.314,36.571,37.314,219872,0
2005-05-02,37.269,38.258,37.199,37.361,203013,0
2005-05-03,37.361,37.566,36.727,37.269,145496,0
2005-05-04,37.376,37.896,37.332,37.834,192531,0
2005-05-05,37.764,37.778,37.361,37.686,92511,0
2005-05-06,37.764,37.973,37.551,37.771,103561,0
2005-05-09,37.771,37.896,37.495,37.764,114331,0
2005-05-10,37.764,37.764,37.261,37.474,134019,0
2005-05-11,37.65,37.869,37.396,37.636,127360,0
2005-05-12,37.693,37.693,37.057,37.087,76786,0
2005-05-13,37.017,37.128,36.111,36.437,118720,0
2005-05-16,36.38,36.72,36.367,36.671,139263,0
2005-05-17,36.494,37.82,36.431,37.72,156120,0
2005-05-18,37.751,38.753,37.751,38.151,267472,0
2005-05-19,38.13,38.598,37.973,38.519,196215,0
2005-05-20,38.609,38.977,38.477,38.872,218881,0
2005-05-23,39.048,39.211,38.908,39.077,178221,0
2005-05-24,38.927,38.972,38.716,38.894,64744,0
2005-05-25,38.825,38.825,38.027,38.194,179638,0
2005-05-26,38.258,38.512,38.187,38.499,63611,0
2005-05-27,38.447,38.532,38.258,38.455,105829,0
2005-05-31,38.631,38.965,38.415,38.965,123536,0
2005-06-01,38.857,38.901,38.681,38.857,278102,0
2005-06-02,38.927,38.927,38.244,38.609,324143,0
2005-06-03,38.647,38.647,38.3,38.421,136286,0
2005-06-06,38.455,38.675,38.363,38.598,92084,0
2005-06-07,38.591,38.965,38.484,38.576,103990,0
2005-06-08,38.7,38.787,38.433,38.477,53979,0
2005-06-09,38.369,38.921,38.315,38.921,136713,0
2005-06-10,38.921,39.125,38.753,39.118,248913,0
2005-06-13,38.994,39.083,38.615,39.034,190264,0
2005-06-14,38.948,39.234,38.793,39.071,84297,0
2005-06-15,39.142,39.174,38.894,39.012,102147,0
2005-06-16,38.927,38.927,38.681,38.927,289007,0
2005-06-17,38.927,38.972,38.772,38.837,203013,0
2005-06-20,38.837,38.872,38.732,38.825,238857,0
2005-06-21,38.817,38.842,38.598,38.609,157678,0
2005-06-22,38.609,38.78,38.441,38.78,166179,0
2005-06-23,38.716,38.724,38.13,38.159,120416,0
2005-06-24,38.088,38.252,37.981,38.237,118438,0
2005-06-27,38.292,38.695,38.187,38.662,113763,0
2005-06-28,38.67,38.67,38.237,38.369,125660,0
2005-06-29,38.369,38.647,38.336,38.484,131470,0
2005-06-30,38.662,38.732,38.329,38.484,116737,0
2005-07-01,38.554,38.825,38.554,38.662,74661,0
2005-07-05,38.539,39.458,38.292,39.125,152723,0
2005-07-06,39.034,39.034,38.151,38.329,171280,0
2005-07-07,38.151,38.526,37.764,38.441,132744,0
2005-07-08,38.385,38.385,38.02,38.292,115177,0
2005-07-11,38.258,38.675,38.258,38.675,66724,0
2005-07-12,38.675,39.056,38.506,39.056,152859,0
2005-07-13,38.948,39.048,38.772,38.942,60635,0
2005-07-14,38.934,39.071,38.732,38.732,135439,0
2005-07-15,38.647,38.695,38.576,38.631,51143,0
2005-07-18,38.477,38.748,38.47,38.687,71822,0
2005-07-19,38.831,39.077,38.825,39,69277,0
2005-07-20,39,39.211,38.772,39.034,82028,0
2005-07-21,39.211,39.389,38.879,39.056,99169,0
2005-07-22,39.097,39.351,38.894,39.351,84152,0
2005-07-25,39.389,39.809,39.274,39.699,155980,0
