Date,Open,High,Low,Close,Volume,OpenInt
2017-07-20,9.5,11.88,9.26,11.25,1403638,0
2017-07-21,11.47,11.47,10.55,10.81,207171,0
2017-07-24,11.24,11.24,10.25,10.815,110221,0
2017-07-25,11.46,11.46,10.2501,10.75,239421,0
2017-07-26,10.7,11.1541,10.2634,10.45,44231,0
2017-07-27,10.5,10.9732,10.3425,10.69,56396,0
2017-07-28,10.67,10.85,10.56,10.75,32663,0
2017-07-31,10.8,10.9881,10.61,10.78,38293,0
2017-08-01,10.7,11,10.5906,10.84,28759,0
2017-08-02,10.7,11.28,10.651,11.22,34292,0
2017-08-03,11.3,11.3,10.7,10.9,20734,0
2017-08-04,10.99,11.25,10.61,11.235,12036,0
2017-08-07,11.25,11.25,11.01,11.19,7392,0
2017-08-08,11.05,11.15,10.97,11.04,17712,0
2017-08-09,11,11.172,11,11.14,17722,0
2017-08-10,11.11,12.565,11,12.14,32975,0
2017-08-11,12,12.1647,11.135,11.82,17977,0
2017-08-14,11.7,12.38,11.7,12.25,61313,0
2017-08-15,12.58,12.9658,12.33,12.5,43460,0
2017-08-16,13,13,11.78,12.07,38690,0
2017-08-17,11.61,12.2,11.49,11.82,75622,0
2017-08-18,11.8,12.5,11.8,12.46,19515,0
2017-08-21,12.77,13.57,12.151,13.57,50294,0
2017-08-22,13.74,15.22,13.51,14.78,77440,0
2017-08-23,14.99,16.36,14.99,15.78,131463,0
2017-08-24,16.5,16.8,15.18,15.61,76062,0
2017-08-25,15.7,15.825,13.41,14.74,55780,0
2017-08-28,14.01,16,14.01,15.67,48546,0
2017-08-29,15.48,16.5,15.19,15.92,54365,0
2017-08-30,15.86,16.3,15.06,16.02,53603,0
2017-08-31,16.35,16.35,15.17,15.2,73439,0
2017-09-01,15.24,17.41,15.01,17.41,86047,0
2017-09-05,17.5,19.26,16.81,19.21,197589,0
2017-09-06,19.69,20.93,18.7,20.28,226175,0
2017-09-07,20.28,22,19.7719,22,252153,0
2017-09-08,22.38,24.75,21.93,23.31,312306,0
2017-09-11,23.3,24.71,22.5001,24.1,190349,0
2017-09-12,26,27.04,23.5,26,196623,0
2017-09-13,25.53,26.89,25.035,26.39,138423,0
2017-09-14,26.8,29.3941,26.5,28.31,231173,0
2017-09-15,28.55,29.4549,23.955,24.68,1139008,0
2017-09-18,24.64,25.4961,21.0704,21.87,319103,0
2017-09-19,21.95,24.6451,21.875,24.3,134885,0
2017-09-20,24.3,24.3,23.21,23.94,56943,0
2017-09-21,24.02,26.85,23.85,26.67,96701,0
2017-09-22,26.46,26.7,25.1112,25.72,57268,0
2017-09-25,25.76,26.59,24.4001,26.54,38529,0
2017-09-26,26.66,26.8,25.8222,26.47,37730,0
2017-09-27,24.54,25.76,23.62,24.64,114844,0
2017-09-28,24.61,24.62,23.75,24.38,42596,0
2017-09-29,24.74,24.74,24.1,24.46,41094,0
2017-10-02,24.75,26.45,24.296,26.4,58981,0
2017-10-03,26.55,27.94,25.991,26.79,50317,0
2017-10-04,26.5,26.78,24.78,25.83,65261,0
2017-10-05,25.97,26.66,25.46,26.49,29151,0
2017-10-06,26.67,26.76,25.845,26.44,45356,0
2017-10-09,26.36,26.62,25.24,25.97,30042,0
2017-10-10,26.25,29.5,25.71,29.09,121762,0
2017-10-11,29.11,31.89,28.41,31.48,97492,0
2017-10-12,31.5,31.5,28.75,29.08,63738,0
2017-10-13,29,30.1248,27.57,27.83,40454,0
2017-10-16,28.23,28.3,27.5608,27.93,50640,0
2017-10-17,27.87,27.9816,27.11,27.28,23187,0
2017-10-18,27.28,27.28,25.17,25.37,40140,0
2017-10-19,25.08,25.49,24.67,25.16,48995,0
2017-10-20,25.33,25.98,25.0004,25.3,38859,0
2017-10-23,24.98,25,22.9,22.92,55857,0
2017-10-24,23.29,24.49,23,23.29,68981,0
2017-10-25,23.3,24.2399,23.29,23.4,35084,0
2017-10-26,23.41,24,23.2,23.76,16149,0
2017-10-27,24.25,24.25,22.31,22.47,36912,0
2017-10-30,23.48,24.56,22.49,23.94,54334,0
2017-10-31,24.35,24.35,20.48,20.48,49275,0
2017-11-01,20.84,24.06,20.84,23.15,67227,0
2017-11-02,23.23,23.23,21.18,21.81,40655,0
2017-11-03,21.45,22.76,20.9,22.2,42471,0
2017-11-06,22.2,22.25,21.32,21.79,23105,0
2017-11-07,21.83,22.45,20.31,20.62,28799,0
2017-11-08,20.5,21.49,20.5,21.27,21543,0
2017-11-09,21.35,22,20.74,21.81,21262,0
2017-11-10,21.37,22.149,21.02,21.23,32501,0
