Date,Open,High,Low,Close,Volume,OpenInt
2017-08-28,25.01,25.25,25.01,25.09,307173,0
2017-08-29,25.08,25.1,24.9,25.07,198414,0
2017-08-30,25.06,25.17,25.06,25.09,167903,0
2017-08-31,25.12,25.13,25.06,25.09,278768,0
2017-09-01,25.09,25.13,25.05,25.12,244958,0
2017-09-05,25.19,25.19,25.07,25.07,262948,0
2017-09-06,25.14,25.229,25.08,25.229,187266,0
2017-09-07,25.25,25.34,25.16,25.34,178936,0
2017-09-08,25.25,25.38,25.25,25.3494,101776,0
2017-09-11,25.4,25.4,25.29,25.32,140610,0
2017-09-12,25.34,25.39,25.29,25.37,165995,0
2017-09-13,25.32,25.39,25.24,25.31,205221,0
2017-09-14,25.28,25.45,25.28,25.38,306902,0
2017-09-15,25.39,25.39,25.29,25.33,271210,0
2017-09-18,25.35,25.45,25.29,25.45,400383,0
2017-09-19,25.45,25.45,25.35,25.39,201589,0
2017-09-20,25.43,25.48,25.36,25.4,168868,0
2017-09-21,25.39,25.47,25.35,25.36,385958,0
2017-09-22,25.33,25.42,25.32,25.4,122162,0
2017-09-25,25.42,25.47,25.4,25.4541,110287,0
2017-09-26,25.49,25.53,25.43,25.5,145164,0
2017-09-27,25.47,25.6,25.44,25.51,225332,0
2017-09-28,25.38,25.5,25.3,25.48,205175,0
2017-09-29,25.49,25.94,25.4012,25.75,118421,0
2017-10-02,25.86,25.86,25.64,25.75,92062,0
2017-10-03,25.79,25.79,25.65,25.66,50210,0
2017-10-04,25.65,25.83,25.64,25.68,89473,0
2017-10-05,25.75,25.8,25.7,25.77,134682,0
2017-10-06,25.7001,25.79,25.58,25.75,178430,0
2017-10-09,25.75,25.85,25.7,25.72,211513,0
2017-10-10,25.79,25.8,25.6636,25.73,151771,0
2017-10-11,25.71,25.85,25.71,25.8,155415,0
2017-10-12,25.82,25.94,25.8047,25.91,161914,0
2017-10-13,25.94,26.17,25.91,26.14,130550,0
2017-10-16,26.03,26.45,26.03,26.19,115759,0
2017-10-17,26.2,26.27,26.14,26.2,117516,0
2017-10-18,26.26,26.53,26.2001,26.44,153069,0
2017-10-19,26.4,26.49,26.35,26.46,162550,0
2017-10-20,26.49,26.505,26.27,26.45,1342402,0
2017-10-23,26.43,26.71,26.37,26.54,92182,0
2017-10-24,26.57,26.57,26.2,26.46,79591,0
2017-10-25,26.51,26.67,26.3091,26.46,128318,0
2017-10-26,26.4,26.6105,26.3734,26.59,115357,0
2017-10-27,26.59,26.79,26.5,26.56,81993,0
2017-10-30,26.6,26.65,26.5384,26.55,89795,0
2017-10-31,26.65,26.79,26.6,26.75,46083,0
2017-11-01,26.75,26.75,26.42,26.49,95395,0
2017-11-02,26.6,26.6,26.405,26.48,74323,0
2017-11-03,26.48,26.49,26.41,26.43,39650,0
2017-11-06,26.4,26.42,26.3469,26.35,12364,0
2017-11-07,26.48,26.48,26.248,26.36,30936,0
2017-11-08,26.44,26.44,26.16,26.21,85549,0
2017-11-09,26.2,26.3767,26.06,26.11,59038,0
2017-11-10,26.28,26.3,26.1101,26.3,452741,0
