Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,36.343,36.571,36.002,36.151,13647,0
2005-02-28,36.372,36.629,36.002,36.514,13828,0
2005-03-01,36.459,36.459,36.002,36.274,13125,0
2005-03-02,36.145,36.288,36.002,36.288,2097,0
2005-03-03,36.145,36.567,36.002,36.372,4200,0
2005-03-04,36.372,36.884,36.288,36.716,19071,0
2005-03-07,36.858,37.94,36.858,37.427,41297,0
2005-03-08,37.572,38.003,37.572,37.997,34474,0
2005-03-09,38.003,38.282,37.604,37.702,40421,0
2005-03-10,37.715,37.715,37.403,37.621,13303,0
2005-03-11,37.508,37.715,37.427,37.543,17500,0
2005-03-14,37.457,37.852,37.265,37.798,22224,0
2005-03-15,37.936,38.003,37.936,38.003,2097,0
2005-03-16,37.972,38.141,37.857,38.087,10149,0
2005-03-17,38.141,38.315,37.831,38.124,14528,0
2005-03-18,38.141,38.288,38.003,38.006,4547,0
2005-03-21,37.857,38.282,37.857,38.259,7527,0
2005-03-22,38.113,38.259,37.715,37.811,5070,0
2005-03-23,37.756,37.766,37.656,37.656,3499,0
2005-03-24,38.427,38.487,38.288,38.474,12241,0
2005-03-28,38.618,38.631,37.715,38.288,15223,0
2005-03-29,37.886,38.288,37.831,38.173,11199,0
2005-03-30,38.141,38.141,37.462,37.831,9626,0
2005-03-31,37.94,38.342,37.94,38.342,7698,0
2005-04-01,38.288,38.687,38.202,38.402,6129,0
2005-04-04,38.288,38.515,38.288,38.487,13473,0
2005-04-05,38.342,38.458,37.53,37.549,16798,0
2005-04-06,37.656,38.567,37.656,38.567,4727,0
2005-04-07,38.458,38.515,38.356,38.446,25378,0
2005-04-08,38.315,38.315,38.315,38.315,1057,0
2005-04-11,38.228,38.228,38.173,38.173,11199,0
2005-04-12,38.173,38.582,38.173,38.451,8227,0
2005-04-13,38.315,38.315,38.003,38.006,10666,0
2005-04-14,37.831,38.259,37.831,38.259,3320,0
2005-04-15,38.259,38.474,38.003,38.057,5951,0
2005-04-18,38.003,38.087,37.857,38.087,4727,0
2005-04-19,38.087,38.087,37.715,38.003,5244,0
2005-04-20,37.804,38.567,37.804,38.003,8227,0
2005-04-21,38.113,38.533,38.003,38.057,7349,0
