Date,Open,High,Low,Close,Volume,OpenInt
2016-10-06,26.173,26.31,26.173,26.31,255,0
2016-10-13,26.153,26.153,26.153,26.153,305,0
2016-10-20,26.271,26.271,26.271,26.271,305,0
2016-10-24,26.271,26.271,26.271,26.271,305,0
2016-11-08,26.163,26.163,26.163,26.163,127,0
2016-11-09,25.799,26.045,25.799,26.035,4094,0
2016-11-17,25.894,25.917,25.894,25.917,702,0
2016-11-18,25.986,25.986,25.848,25.917,810,0
2016-11-23,26.11,26.11,26.11,26.11,102,0
2016-11-30,26.107,26.107,26.107,26.107,345,0
2016-12-07,26.075,26.269,26.075,26.269,407,0
2016-12-12,26.602,26.602,26.602,26.602,188,0
2016-12-20,26.966,26.966,26.966,26.966,186,0
2016-12-21,27.025,27.025,27.025,27.025,113,0
2016-12-30,26.976,26.976,26.976,26.976,101,0
2017-01-03,26.817,26.817,26.817,26.817,137,0
2017-01-04,26.981,26.981,26.981,26.981,604,0
2017-01-09,27.105,27.105,27.105,27.105,767,0
2017-01-10,27.006,27.006,26.988,27.006,2108,0
2017-01-18,27.145,27.145,27.145,27.145,101,0
2017-01-20,27.254,27.254,27.254,27.254,201,0
2017-01-25,27.423,27.423,27.423,27.423,779,0
2017-01-31,27.065,27.244,27.065,27.222,1381,0
2017-02-07,27.363,27.363,27.352,27.352,604,0
2017-02-13,27.683,27.69,27.683,27.69,722,0
2017-02-21,28.098,28.098,28.098,28.098,650,0
2017-02-23,28.227,28.227,28.227,28.227,201,0
2017-02-28,28.307,28.307,28.307,28.307,201,0
2017-03-03,28.346,28.346,28.346,28.346,454,0
2017-03-07,28.346,28.346,28.326,28.326,256,0
2017-03-16,28.595,28.595,28.595,28.595,1410,0
2017-03-20,28.59,28.59,28.59,28.59,0,0
2017-03-22,27.775,27.775,27.775,27.775,182,0
2017-04-03,28.162,28.162,28.162,28.162,722,0
2017-04-10,28.192,28.192,28.192,28.192,115,0
2017-04-18,27.735,27.735,27.735,27.735,175,0
2017-04-24,28.472,28.5,28.472,28.5,1203,0
2017-05-01,28.61,28.679,28.61,28.661,35350,0
2017-05-02,28.556,28.58,28.556,28.57,4747,0
2017-05-08,28.63,28.63,28.6,28.6,1245,0
2017-05-09,28.709,28.729,28.63,28.649,1894,0
2017-05-12,28.868,28.868,28.868,28.868,302,0
2017-05-15,28.908,28.931,28.889,28.898,2404,0
2017-05-17,28.361,28.361,28.166,28.166,42689,0
2017-05-18,28.073,28.135,28.073,28.135,353,0
2017-05-23,28.682,28.682,28.682,28.682,101,0
2017-05-24,28.818,28.877,28.818,28.877,3321,0
2017-05-25,29.002,29.029,29.002,29.029,704,0
2017-06-05,29.261,29.261,29.261,29.261,101,0
2017-06-14,29.832,29.832,29.832,29.832,111,0
2017-06-21,29.57,29.57,29.57,29.57,483,0
2017-06-26,29.494,29.494,29.494,29.494,221,0
2017-06-28,29.653,29.653,29.653,29.653,135,0
2017-06-30,29.474,29.474,29.474,29.474,453,0
2017-07-06,29.544,29.565,29.544,29.544,1221,0
2017-07-12,30.14,30.14,30.021,30.053,548,0
2017-07-13,30.12,30.12,30.12,30.12,503,0
2017-07-14,30.13,30.13,30.13,30.13,443,0
2017-07-24,30.07,30.16,30.07,30.16,617,0
2017-08-02,30.567,30.567,30.567,30.567,101,0
2017-08-04,30.528,30.528,30.528,30.528,342,0
2017-08-10,30.224,30.224,30.224,30.224,503,0
2017-08-17,30.09,30.09,30.075,30.075,1323,0
2017-08-24,30.239,30.239,30.239,30.239,478,0
2017-08-31,30.488,30.488,30.481,30.481,201,0
2017-09-05,30.11,30.2,30.11,30.2,428,0
2017-09-08,30.13,30.13,30.13,30.13,121,0
2017-09-15,30.901,30.901,30.901,30.901,562,0
2017-09-18,31.1999,31.26,31.1999,31.26,455,0
2017-09-19,31.2301,31.2301,31.2301,31.2301,854,0
2017-09-20,31.1876,31.2,31.1876,31.2,350,0
2017-09-25,30.79,30.79,30.79,30.79,379,0
2017-09-26,30.85,30.85,30.85,30.85,100,0
2017-10-05,31.8995,31.8995,31.8845,31.8845,700,0
2017-10-06,31.86,31.86,31.86,31.86,200,0
2017-10-09,32.037,32.037,31.99,31.99,405,0
2017-10-10,31.9697,31.9697,31.9697,31.9697,100,0
2017-10-11,32.069,32.069,32.042,32.042,465,0
2017-10-12,32.07,32.08,32.07,32.08,927,0
2017-10-13,32.24,32.24,32.24,32.24,210,0
2017-10-16,32.07,32.28,32.07,32.27,7384,0
2017-10-17,32.264,32.264,32.264,32.264,500,0
2017-10-18,32.3,32.3499,32.3,32.335,516,0
2017-10-19,32.27,32.274,32.267,32.274,4028,0
2017-10-20,32.63,32.654,32.63,32.654,1000,0
2017-10-23,32.85,32.85,32.5995,32.5995,8118,0
2017-10-24,32.7,32.82,32.6803,32.81,1150,0
2017-10-25,32.89,32.89,32.51,32.5899,938,0
2017-10-30,33.23,33.23,33.1775,33.1775,663,0
2017-10-31,33.2,33.3,33.2,33.25,2101,0
2017-11-01,33.27,33.32,33.2202,33.2202,501,0
2017-11-02,33.336,33.34,33.3301,33.3301,400,0
2017-11-03,33.5048,33.52,33.5048,33.52,326,0
2017-11-06,33.51,33.63,33.51,33.63,1629,0
2017-11-07,33.76,33.76,33.2897,33.3024,5827,0
2017-11-08,33.3,33.31,33.2375,33.31,1738,0
2017-11-09,32.99,32.99,32.99,32.99,374,0
2017-11-10,33.109,33.11,33.0533,33.11,510,0
