Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,30.717,31.104,30.6,31.087,214817,0
2005-02-28,31.073,31.087,30.652,30.7,180957,0
2005-03-01,30.659,30.946,30.606,30.946,223738,0
2005-03-02,30.908,31.179,30.884,31.073,238730,0
2005-03-03,31.073,31.211,30.987,31.195,224381,0
2005-03-04,31.335,31.836,31.288,31.836,227100,0
2005-03-07,31.875,33.788,31.836,33.663,676255,0
2005-03-08,33.624,34.352,33.492,33.663,716061,0
2005-03-09,33.588,33.595,32.834,32.899,501505,0
2005-03-10,32.921,33.146,32.573,32.873,329596,0
2005-03-11,32.873,32.89,32.687,32.796,91254,0
2005-03-14,32.796,33.152,32.719,32.842,302839,0
2005-03-15,32.907,33.338,32.89,33.338,443985,0
2005-03-16,33.269,33.278,32.687,32.742,237567,0
2005-03-17,32.742,32.921,32.742,32.915,96942,0
2005-03-18,32.958,33.579,32.958,33.579,404560,0
2005-03-21,33.561,33.561,33.066,33.322,101075,0
2005-03-22,33.322,33.447,32.999,33.007,196079,0
2005-03-23,33.007,33.007,32.269,32.324,200214,0
2005-03-24,32.4,32.899,32.38,32.758,304523,0
2005-03-28,32.834,33.384,32.811,32.89,118652,0
2005-03-29,32.726,32.991,32.232,32.286,168549,0
2005-03-30,32.339,32.819,32.339,32.38,249328,0
2005-03-31,32.339,32.719,32.339,32.38,169324,0
2005-04-01,32.433,32.773,32.339,32.339,225803,0
2005-04-04,32.416,32.494,32.186,32.409,427182,0
2005-04-05,32.409,32.758,32.409,32.609,158592,0
2005-04-06,32.573,32.796,32.393,32.416,227744,0
2005-04-07,32.433,32.907,32.416,32.695,157428,0
2005-04-08,32.618,33.059,32.594,32.915,120464,0
2005-04-11,32.991,33.229,32.921,33.112,151097,0
2005-04-12,33.112,33.346,32.773,33.305,286686,0
2005-04-13,33.305,33.363,33.073,33.129,86857,0
2005-04-14,33.129,33.183,32.65,32.65,158592,0
2005-04-15,32.494,32.548,32.015,32.015,243125,0
2005-04-18,31.875,31.906,31.28,31.426,453678,0
2005-04-19,31.426,32.069,31.426,31.975,294180,0
2005-04-20,31.969,32.254,31.419,31.426,150192,0
2005-04-21,31.419,31.953,31.358,31.868,147477,0
2005-04-22,31.868,31.922,31.691,31.821,140368,0
2005-04-25,31.883,32.168,31.821,31.992,98359,0
2005-04-26,32.029,32.029,31.495,31.526,64884,0
2005-04-27,31.373,31.892,31.038,31.59,248552,0
2005-04-28,31.451,31.675,31.419,31.419,116455,0
2005-04-29,31.611,32.44,31.611,32.24,277893,0
2005-05-02,32.339,32.509,31.983,32.409,145669,0
2005-05-03,32.487,32.766,32.348,32.393,148769,0
2005-05-04,32.494,34.042,32.494,34.042,445146,0
2005-05-05,34.195,35.264,34.195,34.816,624682,0
2005-05-06,34.816,35.086,34.475,34.661,289653,0
2005-05-09,34.8,35.28,34.552,35.093,249717,0
2005-05-10,35.093,35.852,35.049,35.551,240928,0
2005-05-11,35.511,35.683,34.991,35.436,192588,0
2005-05-12,35.264,35.472,34.73,35.017,181856,0
2005-05-13,35.124,35.233,34.073,34.297,203704,0
2005-05-16,34.305,34.876,34.305,34.793,164796,0
2005-05-17,34.7,35.173,34.568,34.893,159629,0
2005-05-18,34.893,35.04,34.824,34.893,212879,0
2005-05-19,34.932,35.669,34.924,35.619,160404,0
2005-05-20,35.619,36.245,35.595,36.217,264971,0
2005-05-23,36.224,36.719,36.092,36.627,270397,0
2005-05-24,36.734,37.321,36.517,36.719,395643,0
2005-05-25,36.711,36.719,36.052,36.541,209389,0
2005-05-26,36.556,36.75,36.439,36.688,178889,0
2005-05-27,36.695,36.896,36.672,36.711,124342,0
2005-05-31,36.719,37.281,36.719,37.135,216630,0
2005-06-01,37.175,37.564,37.152,37.492,248812,0
2005-06-02,37.308,37.795,37.29,37.7,309690,0
2005-06-03,37.7,37.824,37.608,37.647,175524,0
2005-06-06,37.638,37.988,37.638,37.694,190908,0
2005-06-07,37.686,38.605,37.686,37.958,227614,0
2005-06-08,37.958,38.647,37.958,38.445,226449,0
2005-06-09,38.445,38.623,38.374,38.562,150063,0
2005-06-10,38.453,38.647,38.453,38.647,91899,0
2005-06-13,38.639,38.647,38.165,38.289,256048,0
2005-06-14,38.258,38.839,38.258,38.589,263546,0
2005-06-15,38.647,38.8,38.329,38.792,119171,0
2005-06-16,38.809,38.809,38.53,38.639,48859,0
2005-06-17,38.667,38.76,38.351,38.42,122015,0
2005-06-20,38.488,38.661,38.121,38.632,111029,0
2005-06-21,38.647,38.647,37.933,38.104,138175,0
2005-06-22,38.141,38.296,38.017,38.251,173198,0
2005-06-23,38.205,38.639,37.995,38.453,158983,0
2005-06-24,38.335,38.723,37.615,37.638,1558017,0
