Date,Open,High,Low,Close,Volume,OpenInt
1995-08-18,2.3459,2.3459,2.3459,2.3459,890,0
1995-08-21,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-22,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-23,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-24,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-25,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-28,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-29,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-30,2.3459,2.3459,2.3459,2.3459,0,0
1995-08-31,2.3459,2.3459,2.3459,2.3459,0,0
1995-09-01,2.2553,2.2553,2.2553,2.2553,3542,0
1995-09-05,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-06,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-07,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-08,2.2286,2.2553,2.2286,2.2553,8418,0
1995-09-11,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-12,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-13,2.2829,2.3097,2.2829,2.3097,2214,0
1995-09-14,2.3097,2.3097,2.3097,2.3097,0,0
1995-09-15,2.3097,2.3097,2.3097,2.3097,0,0
1995-09-18,2.3097,2.3097,2.3097,2.3097,0,0
1995-09-19,2.3097,2.3097,2.3097,2.3097,0,0
1995-09-20,2.2829,2.2829,2.2553,2.2553,3991,0
1995-09-21,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-22,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-25,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-26,2.2553,2.2553,2.2553,2.2553,0,0
1995-09-27,2.2013,2.2013,2.2013,2.2013,15075,0
1995-09-28,2.2013,2.2013,2.2013,2.2013,0,0
1995-09-29,2.2013,2.2013,2.2013,2.2013,0,0
1995-10-02,2.2013,2.2013,2.2013,2.2013,0,0
1995-10-03,2.2553,2.3097,2.2553,2.3097,13740,0
1995-10-04,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-05,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-06,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-09,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-10,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-11,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-12,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-13,2.3097,2.3097,2.3097,2.3097,0,0
1995-10-16,2.1475,2.1475,2.1475,2.1475,1330,0
1995-10-17,2.1475,2.1475,2.1475,2.1475,0,0
1995-10-18,2.1475,2.1475,2.1475,2.1475,0,0
1995-10-19,2.0841,2.0841,2.0841,2.0841,1330,0
1995-10-20,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-23,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-24,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-25,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-26,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-27,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-30,2.0841,2.0841,2.0841,2.0841,0,0
1995-10-31,2.1475,2.1475,2.1475,2.1475,3542,0
1995-11-01,2.1475,2.1475,2.1475,2.1475,0,0
1995-11-02,2.1475,2.1475,2.1475,2.1475,0,0
1995-11-03,2.1475,2.1475,2.1475,2.1475,0,0
1995-11-06,2.1475,2.1475,2.1475,2.1475,0,0
1995-11-07,2.03,2.03,2.03,2.03,890,0
1995-11-08,2.03,2.03,2.03,2.03,0,0
1995-11-09,2.2013,2.2013,2.2013,2.2013,3542,0
1995-11-10,2.2013,2.2013,2.2013,2.2013,0,0
1995-11-13,2.2013,2.2013,2.2013,2.2013,0,0
1995-11-14,2.2013,2.2013,2.2013,2.2013,0,0
1995-11-15,2.2013,2.2013,2.2013,2.2013,0,0
1995-11-16,2.2013,2.2013,2.2013,2.2013,0,0
1995-11-17,2.2013,2.2013,2.2013,2.2013,0,0
