Date,Open,High,Low,Close,Volume,OpenInt
2017-08-03,50.416,50.416,50.406,50.416,607,0
2017-08-04,50.416,50.416,50.416,50.416,0,0
2017-08-07,50.416,50.416,50.416,50.416,0,0
2017-08-08,50.416,50.416,50.416,50.416,0,0
2017-08-09,50.416,50.416,50.416,50.416,0,0
2017-08-10,49.991,49.991,49.991,49.991,202,0
2017-08-11,49.921,51.355,49.921,51.355,15506,0
2017-08-14,50.109,50.109,50.109,50.109,225,0
2017-08-15,50.119,50.119,50.113,50.113,202,0
2017-08-16,50.113,50.113,50.113,50.113,0,0
2017-08-17,50.113,50.113,50.113,50.113,0,0
2017-08-18,50.159,50.159,50.148,50.149,708,0
2017-08-21,50.109,50.109,50.106,50.106,15582,0
2017-08-22,50.271,50.271,50.271,50.271,202,0
2017-08-23,50.271,50.271,50.271,50.271,0,0
2017-08-24,50.336,50.336,50.336,50.336,101,0
2017-08-25,50.336,50.336,50.336,50.336,0,0
2017-08-28,50.411,50.448,50.406,50.448,559,0
2017-08-29,50.399,50.399,50.399,50.399,405,0
2017-08-30,50.399,50.399,50.399,50.399,0,0
2017-08-31,50.399,50.399,50.399,50.399,0,0
2017-09-01,50.679,50.679,50.679,50.679,311,0
2017-09-05,50.679,50.679,50.589,50.591,1487,0
2017-09-06,50.659,50.659,50.659,50.659,259,0
2017-09-07,50.699,50.699,50.699,50.699,402,0
2017-09-08,50.581,50.581,50.557,50.557,1005,0
2017-09-11,50.689,50.689,50.689,50.689,182,0
2017-09-12,50.689,50.689,50.689,50.689,0,0
2017-09-13,50.699,50.749,50.699,50.749,1509,0
2017-09-14,50.759,50.768,50.759,50.768,201,0
2017-09-15,50.778,50.838,50.778,50.838,30099,0
2017-09-18,50.818,50.818,50.818,50.818,10554,0
2017-09-19,50.868,50.868,50.848,50.858,2176,0
2017-09-20,50.849,50.878,50.848,50.878,770,0
2017-09-21,50.878,50.878,50.878,50.878,0,0
2017-09-22,50.878,50.878,50.878,50.878,10170,0
2017-09-25,50.838,50.878,50.838,50.878,687,0
2017-09-26,50.928,50.928,50.928,50.928,121,0
2017-09-27,50.948,50.948,50.948,50.948,0,0
2017-09-28,50.987,50.987,50.967,50.967,1738,0
2017-09-29,51.057,51.057,51.057,51.057,201,0
2017-10-02,51.07,51.07,51.07,51.07,148,0
2017-10-03,51.04,51.0671,51.04,51.0671,1020,0
2017-10-04,51.07,51.07,51.0599,51.0599,299,0
2017-10-05,51.0599,51.0599,51.0599,51.0599,0,0
2017-10-06,51.0599,51.0599,51.0599,51.0599,0,0
2017-10-09,51.1,51.1,51.1,51.1,122,0
2017-10-10,51.135,51.1483,51.135,51.1483,937,0
2017-10-11,51.1236,51.1236,51.1236,51.1236,100,0
2017-10-12,51.13,51.13,51.1299,51.1299,233,0
2017-10-13,51.165,51.165,51.165,51.165,171,0
2017-10-16,51.14,51.17,51.14,51.16,936,0
2017-10-17,51.18,51.18,51.18,51.18,200,0
2017-10-18,51.33,51.3395,51.3299,51.3395,495,0
2017-10-19,51.3395,51.3395,51.3395,51.3395,505,0
2017-10-20,51.3395,51.3395,51.3395,51.3395,61,0
2017-10-23,51.43,51.43,51.43,51.43,296,0
2017-10-24,51.3647,51.38,51.3647,51.38,591,0
2017-10-25,51.2,51.2,51.2,51.2,1000,0
2017-10-26,51.2799,51.2799,51.2699,51.27,748,0
2017-10-27,51.27,51.27,51.27,51.27,0,0
2017-10-30,51.33,51.33,51.21,51.21,1710,0
2017-10-31,51.21,51.21,51.21,51.21,0,0
2017-11-01,51.06,51.06,51.06,51.06,357,0
2017-11-02,51.049,51.049,51.049,51.049,1000,0
2017-11-03,51.08,51.08,51.0373,51.0373,413,0
2017-11-06,50.99,50.99,50.99,50.99,150,0
2017-11-07,51.02,51.02,51.02,51.02,2,0
2017-11-08,51.02,51.02,51.02,51.02,28,0
2017-11-09,51.02,51.02,51.02,51.02,64,0
2017-11-10,50.5701,50.5701,50.5701,50.5701,100,0
