Date,Open,High,Low,Close,Volume,OpenInt
2017-07-14,25.198,25.32,25.198,25.28,6885,0
2017-07-17,25.4,25.4,25.37,25.38,1301,0
2017-07-18,25.25,25.25,25.172,25.1894,5161,0
2017-07-19,25.42,25.42,25.4167,25.4167,500,0
2017-07-20,25.51,25.51,25.5,25.5,2042,0
2017-07-21,25.52,25.52,25.1934,25.21,6956,0
2017-07-24,25.205,25.2058,25.19,25.19,1500,0
2017-07-25,25.5125,25.52,25.48,25.48,2530,0
2017-07-26,25.41,25.41,25.3,25.3,4000,0
2017-07-27,25.09,25.09,25.06,25.06,4700,0
2017-07-28,25.08,25.08,24.9276,24.97,15602,0
2017-07-31,24.96,25.01,24.9104,25.01,3018,0
2017-08-01,24.96,25.08,24.8976,25.06,7629,0
2017-08-02,24.9,24.9,24.701,24.701,4066,0
2017-08-03,24.66,24.66,24.644,24.644,600,0
2017-08-04,24.56,24.6,24.53,24.6,3100,0
2017-08-07,24.59,24.6372,24.5775,24.6372,2000,0
2017-08-08,24.6,24.89,24.5872,24.62,6300,0
2017-08-09,24.27,24.29,24.12,24.19,4870,0
2017-08-10,23.946,23.946,23.7962,23.7962,3172,0
2017-08-11,23.42,23.87,23.42,23.79,6500,0
2017-08-14,23.96,24.09,23.96,24.09,3301,0
2017-08-15,23.89,23.9,23.8188,23.85,2900,0
2017-08-16,23.92,23.92,23.88,23.88,2000,0
2017-08-17,23.59,23.59,23.55,23.55,4820,0
2017-08-18,23.34,23.34,23.325,23.325,2000,0
2017-08-21,23.366,23.366,23.366,23.366,500,0
2017-08-23,23.47,23.47,23.4578,23.4578,1700,0
2017-08-25,23.61,23.61,23.5912,23.5912,600,0
2017-08-29,23.91,23.91,23.8975,23.8975,1000,0
2017-08-31,24.53,24.53,24.53,24.53,1616,0
2017-09-01,24.21,24.21,24.1891,24.1891,2000,0
2017-09-05,24.2,24.2,23.95,23.95,2500,0
2017-09-06,24.21,24.21,24.081,24.081,2345,0
2017-09-07,24.04,24.08,24.04,24.05,4565,0
2017-09-08,23.98,24.02,23.966,24.02,1100,0
2017-09-11,24.3,24.3,24.3,24.3,400,0
2017-09-12,24.53,24.53,24.53,24.53,500,0
2017-09-14,24.57,24.57,24.55,24.55,293,0
2017-09-18,24.84,24.84,24.84,24.84,400,0
2017-09-19,24.78,24.78,24.78,24.78,207,0
2017-09-20,24.89,24.89,24.89,24.89,110,0
2017-09-25,25.15,25.15,25.1325,25.14,1100,0
2017-09-26,25.26,25.26,25.237,25.237,2080,0
2017-09-28,25.97,25.97,25.97,25.97,100,0
2017-09-29,25.95,25.95,25.8799,25.89,3191,0
2017-10-02,26.1,26.1,26.1,26.1,182,0
2017-10-03,26.16,26.17,26.16,26.17,11950,0
2017-10-05,26.39,26.39,26.39,26.39,200,0
2017-10-06,26.32,26.32,26.3199,26.3199,1400,0
2017-10-09,26.18,26.18,26.18,26.18,1355,0
2017-10-10,26.2,26.2,26.2,26.2,800,0
2017-10-11,26.35,26.35,26.26,26.26,1087,0
2017-10-12,26.29,26.29,26.29,26.29,175,0
2017-10-18,26.43,26.43,26.4198,26.4198,1000,0
2017-10-23,26.48,26.48,26.46,26.46,680,0
2017-10-24,26.31,26.31,26.28,26.28,356,0
2017-10-31,26.148,26.148,26.14,26.14,2700,0
2017-11-01,25.82,25.88,25.73,25.73,12637,0
2017-11-02,26.07,26.07,26.07,26.07,400,0
2017-11-03,25.93,25.93,25.93,25.93,100,0
2017-11-06,25.92,26,25.89,25.99,2800,0
2017-11-10,25.69,25.69,25.69,25.69,100,0
