Date,Open,High,Low,Close,Volume,OpenInt
2016-10-18,48.871,48.876,48.865,48.865,1046,0
2016-10-19,49.011,49.033,49.011,49.033,824,0
2016-10-20,48.953,49.033,48.953,49.033,231,0
2016-10-21,49.033,49.033,49.033,49.033,0,0
2016-10-24,49.028,49.028,49.028,49.028,1121,0
2016-10-25,49.056,49.075,49.048,49.075,1236,0
2016-10-26,49.008,49.018,48.938,48.938,1362,0
2016-10-27,48.826,48.826,48.826,48.826,409,0
2016-10-28,48.826,48.826,48.826,48.826,0,0
2016-10-31,48.826,48.826,48.826,48.826,0,0
2016-11-01,48.488,48.488,48.366,48.366,528,0
2016-11-02,48.201,48.211,48.191,48.191,520,0
2016-11-03,48.135,48.162,48.135,48.162,409,0
2016-11-04,48.162,48.162,48.162,48.162,0,0
2016-11-07,48.162,48.162,48.162,48.162,0,0
2016-11-08,48.162,48.162,48.162,48.162,0,0
2016-11-09,48.162,48.162,48.162,48.162,0,0
2016-11-10,48.162,48.162,48.162,48.162,0,0
2016-11-11,48.162,48.162,48.162,48.162,0,0
2016-11-14,48.162,48.162,48.162,48.162,0,0
2016-11-15,48.162,48.162,48.162,48.162,0,0
2016-11-16,48.162,48.162,48.162,48.162,0,0
2016-11-17,48.162,48.162,48.162,48.162,0,0
2016-11-18,48.162,48.162,48.162,48.162,0,0
2016-11-21,47.851,47.851,47.847,47.847,1250,0
2016-11-22,47.635,47.635,47.635,47.635,0,0
2016-11-23,47.827,47.827,47.827,47.827,0,0
2016-11-25,47.827,47.827,47.827,47.827,0,0
2016-11-28,47.827,47.827,47.827,47.827,0,0
2016-11-29,47.827,47.827,47.827,47.827,0,0
2016-11-30,47.827,47.827,47.827,47.827,0,0
2016-12-01,47.827,47.827,47.827,47.827,0,0
2016-12-02,47.827,47.827,47.827,47.827,0,0
2016-12-05,47.827,47.827,47.827,47.827,0,0
2016-12-06,47.827,47.827,47.827,47.827,0,0
2016-12-07,47.827,47.827,47.827,47.827,0,0
2016-12-08,47.827,47.827,47.827,47.827,0,0
2016-12-09,47.827,47.827,47.827,47.827,0,0
2016-12-12,48.567,48.567,48.567,48.567,0,0
2016-12-13,48.567,48.567,48.567,48.567,0,0
2016-12-14,48.567,48.567,48.567,48.567,0,0
2016-12-15,48.425,48.425,48.425,48.425,0,0
2016-12-16,48.425,48.425,48.425,48.425,0,0
2016-12-19,48.425,48.425,48.425,48.425,0,0
2016-12-20,48.425,48.425,48.425,48.425,0,0
2016-12-21,48.596,48.596,48.596,48.596,100,0
2016-12-22,48.596,48.596,48.596,48.596,0,0
2016-12-23,48.681,48.681,48.681,48.681,100,0
2016-12-27,48.488,48.488,48.488,48.488,100,0
2016-12-28,48.478,48.478,48.478,48.478,100,0
2016-12-29,48.478,48.478,48.478,48.478,0,0
2016-12-30,48.478,48.478,48.478,48.478,0,0
2017-01-03,48.478,48.478,48.478,48.478,0,0
2017-01-04,48.958,48.958,48.958,48.958,101,0
2017-01-05,48.958,48.958,48.958,48.958,0,0
2017-01-06,48.958,48.958,48.958,48.958,0,0
2017-01-09,48.958,48.958,48.958,48.958,0,0
2017-01-10,48.958,48.958,48.958,48.958,157,0
2017-01-11,48.958,48.958,48.958,48.958,0,0
2017-01-12,48.958,48.958,48.958,48.958,0,0
2017-01-13,48.958,48.958,48.958,48.958,0,0
2017-01-17,48.958,48.958,48.958,48.958,0,0
2017-01-18,48.958,48.958,48.958,48.958,0,0
2017-01-19,48.958,48.958,48.958,48.958,0,0
2017-01-20,48.958,48.958,48.958,48.958,0,0
2017-01-23,48.958,48.958,48.958,48.958,0,0
2017-01-24,48.856,48.856,48.856,48.856,100,0
2017-01-25,48.856,48.856,48.856,48.856,0,0
2017-01-26,48.856,48.856,48.856,48.856,0,0
2017-01-27,48.856,48.856,48.856,48.856,0,0
2017-01-30,48.856,48.856,48.856,48.856,0,0
2017-01-31,48.93,48.937,48.836,48.836,10335,0
2017-02-01,48.999,48.999,48.858,48.922,1128,0
2017-02-02,48.922,48.922,48.922,48.922,0,0
2017-02-03,49.124,49.124,49.124,49.124,249,0
2017-02-06,49.124,49.124,49.124,49.124,0,0
2017-02-07,49.124,49.124,49.124,49.124,0,0
2017-02-08,49.144,49.144,49.114,49.114,878,0
2017-02-09,49.153,49.153,49.153,49.153,0,0
2017-02-10,49.124,49.134,49.124,49.134,3111,0
2017-02-13,49.31,49.319,49.31,49.319,1963,0
2017-02-14,49.258,49.258,49.258,49.258,154,0
2017-02-15,49.258,49.258,49.258,49.258,0,0
2017-02-16,49.258,49.258,49.258,49.258,0,0
2017-02-17,49.27,50.265,49.25,49.27,14514,0
2017-02-21,49.31,49.31,49.24,49.27,466,0
2017-02-22,49.357,49.384,49.357,49.375,744,0
2017-02-23,49.375,49.375,49.375,49.375,0,0
2017-02-24,49.528,49.528,49.528,49.528,308,0
2017-02-27,49.528,49.528,49.528,49.528,0,0
2017-02-28,49.616,49.616,49.616,49.616,280,0
2017-03-01,49.754,49.784,49.754,49.784,2098,0
2017-03-02,49.784,49.784,49.784,49.784,0,0
2017-03-03,49.725,49.764,49.724,49.754,3384,0
2017-03-06,49.754,49.754,49.754,49.754,0,0
2017-03-07,49.754,49.754,49.754,49.754,0,0
2017-03-08,49.24,49.24,49.191,49.191,641,0
2017-03-09,48.929,48.929,48.881,48.929,855,0
2017-03-10,48.911,48.911,48.731,48.786,5505,0
2017-03-13,48.825,48.825,48.825,48.825,100,0
2017-03-14,48.825,48.825,48.825,48.825,0,0
2017-03-15,49.048,49.048,49.048,49.048,338,0
2017-03-16,49.24,49.24,49.2,49.2,546,0
2017-03-17,49.2,49.2,49.2,49.2,0,0
2017-03-20,49.2,49.2,49.2,49.2,0,0
2017-03-21,49.2,49.2,49.2,49.2,0,0
2017-03-22,48.958,48.978,48.958,48.978,348,0
2017-03-23,48.929,48.948,48.929,48.948,3398,0
2017-03-24,48.949,48.949,48.949,48.949,0,0
2017-03-27,48.975,48.975,48.975,48.975,147,0
2017-03-28,49.141,49.197,49.141,49.197,1441,0
2017-03-29,49.197,49.197,49.197,49.197,0,0
2017-03-30,49.607,49.607,49.607,49.607,207,0
2017-03-31,49.636,49.636,49.636,49.636,620,0
2017-04-03,49.591,49.591,49.591,49.591,109,0
2017-04-04,49.675,49.675,49.675,49.675,514,0
2017-04-05,49.695,49.724,49.651,49.656,2631,0
2017-04-06,49.656,49.656,49.656,49.656,0,0
2017-04-07,49.784,49.784,49.769,49.769,1567,0
2017-04-10,49.784,49.794,49.784,49.794,523,0
2017-04-11,49.699,49.699,49.699,49.699,514,0
2017-04-12,49.734,49.734,49.734,49.734,198,0
2017-04-13,49.718,49.718,49.718,49.718,207,0
2017-04-17,49.695,49.734,49.687,49.725,1885,0
2017-04-18,49.744,49.744,49.744,49.744,978,0
2017-04-19,49.794,49.802,49.794,49.802,564,0
2017-04-20,49.841,49.841,49.841,49.841,143,0
2017-04-21,49.827,49.827,49.827,49.827,394,0
2017-04-24,49.874,49.949,49.874,49.949,336,0
2017-04-25,49.949,49.949,49.949,49.949,0,0
2017-04-26,50.017,50.08,49.983,50.054,3069,0
2017-04-27,50.08,50.08,50.08,50.08,266,0
2017-04-28,50.118,50.128,50.108,50.128,1923,0
2017-05-01,50.157,50.167,50.157,50.167,1013,0
2017-05-02,50.157,50.157,50.157,50.157,3271,0
2017-05-03,50.157,50.157,50.157,50.157,0,0
2017-05-04,50.147,50.147,49.904,49.904,2218,0
2017-05-05,49.973,50.022,49.973,49.987,607,0
2017-05-08,50.032,50.032,50.032,50.032,0,0
2017-05-09,50.08,50.108,50.08,50.098,715,0
2017-05-10,50.113,50.157,50.083,50.093,1722,0
2017-05-11,50.167,50.167,50.167,50.167,120,0
2017-05-12,50.197,50.197,50.167,50.187,656,0
2017-05-15,50.286,50.286,50.246,50.246,8227,0
2017-05-16,50.295,50.324,50.295,50.314,11050,0
2017-05-17,50.276,50.286,50.237,50.286,573,0
2017-05-18,50.207,50.227,50.207,50.227,574,0
2017-05-19,50.237,50.343,50.237,50.303,1641,0
2017-05-22,50.401,50.411,50.401,50.411,1295,0
2017-05-23,50.614,50.614,50.468,50.468,464,0
